game_id,team,wr1_snap_share,skill_snap_share,ol_starter_share,ol_starters,season
2013_03_DET_WAS,was,0.88,0.41583333333333333,1.0,5,2013
2013_03_GB_CIN,cin,0.98,0.4166666666666667,1.0,5,2013
2013_03_GB_CIN,gb,1.0,0.45545454545454545,1.0,5,2013
2013_03_HOU_BAL,bal,0.97,0.44909090909090915,1.0,5,2013
2013_03_HOU_BAL,hou,1.0,0.45363636363636367,1.0,5,2013
2013_03_IND_SF,ind,0.97,0.43818181818181823,1.0,5,2013
2013_03_IND_SF,sf,0.92,0.41583333333333333,1.0,5,2013
2013_03_JAX_SEA,jax,0.94,0.41583333333333333,1.0,5,2013
2013_03_JAX_SEA,sea,0.69,0.4183333333333333,0.8160000000000001,5,2013
2013_03_KC_PHI,kc,0.76,0.4166666666666667,0.916,5,2013
2013_03_KC_PHI,phi,1.0,0.45545454545454545,1.0,5,2013
2013_03_NYG_CAR,car,0.66,0.4166666666666667,0.868,5,2013
2013_03_NYG_CAR,nyg,0.87,0.4166666666666667,0.9640000000000001,5,2013
2013_03_OAK_DEN,den,0.95,0.45272727272727276,1.0,5,2013
2013_03_OAK_DEN,oak,0.8,0.37692307692307697,1.0,5,2013
2013_03_SD_TEN,sd,0.93,0.42250000000000004,0.9179999999999999,5,2013
2013_03_SD_TEN,ten,0.86,0.3853846153846154,1.0,5,2013
2013_03_STL_DAL,dal,1.0,0.45363636363636367,0.8333333333333334,6,2013
2013_03_STL_DAL,stl,0.94,0.4166666666666667,0.9800000000000001,5,2013
2013_03_TB_NE,ne,0.91,0.45545454545454545,0.8333333333333334,6,2013
2013_03_TB_NE,tb,0.77,0.4445454545454545,1.0,5,2013
2013_04_ARI_TB,ari,0.97,0.38153846153846155,0.93,5,2013
2013_04_ARI_TB,tb,0.96,0.3776923076923077,1.0,5,2013
2013_04_BAL_BUF,bal,1.0,0.41583333333333333,1.0,5,2013
2013_04_BAL_BUF,buf,0.95,0.45454545454545453,0.99,5,2013
2013_04_CHI_DET,chi,0.97,0.4033333333333333,1.0,5,2013
2013_04_CHI_DET,det,0.95,0.497,1.0,5,2013
2013_04_CIN_CLE,cin,0.93,0.3853846153846154,0.97,5,2013
2013_04_CIN_CLE,cle,0.93,0.497,1.0,5,2013
2013_04_DAL_SD,dal,1.0,0.45363636363636367,0.994,5,2013
2013_04_DAL_SD,sd,0.99,0.45454545454545453,0.93,5,2013
2013_04_IND_JAX,ind,0.83,0.471,1.0,5,2013
2013_04_IND_JAX,jax,1.0,0.41333333333333333,1.0,5,2013
2013_04_MIA_NO,mia,0.98,0.45363636363636367,0.9960000000000001,5,2013
2013_04_MIA_NO,no,0.66,0.405,1.0,5,2013
2013_04_NE_ATL,atl,0.97,0.38307692307692304,0.942,5,2013
2013_04_NE_ATL,ne,0.97,0.45454545454545453,0.9960000000000001,5,2013
2013_04_NYG_KC,kc,0.83,0.4166666666666667,0.9019999999999999,5,2013
2013_04_NYG_KC,nyg,0.95,0.38461538461538464,0.984,5,2013
2013_04_NYJ_TEN,nyj,0.88,0.41583333333333333,1.0,5,2013
2013_04_NYJ_TEN,ten,0.84,0.4175,1.0,5,2013
2013_04_PHI_DEN,den,0.84,0.4166666666666667,0.952,5,2013
2013_04_PHI_DEN,phi,0.85,0.45454545454545453,1.0,5,2013
2013_04_PIT_MIN,min,0.69,0.45363636363636367,1.0,5,2013
2013_04_PIT_MIN,pit,0.85,0.4175,0.924,5,2013
2013_04_SEA_HOU,hou,0.91,0.499,0.978,5,2013
2013_04_SEA_HOU,sea,0.67,0.45363636363636367,1.0,5,2013
2013_04_SF_STL,sf,0.78,0.34928571428571425,0.96,5,2013
2013_04_SF_STL,stl,0.9,0.4166666666666667,0.998,5,2013
2013_04_WAS_OAK,oak,0.76,0.3861538461538461,1.0,5,2013
2013_04_WAS_OAK,was,0.94,0.38461538461538464,1.0,5,2013
2013_05_BAL_MIA,bal,0.97,0.4436363636363636,0.984,5,2013
2013_05_BAL_MIA,mia,0.98,0.501,1.0,5,2013
2013_05_BUF_CLE,buf,0.95,0.4509090909090909,0.998,5,2013
2013_05_BUF_CLE,cle,0.91,0.45,0.982,5,2013
2013_05_CAR_ARI,ari,0.94,0.44727272727272727,1.0,5,2013
2013_05_CAR_ARI,car,0.93,0.41500000000000004,0.9359999999999999,5,2013
2013_05_DEN_DAL,dal,0.97,0.45454545454545453,1.0,5,2013
2013_05_DEN_DAL,den,0.96,0.41500000000000004,1.0,5,2013
2013_05_DET_GB,det,0.99,0.45363636363636367,0.9099999999999999,5,2013
2013_05_DET_GB,gb,0.96,0.45454545454545453,1.0,5,2013
2013_05_HOU_SF,hou,0.89,0.45363636363636367,0.9640000000000001,5,2013
2013_05_HOU_SF,sf,0.55,0.3392857142857143,0.966,5,2013
2013_05_JAX_STL,jax,0.98,0.4166666666666667,0.96,5,2013
2013_05_JAX_STL,stl,0.88,0.3578571428571428,0.9279999999999999,5,2013
2013_05_KC_TEN,kc,0.93,0.4166666666666667,0.992,5,2013
2013_05_KC_TEN,ten,0.83,0.4175,1.0,5,2013
2013_05_NE_CIN,cin,0.94,0.41583333333333333,1.0,5,2013
2013_05_NE_CIN,ne,0.97,0.4509090909090909,1.0,5,2013
2013_05_NO_CHI,chi,0.96,0.36153846153846153,1.0,5,2013
2013_05_NO_CHI,no,0.62,0.4008333333333333,1.0,5,2013
2013_05_NYJ_ATL,atl,0.92,0.405,0.99,5,2013
2013_05_NYJ_ATL,nyj,0.8,0.3807692307692308,1.0,5,2013
2013_05_PHI_NYG,nyg,0.96,0.45363636363636367,1.0,5,2013
2013_05_PHI_NYG,phi,0.94,0.4563636363636364,0.99,5,2013
2013_05_SD_OAK,oak,0.74,0.45454545454545453,1.0,5,2013
2013_05_SD_OAK,sd,1.0,0.45454545454545453,0.9560000000000001,5,2013
2013_05_SEA_IND,ind,0.97,0.488,1.0,5,2013
2013_05_SEA_IND,sea,0.94,0.5,1.0,5,2013
2013_06_ARI_SF,ari,0.97,0.4091666666666667,1.0,5,2013
2013_06_ARI_SF,sf,0.87,0.3761538461538461,0.986,5,2013
2013_06_CAR_MIN,car,0.86,0.4518181818181818,0.9440000000000002,5,2013
2013_06_CAR_MIN,min,0.85,0.4166666666666667,1.0,5,2013
2013_06_CIN_BUF,buf,0.93,0.41333333333333333,0.966,5,2013
2013_06_CIN_BUF,cin,0.95,0.4091666666666667,1.0,5,2013
2013_06_DET_CLE,cle,0.96,0.4518181818181818,1.0,5,2013
2013_06_DET_CLE,det,0.89,0.45363636363636367,1.0,5,2013
2013_06_GB_BAL,bal,0.95,0.40833333333333327,1.0,5,2013
2013_06_GB_BAL,gb,0.97,0.4175,1.0,5,2013
2013_06_IND_SD,ind,1.0,0.44090909090909086,1.0,5,2013
2013_06_IND_SD,sd,0.99,0.41583333333333333,0.978,5,2013
2013_06_JAX_DEN,den,0.89,0.41,0.924,5,2013
2013_06_JAX_DEN,jax,0.94,0.4166666666666667,1.0,5,2013
2013_06_NO_NE,ne,0.92,0.45272727272727276,0.9640000000000001,5,2013
