date,home_key,away_key,home_open_spread,away_open_spread,home_close_spread,away_close_spread,open_total,close_total,source
2026-01-17,den,buf,1.5,-1.5,-1.0,1.0,47.0,45.666666666666664,oddsapi-snapshots-2025
2025-09-14,cin,jax,-5.833333333333333,5.833333333333333,-3.5,3.5,49.5,49.5,oddsapi-snapshots-2025
2025-09-21,nyg,kc,5.666666666666667,-5.666666666666667,6.0,-6.0,42.833333333333336,44.5,oddsapi-snapshots-2025
2025-09-21,min,cin,-1.5,1.5,-3.0,3.0,47.5,41.5,oddsapi-snapshots-2025
2025-10-19,cle,mia,-2.5,2.5,-2.5,2.5,41.5,34.5,oddsapi-snapshots-2025
2025-12-07,atl,sea,7.666666666666667,-7.666666666666667,6.5,-6.5,43.5,44.833333333333336,oddsapi-snapshots-2025
2025-09-04,phi,dal,-8.166666666666666,8.166666666666666,-8.0,8.0,47.5,48.0,oddsapi-snapshots-2025
2026-01-25,den,ne,5.833333333333333,-5.833333333333333,3.5,-3.5,41.166666666666664,42.833333333333336,oddsapi-snapshots-2025
2025-10-12,no,ne,3.5,-3.5,3.5,-3.5,45.0,46.0,oddsapi-snapshots-2025
2025-11-03,dal,ari,-3.3333333333333335,3.3333333333333335,-3.3333333333333335,3.3333333333333335,52.0,54.0,oddsapi-snapshots-2025
2025-12-14,no,car,2.5,-2.5,2.5,-2.5,39.0,41.666666666666664,oddsapi-snapshots-2025
2026-01-11,jax,buf,1.1666666666666667,-1.1666666666666667,-1.5,1.5,51.666666666666664,51.0,oddsapi-snapshots-2025
2026-01-04,pit,bal,3.3333333333333335,-3.3333333333333335,3.5,-3.5,42.833333333333336,41.666666666666664,oddsapi-snapshots-2025
2025-12-14,sea,ind,-5.833333333333333,5.833333333333333,-13.666666666666666,13.666666666666666,45.166666666666664,41.5,oddsapi-snapshots-2025
2025-10-19,ten,ne,6.148148148148148,-6.5,6.851851851851852,-6.5,43.333333333333336,42.333333333333336,oddsapi-snapshots-2025
2025-09-28,ne,car,-5.333333333333333,5.333333333333333,-5.5,5.5,44.666666666666664,42.833333333333336,oddsapi-snapshots-2025
2025-12-07,cle,ten,-3.6666666666666665,3.6666666666666665,-3.5,3.5,34.166666666666664,33.0,oddsapi-snapshots-2025
2025-12-28,ind,jax,6.666666666666667,-6.666666666666667,4.166666666666667,-4.166666666666667,47.0,48.666666666666664,oddsapi-snapshots-2025
2025-11-30,ind,hou,-4.166666666666667,4.166666666666667,-3.0,3.0,46.0,44.333333333333336,oddsapi-snapshots-2025
2025-10-26,pit,gb,3.0,-3.0,3.0,-3.0,43.666666666666664,45.5,oddsapi-snapshots-2025
2025-11-16,ten,hou,7.166666666666667,-7.166666666666667,5.333333333333333,-5.333333333333333,38.333333333333336,37.0,oddsapi-snapshots-2025
2025-11-27,det,gb,-3.0,3.0,-3.0,3.0,48.833333333333336,48.0,oddsapi-snapshots-2025
2025-10-19,dal,was,2.4583333333333335,-2.4583333333333335,-1.625,1.625,52.5,54.5,oddsapi-snapshots-2025
2025-10-05,car,mia,-0.3333333333333333,0.3333333333333333,1.0,-1.0,46.166666666666664,44.166666666666664,oddsapi-snapshots-2025
