game_id,season,team,epa_off,sr_off,explosive_off,plays_off,sack_rate_off,qb_hit_rate_off,early_down_epa_off,third_down_sr_off,redzone_epa_off,pass_epa_off,rush_epa_off,epa_def,sr_def,plays_def,sack_rate_def,qb_hit_rate_def
1999_01_ARI_PHI,1999,ari,-0.07756301724434525,0.37383177570093457,0.018691588785046728,107,0.009345794392523364,0.009345794392523364,-0.21916611989548143,0.4117647058823529,-0.022988851123592554,-0.03961584582631358,-0.28587867398164235,-0.1654030683605685,0.4155844155844156,77,0.05194805194805195,0.025974025974025976
1999_01_ARI_PHI,1999,phi,-0.1654030683605685,0.4155844155844156,0.025974025974025976,77,0.05194805194805195,0.025974025974025976,-0.06551487330038663,0.23076923076923078,0.2366146093216334,-0.46121641493745585,-0.029529196145012974,-0.07756301724434525,0.37383177570093457,107,0.009345794392523364,0.009345794392523364
1999_01_BUF_IND,1999,buf,-0.1279433702663238,0.40963855421686746,0.07228915662650602,83,0.060240963855421686,0.04819277108433735,-0.28547545265289953,0.3333333333333333,0.05464177419453686,-0.20016439193876043,-0.20897470506314528,-0.01197973458728933,0.3815789473684211,76,0.0,0.0
1999_01_BUF_IND,1999,ind,-0.01197973458728933,0.3815789473684211,0.06578947368421052,76,0.0,0.0,-0.06041762084674297,0.5714285714285714,0.2338563855032747,0.37909279130808177,-0.380610066920501,-0.1279433702663238,0.40963855421686746,83,0.060240963855421686,0.04819277108433735
1999_01_CAR_NO,1999,car,-0.29304687241604044,0.4444444444444444,0.08333333333333333,72,0.09722222222222222,0.08333333333333333,-0.20363248439863063,0.16666666666666666,0.7334766206733233,-0.4156804854679185,-0.12102753287181259,-0.1313382109184371,0.3225806451612903,93,0.043010752688172046,0.043010752688172046
1999_01_CAR_NO,1999,no,-0.1313382109184371,0.3225806451612903,0.021505376344086023,93,0.043010752688172046,0.043010752688172046,-0.04643041580614712,0.29411764705882354,-0.3002950130602366,-0.2468417706757231,-0.1303598851884237,-0.29304687241604044,0.4444444444444444,72,0.09722222222222222,0.08333333333333333
1999_01_CIN_TEN,1999,,-5.067936616679649,0.0,0.0,1,0.0,0.0,,,-5.067936616679649,,,,,0,,
1999_01_CIN_TEN,1999,cin,0.18914083595819992,0.504950495049505,0.019801980198019802,101,0.009900990099009901,0.009900990099009901,0.15644343942976327,0.5,0.44288109858285507,0.3072263062855974,0.018384621822404027,0.1019686110588408,0.5694444444444444,72,0.027777777777777776,0.013888888888888888
1999_01_CIN_TEN,1999,ten,0.1019686110588408,0.5694444444444444,0.06944444444444445,72,0.027777777777777776,0.013888888888888888,-0.1541641385066322,0.42857142857142855,0.23871439408803777,0.20276966365940544,-0.4806620828628364,0.13760086093233864,0.5,102,0.00980392156862745,0.00980392156862745
1999_01_DAL_WAS,1999,dal,0.24987260651238424,0.47572815533980584,0.04854368932038835,103,0.009708737864077669,0.009708737864077669,0.06787556299605058,0.5294117647058824,0.5956464220154426,0.28136869102223394,0.27720999224584375,0.13341901306063597,0.4777777777777778,90,0.022222222222222223,0.011111111111111112
