"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",0,1,-3,-5,6,-12,12,"80%","80%","0%"
"Astros","117","","",38,17,-6,19,7,24,14,"80%","79%","1%"
"Athletics","133","","",-8,4,4,-11,-5,-13,5,"79%","79%","0%"
"Blue Jays","141","","",7,-2,4,-3,8,1,5,"79%","79%","0%"
"Braves","144","","",7,10,10,-10,-3,0,7,"79%","79%","0%"
"Brewers","158","","",5,-4,7,-3,4,-2,6,"79%","79%","0%"
"Cardinals","138","","",27,16,-1,8,5,28,-1,"80%","79%","1%"
"Cubs","112","","",-24,-7,-2,-14,-2,-17,-8,"78%","79%","-1%"
"D-backs","109","","",43,20,14,-3,12,25,17,"80%","79%","1%"
"Dodgers","119","","",6,-1,4,5,-2,3,4,"80%","80%","0%"
"Giants","137","","",-34,-4,-4,-16,-9,-12,-22,"76%","77%","-1%"
"Guardians","114","","",23,5,19,-2,0,19,4,"80%","79%","1%"
"Mariners","136","","",1,-1,8,-8,3,-4,5,"80%","80%","0%"
"Marlins","146","","",4,6,2,5,-8,0,4,"79%","79%","0%"
"Mets","121","","",10,11,-4,-3,6,15,-5,"78%","77%","1%"
"Nationals","120","","",-51,-10,-20,-20,0,-30,-21,"78%","79%","-1%"
"Orioles","110","","",9,-7,1,9,6,-1,10,"78%","78%","0%"
"Padres","135","","",33,12,8,7,6,19,14,"80%","79%","1%"
"Phillies","143","","",-33,-5,-13,-11,-4,-17,-16,"77%","78%","-1%"
"Pirates","134","","",-21,-3,3,-14,-6,2,-23,"77%","78%","-1%"
"Rangers","140","","",-4,4,-3,-5,0,-5,1,"78%","78%","0%"
"Rays","139","","",0,-1,-5,3,2,-4,4,"80%","80%","0%"
"Red Sox","111","","",-12,1,-6,-3,-5,-7,-5,"78%","78%","0%"
"Reds","113","","",-20,-8,-4,-5,-3,-22,2,"78%","78%","0%"
"Rockies","115","","",-2,5,7,-11,-3,-1,-1,"77%","77%","0%"
"Royals","118","","",-1,5,-5,-2,3,-4,3,"77%","77%","0%"
"Tigers","116","","",13,8,11,-3,-3,1,12,"79%","79%","0%"
"Twins","142","","",-17,-9,-1,-3,-4,-11,-6,"79%","80%","-1%"
"White Sox","145","","",-19,-10,1,-9,0,-14,-5,"78%","78%","0%"
"Yankees","147","","",19,-14,19,11,2,13,6,"81%","80%","1%"
