"last_name, first_name","player_id","year","player_id","pa","fastball_avg_speed","whiff_percent"
"Holland, Derek",502706,2015,502706,245,"93.6",17.5
"deGrom, Jacob",594798,2015,594798,751,"95.6",27
"Capuano, Chris",425626,2015,425626,196,"89.2",27.1
"Francis, Jeff",433585,2015,433585,100,"86.6",23
"Chavez, Jesse",445926,2015,445926,672,"91.2",22.1
"Masset, Nick",434665,2015,434665,113,"92.4",18.2
"Hill, Rich",448179,2015,448179,106,"90.8",27.2
"Nuño, Vidal",573064,2015,573064,376,"89.8",23.6
"Milone, Tommy",543548,2015,543548,543,"88.1",20
"McAllister, Zach",502083,2015,502083,299,"95",25.4
"Pressly, Ryan",519151,2015,519151,119,"94.9",21.2
"Matzek, Tyler",554431,2015,554431,102,"92.3",22.3
"Samardzija, Jeff",502188,2015,502188,910,"94.1",21.5
"Erlin, Robbie",572362,2015,572362,65,"90.7",18.3
"Melancon, Mark",453343,2015,453343,293,"91.3",24.2
"Guaipe, Mayckol",515052,2015,515052,121,"93.8",24.5
"Fields, Josh",451661,2015,451661,209,"95",28.7
"Layne, Tommy",518927,2015,518927,207,"90.3",22.4
"Garza, Matt",490063,2015,490063,666,"93.3",17.5
"Tracy, Matt",595441,2015,595441,11,"90.5",15.4
"García, Jason",592329,2015,592329,132,"93.9",22.6
"Ross, Joe",605452,2015,605452,314,"93.9",25.1
"Liriano, Francisco",434538,2015,434538,773,"93",33.5
"Hernandez, Roberto",433584,2015,433584,357,"89.4",15.9
"Street, Huston",434718,2015,434718,255,"89.1",30.2
"Beeler, Dallas",542923,2015,542923,46,"89.5",18.5
"Harris, Mitch",518771,2015,518771,122,"92.5",17.9
"Narveson, Chris",429780,2015,429780,121,"88.1",24.8
"Price, David",456034,2015,456034,888,"93.7",25.4
"Belisario, Ronald",430613,2015,430613,36,"92.5",16.7
"Balfour, Grant",346797,2015,346797,21,"90",18.2
"Keuchel, Dallas",572971,2015,572971,911,"89.6",25.2
"Giles, Ken",571704,2015,571704,298,"97.2",30.6
"Hawkins, LaTroy",115629,2015,115629,162,"93.7",17.3
"Gonzalez, Gio",461829,2015,461829,758,"92.6",23.7
"Logan, Boone",457429,2015,457429,168,"93.1",36
"Holmberg, David",571787,2015,571787,136,"88.4",14.6
"Flores, Kendry",572309,2015,572309,57,"91.5",23.5
"O'Rourke, Ryan",594951,2015,594951,97,"91.2",31.5
"Buehrle, Mark",279824,2015,279824,827,"82.9",11.9
"Phelps, David",475479,2015,475479,482,"90.8",12.6
"Johnson, Jim",462382,2015,462382,291,"95",19
"Reed, Addison",592665,2015,592665,241,"93.2",20.8
"Decker, Jaff",543094,2015,543094,5,,33.3
"Thompson, Aaron",457744,2015,457744,137,"90.3",24.4
"Cabral, Cesar",501627,2015,501627,3,"90.4",33.3
"Kelly, Joe",523260,2015,523260,587,"96.1",19.3
"Frasor, Jason",430630,2015,430630,124,"92.6",19.8
"Medina, Yoervis",500721,2015,500721,97,"93.4",21
"Cole, A.J.",595918,2015,595918,44,"91.1",21.3
"Harang, Aaron",421685,2015,421685,748,"89.8",17
"Pazos, James",572021,2015,572021,21,"94.4",16.7
"Rondon, Jorge",504083,2015,504083,81,"95.8",17.7
"Houser, Adrian",605288,2015,605288,8,"95.2",12.5
"Aumont, Phillippe",518418,2015,518418,23,"93.1",12.2
"Hammel, Jason",434628,2015,434628,710,"92.8",25
"Hale, David",571735,2015,571735,346,"91",25
"Farquhar, Danny",543144,2015,543144,219,"91.2",24.9
"Brooks, Aaron",605156,2015,605156,250,"92.1",18.3
"Eveland, Dana",445968,2015,445968,18,"90.3",29.2
"Grimm, Justin",518748,2015,518748,205,"95.8",34.6
"Stults, Eric",445590,2015,445590,196,"87.9",16.4
"Elmore, Jake",518653,2015,518653,6,,0
"Nelson, Jimmy",519076,2015,519076,752,"94.1",22.6
"LeCure, Sam",459967,2015,459967,83,"87.9",15.9
"Matusz, Brian",451085,2015,451085,206,"91.2",30.3
"Varvaro, Anthony",460008,2015,460008,51,"91.6",20.3
"Hynes, Colt",518833,2015,518833,18,"89.5",30
"Jones, Nate",518858,2015,518858,72,"98.2",35.3
"Alvarez, Henderson",506693,2015,506693,102,"91.8",12.4
"Eickhoff, Jerad",595191,2015,595191,203,"91.6",23.4
"Pestano, Vinnie",502260,2015,502260,60,"90.4",29.9
"Domínguez, José",523848,2015,523848,19,"93.4",29
"Frías, Carlos",516910,2015,516910,333,"93.5",21.4
"Paxton, James",572020,2015,572020,297,"94.6",19.3
"Madson, Ryan",425492,2015,425492,248,"93.6",28.9
"Clippard, Tyler",461325,2015,461325,301,"92.1",26.3
"Chamberlain, Joba",501955,2015,501955,128,"94.5",24.5
"Wisler, Matt",605538,2015,605538,478,"93.9",19.1
"López, Javier",425657,2015,425657,147,"85.1",20.7
"Liberatore, Adam",571893,2015,571893,122,"94.4",27
"Pelfrey, Mike",460059,2015,460059,714,"93.9",14.1
"Rodriguez, Wandy",434643,2015,434643,392,"88.9",15.7
"Wilson, Alex",543935,2015,543935,273,"93",15.8
