"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",-4,-2,8,-7,-2,-2,-2,"77%","77%","0%"
"Astros","117","","",5,6,3,0,-4,12,-8,"77%","77%","0%"
"Athletics","133","","",-18,9,-28,6,-5,-12,-6,"77%","78%","-1%"
"Blue Jays","141","","",6,20,-12,-2,1,9,-3,"79%","79%","0%"
"Braves","144","","",5,0,-10,19,-4,-2,7,"77%","77%","0%"
"Brewers","158","","",-32,-6,-9,-13,-4,-41,9,"76%","77%","-1%"
"Cardinals","138","","",-5,2,-7,-1,1,-2,-2,"76%","76%","0%"
"Cubs","112","","",42,5,24,12,1,22,20,"81%","80%","1%"
"D-backs","109","","",-7,12,-15,-2,0,4,-11,"77%","77%","0%"
"Dodgers","119","","",-13,-12,7,-4,-4,1,-13,"78%","79%","-1%"
"Giants","137","","",13,4,11,-1,-1,16,-2,"79%","78%","1%"
"Guardians","114","","",21,13,1,10,-3,11,10,"79%","78%","1%"
"Mariners","136","","",3,-7,5,9,-2,-2,4,"77%","77%","0%"
"Marlins","146","","",17,21,-5,-3,5,13,4,"77%","76%","1%"
"Mets","121","","",-34,7,-19,-24,4,-6,-28,"75%","77%","-2%"
"Nationals","120","","",-5,6,0,-10,-2,4,-8,"78%","78%","0%"
"Orioles","110","","",6,25,-18,-1,-1,15,-9,"78%","78%","0%"
"Padres","135","","",-31,-2,-10,-15,-4,-30,-1,"76%","77%","-1%"
"Phillies","143","","",-5,-5,12,-9,-2,9,-14,"78%","78%","0%"
"Pirates","134","","",-2,11,0,-2,-11,5,-7,"76%","76%","0%"
"Rangers","140","","",19,19,2,-3,2,24,-5,"78%","78%","0%"
"Rays","139","","",-22,-5,-19,-1,2,-13,-9,"78%","78%","0%"
"Red Sox","111","","",-8,-14,1,0,5,-7,-1,"78%","78%","0%"
"Reds","113","","",-13,-10,-16,17,-4,-5,-8,"77%","78%","-1%"
"Rockies","115","","",19,12,7,4,-3,16,3,"76%","75%","1%"
"Royals","118","","",22,20,6,-9,6,12,10,"78%","77%","1%"
"Tigers","116","","",-4,7,-10,-3,2,-5,2,"77%","77%","0%"
"Twins","142","","",6,5,11,-8,-4,-17,22,"76%","76%","0%"
"White Sox","145","","",6,-2,7,-5,5,7,-1,"77%","77%","0%"
"Yankees","147","","",9,7,-2,0,5,4,5,"77%","77%","0%"
