"last_name, first_name","player_id","year","player_id","pa","fastball_avg_speed","whiff_percent"
"Skubal, Tarik",669373,2020,669373,134,"94.4",29.4
"Crochet, Garrett",676979,2020,676979,22,"100.1",40.5
"Cisnero, José",542585,2020,542585,123,"96.2",32.5
"Anderson, Brett",474463,2020,474463,202,"89.2",19.5
"Jeffress, Jeremy",502026,2020,502026,88,"93.2",24.4
"Thorpe, Lewis",626929,2020,626929,77,"89.7",20.7
"Funkhouser, Kyle",608335,2020,608335,81,"95.2",23
"Rondón, Héctor",444468,2020,444468,97,"95.6",19.7
"Alvarado, José",621237,2020,621237,45,"96.1",28
"Slegers, Aaron",642083,2020,642083,101,"91.2",22.3
"Odorizzi, Jake",543606,2020,543606,60,"92",19.9
"Floro, Dylan",571670,2020,571670,98,"93.4",23.3
"Burnes, Corbin",669203,2020,669203,240,"94.7",34.7
"Burdi, Nick",595897,2020,595897,10,"98.1",35
"Workman, Brandon",519443,2020,519443,101,"89.7",26
"Ohtani, Shohei",660271,2020,660271,16,"93.8",24
"Stephenson, Robert",596112,2020,596112,43,"91.4",39.5
"Civale, Aaron",650644,2020,650644,312,"89.7",24.9
"Coulombe, Danny",543056,2020,543056,13,"89.5",15
"Smith, Josh D.",605479,2020,605479,10,"88.9",30.8
"Cruz, Jesus",672911,2020,672911,7,"91.1",31.6
"Kershaw, Clayton",477132,2020,477132,221,"91.6",27.8
"García, Deivi",665620,2020,665620,146,"91.9",22.7
"Karinchak, James",675916,2020,675916,109,"95.5",45.3
"Peters, Dillon",596071,2020,596071,9,"90.6",20
"Hudson, Daniel",543339,2020,543339,92,"96.4",31.1
"González, Chi Chi",592346,2020,592346,91,"91.3",18.5
"Raley, Brooks",548384,2020,548384,84,"87.9",31.7
"Snell, Blake",605483,2020,605483,203,"95",33.7
"Jiménez, Dany",666204,2020,666204,8,"93.1",27.3
"Hunter, Tommy",488984,2020,488984,102,"91.7",25.4
"Gott, Trevor",641627,2020,641627,57,"95",24.7
"Phillips, Evan",623465,2020,623465,68,"94.5",26.8
"Freeman, Sam",518693,2020,518693,25,"93.9",26.1
"Berríos, José",621244,2020,621244,271,"94.2",27.5
"Yarbrough, Ryan",642232,2020,642232,234,"84.7",27.6
"Kuhl, Chad",641771,2020,641771,197,"93.9",27.2
"Gonzalez, Gio",461829,2020,461829,153,"89.8",32.4
"Holmes, Clay",605280,2020,605280,6,"92.4",44.4
"Newcomb, Sean",656794,2020,656794,70,"93.3",20.3
"Martin, Chris",455119,2020,455119,66,"92.8",26.4
"Mengden, Daniel",596043,2020,596043,58,"87.9",19.6
"Kratz, Erik",456124,2020,456124,9,"79.3",5.3
"Diekman, Jake",518617,2020,518617,84,"95.1",40.8
"Taylor, Josh",657031,2020,657031,36,"93.6",27.9
"Lorenzen, Michael",547179,2020,547179,147,"95.4",35.2
"Clevinger, Mike",605182,2020,605182,162,"94",30.4
"Brigham, Jeff",656257,2020,656257,5,"94.2",0
"Jurado, Ariel",642558,2020,642558,21,"91.3",21.4
"Ray, Robbie",592662,2020,592662,251,"93.8",33.1
"Suarez, Ranger",624133,2020,624133,26,"91.2",21.4
"Houser, Adrian",605288,2020,605288,246,"93.4",22.3
"Scott, Tanner",656945,2020,656945,86,"96.5",35.9
"Turnbull, Spencer",605513,2020,605513,242,"94.1",28.2
"Quezada, Johan",629498,2020,629498,12,"97",16.7
"Sánchez, Aníbal",434671,2020,434671,245,"88.6",23.6
"McGowin, Kyle",641851,2020,641851,47,"91.3",38.5
"Wahl, Bobby",592833,2020,592833,11,"93.8",27.8
"Kluber, Corey",446372,2020,446372,3,"90.8",12.5
"Newsome, Ljay",664714,2020,664714,68,"91.4",21.6
"Kaminsky, Rob",641739,2020,641739,21,"91.6",17.1
"Rodríguez, Dereck",605446,2020,605446,24,"91.3",7.1
"Elledge, Seth",676220,2020,676220,52,"93.3",27.9
"Chacín, Jhoulys",468504,2020,468504,24,"91.1",0
"Valdez, Framber",664285,2020,664285,288,"93.1",24.5
"Kelly, Joe",523260,2020,523260,42,"96.9",27.5
"Drake, Oliver",543118,2020,543118,45,"91.2",28.2
"Bedrosian, Cam",592135,2020,592135,58,"92.2",22.9
"Quantrill, Cal",615698,2020,615698,135,"94.9",24.8
"Brothers, Rex",571521,2020,571521,15,"95.3",50
"González, Victor",624647,2020,624647,80,"94.9",33.6
"Del Pozo, Miguel",600887,2020,600887,25,"93.3",26.2
"Sherriff, Ryan",595411,2020,595411,34,"90.9",10
"Wojciechowski, Asher",592879,2020,592879,168,"89.5",25.6
"Canning, Griffin",656288,2020,656288,238,"91.4",27.4
"Springs, Jeffrey",605488,2020,605488,99,"92.1",37.6
"Castillo, Luis",622491,2020,622491,292,"97.4",32.8
"Triggs, Andrew",592811,2020,592811,39,"88.2",13.8
"Demeritte, Travis",641513,2020,641513,7,"81.7",0
"Lopes, Tim",621005,2020,621005,6,,0
"Yates, Kirby",489446,2020,489446,25,"93.6",41.3
"Richards, Trevor",670950,2020,670950,150,"90.5",25.5
"Romano, Jordan",605447,2020,605447,57,"96.5",43.8
"Wisler, Matt",605538,2020,605538,107,"91.9",36.1
"Kittredge, Andrew",552640,2020,552640,31,"94",15
"Allen, Logan",663531,2020,663531,49,"94",24.3
"Hand, Brad",543272,2020,543272,86,"91.4",24.8
"Forsythe, Logan",523253,2020,523253,6,,0
"Loáisiga, Jonathan",642528,2020,642528,100,"96.7",23.1
"Howard, Spencer",675921,2020,675921,113,"94",25.6
"Lauer, Eric",641778,2020,641778,61,"90.1",28.8
"Romano, Sal",607219,2020,607219,4,"95.2",0
"Osich, Josh",592612,2020,592612,86,"89.5",26.4
"Bacus, Dakota",621290,2020,621290,57,"90.7",24
"Crick, Kyle",605195,2020,605195,29,"90.9",31.1
"López, Pablo",641154,2020,641154,240,"93.3",26.6
"Thielbar, Caleb",573204,2020,573204,82,"89.8",29.5
"Mayers, Mike",594577,2020,594577,121,"92.5",35.5
"Flaherty, Jack",656427,2020,656427,170,"93.6",34.4
"Yamamoto, Jordan",657141,2020,657141,67,"88.6",19.8
"Banda, Anthony",607455,2020,607455,36,"91.4",23.6
"Sadler, Casey",594987,2020,594987,86,"91.3",30
"Soria, Joakim",465657,2020,465657,96,"92.4",23.5
"Venditte, Pat",519381,2020,519381,15,"86.5",43.5
"Venditte, Pat",519381,2020,519381,15,"80.8",43.5
"Selman, Sam",572125,2020,572125,82,"91.2",29.7
"Suter, Brent",608718,2020,608718,129,"85.5",31.1
"Sanabria, Carlos",656004,2020,656004,12,"92.6",25
"Loup, Aaron",571901,2020,571901,96,"89.5",19.4
"Sewald, Paul",623149,2020,623149,35,"91.7",16.4
"Maples, Dillon",596027,2020,596027,9,"96.5",60
"Garcia, Luis",677651,2020,677651,49,"93.2",26.1
"Verlander, Justin",434378,2020,434378,21,"94.9",25
"King, Michael",650633,2020,650633,121,"93.1",21.3
"Perdomo, Angel",622780,2020,622780,19,"94.6",36.4
"Bumgarner, Madison",518516,2020,518516,190,"86.1",17.4
"Corbin, Patrick",571578,2020,571578,295,"90.1",23.6
"Dunn, Justin",643290,2020,643290,198,"91.2",22.1
"Norris, Daniel",596057,2020,596057,116,"92.6",27.6
"Fletcher, Aaron",667465,2020,667465,29,"93.2",26.3
"Anderson, Drew",623454,2020,623454,10,"92.4",13.6
"Farrell, Luke",608652,2020,608652,27,"91.4",29.8
"Minor, Mike",501985,2020,501985,239,"90.6",27.2
