"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",8,9,-3,-2,4,-2,10,"80%","80%","0%"
"Astros","117","","",6,5,1,2,-1,0,6,"79%","78%","1%"
"Athletics","133","","",-23,-17,5,-4,-7,-13,-10,"79%","80%","-1%"
"Blue Jays","141","","",-40,-4,-13,-15,-6,-35,-5,"77%","78%","-1%"
"Braves","144","","",-26,0,-22,-1,-2,-17,-9,"77%","78%","-1%"
"Brewers","158","","",29,-4,1,27,6,16,13,"79%","78%","1%"
"Cardinals","138","","",-11,-8,-7,1,4,6,-16,"78%","79%","-1%"
"Cubs","112","","",23,-4,15,8,4,19,4,"79%","79%","0%"
"D-backs","109","","",-2,2,-6,4,0,-16,14,"78%","78%","0%"
"Dodgers","119","","",-18,-6,-9,0,-3,-8,-11,"80%","81%","-1%"
"Giants","137","","",-14,4,4,-18,-4,-14,1,"78%","79%","-1%"
"Guardians","114","","",32,9,6,11,5,17,15,"79%","78%","1%"
"Mariners","136","","",20,-1,23,-4,3,16,4,"79%","79%","0%"
"Marlins","146","","",-8,5,-17,2,1,-6,-2,"79%","79%","0%"
"Mets","121","","",-53,-6,-13,-26,-7,-29,-24,"76%","78%","-2%"
"Nationals","120","","",-15,6,-14,1,-7,-4,-10,"78%","79%","-1%"
"Orioles","110","","",-24,0,-13,-10,-1,-9,-15,"77%","78%","-1%"
"Padres","135","","",-30,-11,-16,0,-2,-23,-7,"77%","78%","-1%"
"Phillies","143","","",3,9,-4,7,-8,-2,5,"78%","78%","0%"
"Pirates","134","","",-16,14,-15,-9,-5,7,-23,"77%","78%","-1%"
"Rangers","140","","",4,6,-7,3,2,11,-7,"79%","79%","0%"
"Rays","139","","",14,4,-10,14,5,10,4,"80%","80%","0%"
"Red Sox","111","","",4,-1,-10,14,1,8,-4,"78%","78%","0%"
"Reds","113","","",11,4,-4,11,0,5,6,"78%","78%","0%"
"Rockies","115","","",22,16,10,-5,0,11,10,"77%","77%","0%"
"Royals","118","","",16,7,14,-10,5,29,-13,"79%","79%","0%"
"Tigers","116","","",-13,5,-13,-6,0,-17,3,"78%","78%","0%"
"Twins","142","","",66,18,34,13,1,30,36,"79%","77%","2%"
"White Sox","145","","",9,-7,11,-3,8,9,0,"79%","79%","0%"
"Yankees","147","","",27,-1,15,3,10,14,13,"80%","79%","1%"
