"last_name, first_name","player_id","year","player_id","pa","fastball_avg_speed","whiff_percent"
"Harvey, Matt",518774,2019,518774,266,"93.2",21.6
"Domínguez, Seranthony",622554,2019,622554,110,"97.3",31.1
"Hill, Rich",448179,2019,448179,242,"90.3",25.7
"Anderson, Brett",474463,2019,474463,743,"90.3",17
"Gray, Jon",592351,2019,592351,637,"96",26.5
"Price, David",456034,2019,456034,458,"91.1",26
"Olson, Tyler",621397,2019,621397,140,"87.1",25.6
"Santana, Ervin",429722,2019,429722,64,"90.1",13
"Pazos, James",572021,2019,572021,39,"94.2",31.4
"Alvarez, Jose",501625,2019,501625,255,"90.9",23
"Font, Wilmer",521655,2019,521655,357,"94.3",27.6
"Clevinger, Mike",605182,2019,605182,499,"95.4",35.3
"Gaviglio, Sam",543208,2019,543208,392,"89.2",27.9
"Peterson, Tim",623402,2019,623402,35,"90.2",23.7
"Poppen, Sean",664092,2019,664092,36,"94.6",25.9
"Crick, Kyle",605195,2019,605195,226,"95.2",29.6
"Wright, Steven",453214,2019,453214,33,"82.4",23.1
"Severino, Luis",622663,2019,622663,48,"96.1",27.5
"Tarpley, Stephen",605501,2019,605501,120,"92.5",32.3
"Vargas, Jason",450306,2019,450306,649,"84.2",24.2
"Anderson, Chase",502624,2019,502624,592,"92.7",23.5
"Phillips, Evan",623465,2019,623465,140,"94.1",30.3
"Wilson, Bryse",669060,2019,669060,93,"94.6",20.2
"Plesac, Zach",668676,2019,668676,475,"93.9",21.6
"Vieira, Thyago",600986,2019,600986,37,"97.4",29.5
"Ramírez, JC",500724,2019,500724,34,"91",22.6
"Rodríguez, José",642578,2019,642578,84,"93.4",22.1
"Frare, Caleb",621350,2019,621350,14,"92.3",35.3
"Ramirez, Noé",598287,2019,598287,280,"89.1",31.2
"Moore, Dylan",664238,2019,664238,10,,0
"Herrera, Kelvin",516969,2019,516969,235,"95.2",26.5
"Giolito, Lucas",608337,2019,608337,705,"94.2",32.4
"Suarez, Ranger",624133,2019,624133,205,"92.3",22.6
"Holland, Greg",518813,2019,518813,152,"91.6",30.1
"Diehl, Phillip",670426,2019,670426,35,"90.9",37.9
"Robles, Hansel",570663,2019,570663,283,"97.1",26.3
"Miller, Shelby",571946,2019,571946,220,"94",18.7
"Bolaños, Ronald",671790,2019,671790,88,"94.2",23.9
"Desmond, Ian",435622,2019,435622,4,"91.7",12.5
"Anderson, Cody",594736,2019,594736,46,"94.4",25.8
"Reyes, Gerardo",622103,2019,622103,117,"96.9",35
"Chafin, Andrew",605177,2019,605177,225,"93.7",33.9
"Brice, Austin",592169,2019,592169,199,"93.2",26.7
"Neverauskas, Dovydas",596720,2019,596720,53,"94.7",27.7
"Keller, Kyle",664918,2019,664918,46,"94.5",29.5
"Davis, Wade",451584,2019,451584,206,"91.3",25.2
"Urías, Julio",628711,2019,628711,326,"95.1",29.9
"Maeda, Kenta",628317,2019,628317,624,"92.1",32.4
"Díaz, Miguel",622766,2019,622766,29,"94.7",18.6
"Melancon, Mark",453343,2019,453343,284,"91.8",25.7
"Minter, A.J.",621345,2019,621345,147,"93.6",30.4
