"last_name, first_name","player_id","year","player_id","pa","fastball_avg_speed","whiff_percent"
"Cessa, Luis",570666,2022,570666,335,"93.5",22.1
"Springs, Jeffrey",605488,2022,605488,549,"91.4",29.6
"Gillaspie, Logan",670810,2022,670810,74,"95.2",18.5
"Varland, Louis",686973,2022,686973,106,"93.8",20.3
"Fleming, Josh",676596,2022,676596,169,"89.7",23.5
"Severino, Anderson",644429,2022,644429,34,"96.1",31.5
"Zimmermann, Bruce",669145,2022,669145,320,"89.4",19
"Ortega, Oliver",661383,2022,661383,148,"95.9",23.7
"Clase, Emmanuel",661403,2022,661403,271,"99.5",30.1
"Ruiz, José",614179,2022,614179,265,"96.9",29.4
"Kowar, Jackson",663804,2022,663804,82,"95.8",26.1
"Strahm, Matt",621381,2022,621381,193,"92.6",23.4
"Grove, Michael",675627,2022,675627,133,"94.4",22.3
"Dowdy, Kyle",664871,2022,664871,27,"94.3",9.3
"Coonrod, Sam",656322,2022,656322,58,"96.7",20
"Means, John",607644,2022,607644,34,"91.7",20.5
"Whitley, Kodi",676831,2022,676831,59,"93.4",25.8
"Romero, Jhon",664584,2022,664584,24,"94",27.7
"Keller, Brad",641745,2022,641745,617,"94.1",21.6
"Cousins, Jake",664776,2022,664776,59,"95.7",42.4
"Suarez, José",660761,2022,660761,462,"92.5",24.6
"Bernardino, Brennan",657514,2022,657514,13,"92.7",0
"Allen, Logan",663531,2022,663531,40,"90.5",22.7
"Norris, Daniel",596057,2022,596057,249,"91.1",31.4
"Woods, William",682016,2022,682016,8,"93.8",25
"Gomber, Austin",596295,2022,596295,529,"91",22.1
"Okert, Steven",595345,2022,595345,221,"93.7",29.7
"Phillips, Evan",623465,2022,623465,233,"94.8",30.3
"Warren, Austin",681810,2022,681810,70,"93.4",17.2
"Fairbanks, Pete",664126,2022,664126,87,"99",35.9
"Estévez, Carlos",608032,2022,608032,235,"97.5",22.1
"Bednar, David",670280,2022,670280,210,"96.4",33.5
"Boxberger, Brad",502202,2022,502202,268,"92.7",24.4
"Wisler, Matt",605538,2022,605538,176,"89.7",24.9
"Rasmussen, Drew",656876,2022,656876,584,"93.1",25.3
"Martin, Davis",663436,2022,663436,269,"94",24.2
"Seabold, Connor",657756,2022,657756,97,"92.1",25.1
"Valdez, Framber",664285,2022,664285,827,"93.9",25.8
"Reyes, Denyi",660593,2022,660593,31,"92.8",19.1
"Davies, Zach",605200,2022,605200,570,"89.4",21.5
"Ort, Kaleb",672391,2022,672391,134,"96.3",28.6
"Weissert, Greg",669711,2022,669711,48,"94.8",19.7
"Escobar, Alcides",444876,2022,444876,10,,0
"Chirinos, Yonny",630023,2022,630023,30,"93.4",20.4
"Wilson, Steven",621051,2022,621051,214,"95.1",28.6
"Pérez, Oliver",424144,2022,424144,24,"88.4",9.1
"Weems, Jordan",607179,2022,607179,166,"96.8",24.6
"Kahnle, Tommy",592454,2022,592454,46,"95.7",31.3
"Brasier, Ryan",518489,2022,518489,263,"95.9",25.2
"Glasnow, Tyler",607192,2022,607192,26,"97.4",32.1
"Chafin, Andrew",605177,2022,605177,243,"91.6",31.7
"Woodford, Jake",663765,2022,663765,188,"92.1",17.3
"Manoah, Alek",666201,2022,666201,786,"93.6",24.9
"Megill, Trevor",656730,2022,656730,196,"98.1",25.3
"Brazobán, Huascar",623211,2022,623211,141,"91.8",40.2
"Ohtani, Shohei",660271,2022,660271,660,"95.8",33.1
"Rodríguez, Dereck",605446,2022,605446,34,"89",23.9
"Corbin, Patrick",571578,2022,571578,713,"92.6",20.9
"Peralta, Wily",503449,2022,503449,168,"95.4",21.2
"Santos, Gregory",666619,2022,666619,17,"98.8",20
"Gallegos, Giovanny",606149,2022,606149,235,"94.3",34.8
"Bush, Matt",456713,2022,456713,244,"96.2",30
"Díaz, Miguel",622766,2022,622766,14,"95.7",40
"Ober, Bailey",641927,2022,641927,227,"91.5",27.7
"Mills, Alec",621219,2022,621219,84,"88.5",15.5
"Mengden, Daniel",596043,2022,596043,32,"89.8",21.7
"Alvarez, Jose",501625,2022,501625,76,"90.8",23.3
"Appel, Mark",571446,2022,571446,40,"95",21.1
"Cyr, Tyler",664202,2022,664202,55,"93.2",26.2
"Barria, Jaime",642545,2022,642545,316,"91.9",23.3
"Romo, Sergio",489265,2022,489265,79,"85.3",21.9
"Kranick, Max",668820,2022,668820,19,"95.1",28.1
"Tepera, Ryan",572193,2022,572193,232,"92.7",30.7
"Cisnero, José",542585,2022,542585,105,"94.3",28.9
"Garcia, Bryan",650530,2022,650530,84,"92.9",24.6
"Houck, Tanner",656557,2022,656557,247,"94.8",29.2
"Fried, Max",608331,2022,608331,733,"93.9",26.1
"Cavalli, Cade",676917,2022,676917,23,"95.5",27.7
"Markel, Parker",571917,2022,571917,13,"94.9",27.8
"McCullers Jr., Lance",621121,2022,621121,195,"91.7",27.1
"Cotton, Jharel",605194,2022,605194,181,"92.7",25.4
"Fisher, Nate",688010,2022,688010,11,"92.5",18.2
"Claudio, Alex",592222,2022,592222,13,"84.9",25
"Kluber, Corey",446372,2022,446372,689,"87.5",23.9
"Feyereisen, J.P.",656420,2022,656420,86,"92.2",33.5
"Sears, JP",676664,2022,676664,288,"93.2",19.9
"Peralta, Wandy",593974,2022,593974,223,"95.4",33.9
"Wynns, Austin",642851,2022,642851,10,,9.1
"Swarmer, Matt",664161,2022,664161,153,"90.5",31.3
"Morán, Jovani",663558,2022,663558,164,"93.4",38.9
"Loup, Aaron",571901,2022,571901,260,"88.4",24.3
"Ferguson, Caleb",657571,2022,657571,142,"94.8",27.3
"Gore, MacKenzie",669022,2022,669022,309,"94.7",24.1
"Cole, Gerrit",543037,2022,543037,793,"97.1",34.1
"Sulser, Beau",676641,2022,676641,99,"91",20.9
"Long, Sam",669674,2022,669674,181,"94.6",25.4
"Moreta, Dauri",664294,2022,664294,160,"95.9",27.6
"Smith, Caleb",592761,2022,592761,302,"91.9",28.8
"Moore, Matt",519043,2022,519043,304,"93.9",31.3
"Lorenzen, Michael",547179,2022,547179,411,"93.5",25.2
"Castro, Kervin",665645,2022,665645,57,"92",23.6
"Lakins, Travis",664042,2022,664042,50,"93.1",20
"Hughes, Brandon",676714,2022,676714,240,"93.2",33.1
"Stroman, Marcus",573186,2022,573186,569,"91.7",22.4
"Richards, Trevor",670950,2022,670950,281,"93.4",35.1
"Strasburg, Stephen",544931,2022,544931,23,"90.3",20
"Junk, Janson",676083,2022,676083,37,"92.5",17.8
"Hjelle, Sean",663546,2022,663546,115,"93.8",20.4
"McKay, David",641853,2022,641853,32,"92.3",13.8
"Miley, Wade",489119,2022,489119,159,"86.2",25.2
"Abreu, Bryan",650556,2022,650556,248,"97.2",39.1
"Gilbert, Tyler",656457,2022,656457,146,"88",19.6
"Duran, Jhoan",661395,2022,661395,266,"100.8",34.7
"Cabrera, Edward",665795,2022,665795,291,"95.9",31.3
"Widener, Taylor",642203,2022,642203,82,"94",20.1
"Bradley, Archie",605151,2022,605151,78,"93.4",20.3
