"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Cabrera, Melky","466320","Pirates","","RF","-4",-5,0,-3,-1,-1,-2,-2,"81%","84%","-3%"
"Cabrera, Miguel","408234","Tigers","","1B","-3",-4,-1,-2,-1,0,-2,-2,"69%","79%","-10%"
"Cain, Lorenzo","456715","Brewers","","CF","13",14,-1,7,6,2,10,4,"90%","86%","4%"
"Calhoun, Kole","594777","Angels","","RF","1",1,0,-1,3,-2,1,0,"85%","84%","1%"
"Calhoun, Willie","641432","Rangers","","LF","-5",-6,-2,-3,0,0,-4,-2,"86%","90%","-4%"
"Camargo, Johan","622666","Braves","","SS","-3",-4,-1,-4,1,0,-5,1,"73%","76%","-3%"
"Candelario, Jeimer","600869","Tigers","","3B","3",4,1,2,1,-1,5,-2,"65%","64%","1%"
"Canha, Mark","592192","Athletics","","CF","-1",-1,-1,-1,1,0,-2,1,"88%","88%","0%"
"Canó, Robinson","429664","Mets","","2B","1",1,2,0,0,-2,0,1,"70%","70%","0%"
"Caratini, Victor","605170","Cubs","","1B","-1",-2,0,-2,0,0,0,-2,"63%","69%","-6%"
"Carpenter, Matt","572761","Cardinals","","3B","4",6,1,0,6,-1,2,4,"71%","69%","2%"
"Casali, Curt","592200","Reds","","1B","0",0,0,0,0,0,0,0,"50%","41%","9%"
"Castellanos, Nick","592206","---","","RF","-7",-8,-1,-4,-2,0,-5,-3,"86%","88%","-2%"
"Castro, Harold","605612","Tigers","","2B","-5",-6,0,-4,-1,-1,-2,-4,"79%","81%","-2%"
"Castro, Starlin","516770","Marlins","","2B","8",10,5,1,2,2,4,6,"78%","76%","2%"
"Castro, Willi","650489","Tigers","","SS","-2",-2,-2,2,0,-2,-1,-2,"68%","70%","-2%"
"Cave, Jake","595909","Twins","","RF","2",3,1,1,0,1,3,0,"89%","87%","2%"
"Cervelli, Francisco","465041","Braves","","1B","-1",-1,0,0,-1,0,0,-1,"25%","54%","-29%"
"Chang, Yu","644374","Guardians","","3B","2",2,2,0,0,0,1,1,"66%","62%","4%"
"Chapman, Matt","656305","Athletics","","3B","11",15,12,0,2,1,17,-2,"75%","72%","3%"
"Chavis, Michael","656308","Red Sox","","2B","2",3,0,2,1,-1,0,3,"79%","78%","1%"
"Choi, Ji Man","596847","Rays","","1B","-5",-6,-1,-7,2,0,-2,-4,"67%","70%","-3%"
"Choo, Shin-Soo","425783","Rangers","","LF","-12",-13,-4,-1,-7,-1,-7,-6,"80%","87%","-7%"
"Colón, Christian","518568","Reds","","2B","0",0,0,0,0,0,0,0,"100%","98%","2%"
"Conforto, Michael","624424","Mets","","RF","4",5,3,0,-1,2,3,2,"86%","84%","2%"
"Contreras, Willson","575929","Cubs","","RF","0",0,0,0,0,0,0,0,"75%","72%","3%"
"Cooper, Garrett","643265","Marlins","","1B","3",4,3,0,0,0,0,4,"82%","80%","2%"
"Cordell, Ryan","641477","White Sox","","RF","6",7,1,2,3,0,6,1,"89%","85%","4%"
"Cordero, Franchy","614173","Padres","","CF","-1",-1,0,0,0,0,0,0,"73%","78%","-5%"
"Correa, Carlos","621043","Astros","","SS","8",11,6,6,-2,0,9,1,"77%","73%","4%"
"Court, Ryan","606956","Mariners","","LF","0",0,0,0,0,0,1,0,"78%","77%","1%"
"Cowart, Kaleb","592230","Angels","","3B","0",0,1,0,0,0,0,0,"84%","85%","-1%"
"Cozart, Zack","446359","Angels","","3B","0",0,0,0,0,0,-1,1,"74%","74%","0%"
"Crawford, Brandon","543063","Giants","","SS","3",5,6,4,-5,-1,9,-4,"73%","72%","1%"
"Crawford, J.P.","641487","Mariners","","SS","-1",-1,-1,2,-2,-1,1,-2,"77%","77%","0%"
"Cron, C.J.","543068","Twins","","1B","5",7,1,2,3,0,1,6,"72%","70%","2%"
"Cron, Kevin","605196","D-backs","","1B","-1",-1,-1,0,0,0,-1,0,"57%","64%","-7%"
"Culberson, Charlie","518586","Braves","","SS","-1",-2,0,-1,0,0,-2,1,"77%","79%","-2%"
"Cuthbert, Cheslor","596144","Royals","","1B","-6",-8,-1,-3,-3,-1,-6,-3,"67%","71%","-4%"
"Dahl, David","621311","Rockies","","CF","2",2,2,2,-1,0,-1,3,"85%","83%","2%"
"Davis, Chris","448801","Orioles","","1B","0",0,-3,4,1,-2,-5,5,"69%","69%","0%"
"Davis, J.D.","605204","Mets","","LF","-7",-7,-6,-1,-1,0,-2,-5,"71%","75%","-4%"
"Davis, Jaylin","664041","Giants","","RF","-1",-1,0,0,0,-2,-1,0,"86%","90%","-4%"
"Davis, Johnny","643275","Rays","","CF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Davis, Jonathan","641505","Blue Jays","","CF","2",3,-1,3,1,-1,0,2,"90%","86%","4%"
"Davis, Khris","501981","Athletics","","LF","0",0,-1,0,0,0,-1,0,"60%","68%","-8%"
"Davis, Rajai","434658","Mets","","RF","0",0,0,0,0,0,0,0,"100%","93%","7%"
"Daza, Yonathan","602074","Rockies","","CF","0",0,-2,1,2,-1,1,-1,"88%","88%","0%"
"DeJong, Paul","657557","Cardinals","","SS","5",7,2,-4,8,1,3,4,"77%","76%","1%"
"DeShields, Delino","592261","Rangers","","CF","10",11,-1,7,3,2,6,5,"92%","88%","4%"
"Dean, Austin","621573","Marlins","","LF","-5",-5,-2,0,-1,-3,-1,-4,"80%","86%","-6%"
"Delmonico, Nicky","547170","White Sox","","LF","-4",-4,-1,-1,-3,0,-1,-3,"75%","86%","-11%"
"Demeritte, Travis","641513","Tigers","","RF","-5",-6,1,-3,-4,0,-4,-1,"82%","86%","-4%"
"Descalso, Daniel","518614","Cubs","","2B","-3",-4,1,-1,-3,0,-3,-2,"76%","79%","-3%"
"Desmond, Ian","435622","Rockies","","CF","-9",-10,-2,-2,-5,-2,-5,-5,"81%","86%","-5%"
"Devers, Rafael","646240","Red Sox","","3B","13",18,1,3,9,5,16,2,"69%","65%","4%"
"Dickerson, Alex","543105","---","","LF","-1",-1,0,0,-2,0,1,-2,"88%","90%","-2%"
"Dickerson, Corey","572816","---","","LF","0",0,0,0,2,-2,0,-1,"86%","86%","0%"
"Dietrich, Derek","518618","Reds","","2B","-3",-4,1,-3,0,-2,-1,-3,"73%","76%","-3%"
"Difo, Wilmer","594694","Nationals","","SS","1",2,0,-1,2,1,1,1,"69%","68%","1%"
"Dixon, Brandon","641525","Tigers","","1B","1",1,1,0,-1,1,-2,2,"78%","77%","1%"
"Donaldson, Josh","518626","Braves","","3B","8",10,7,5,0,-1,14,-4,"69%","67%","2%"
"Dozier, Brian","572821","Nationals","","2B","-3",-5,-2,-1,-1,0,-3,-2,"70%","71%","-1%"
"Dozier, Hunter","641531","Royals","","3B","-6",-7,-2,3,-9,1,-3,-4,"70%","72%","-2%"
"Drury, Brandon","592273","Blue Jays","","3B","4",5,6,-3,2,1,4,2,"73%","72%","1%"
"Dubón, Mauricio","643289","Giants","","2B","1",1,-1,1,1,0,-1,2,"80%","79%","1%"
"Duda, Lucas","446263","Royals","","1B","-4",-5,-1,-3,-2,0,-3,-2,"54%","66%","-12%"
"Duffy, Matt","622110","Rays","","3B","-3",-3,-1,-1,-2,0,-3,0,"69%","72%","-3%"
"Duggar, Steven","621453","Giants","","CF","3",4,-2,3,2,1,4,0,"92%","89%","3%"
"Duvall, Adam","594807","Braves","","LF","1",1,0,1,-1,0,0,0,"85%","84%","1%"
"Dyson, Jarrod","502481","D-backs","","CF","5",6,0,4,2,0,1,5,"89%","86%","3%"
"Díaz, Aledmys","649557","Astros","","2B","1",1,2,-3,1,1,-1,2,"66%","66%","0%"
"Díaz, Isan","656371","Marlins","","2B","-7",-9,-5,0,-3,-1,-5,-4,"74%","79%","-5%"
"Díaz, Yandy","650490","Rays","","3B","-2",-2,-2,-2,1,0,1,-3,"72%","73%","-1%"
"Eaton, Adam","594809","Nationals","","RF","0",0,0,-1,-1,2,6,-6,"85%","85%","0%"
"Edman, Tommy","669242","Cardinals","","3B","9",11,2,7,-1,3,4,7,"75%","71%","4%"
"Elmore, Jake","518653","Pirates","","RF","-2",-3,-1,-1,-1,0,-3,0,"67%","80%","-13%"
"Encarnación, Edwin","429665","---","","1B","-2",-2,1,-4,0,0,-2,0,"65%","66%","-1%"
"Engel, Adam","641553","White Sox","","CF","5",6,1,2,0,2,3,3,"92%","89%","3%"
"Ervin, Phillip","640447","Reds","","LF","3",3,1,1,1,0,3,0,"90%","87%","3%"
"Escobar, Eduardo","500871","D-backs","","3B","-3",-4,-2,0,-3,0,-1,-3,"68%","68%","0%"
"Estrada, Thairo","642731","Yankees","","2B","0",1,2,0,-2,0,0,1,"72%","71%","1%"
"Farmer, Kyle","571657","Reds","","2B","2",3,0,3,0,0,2,1,"71%","67%","4%"
"Fisher, Derek","605233","---","","LF","-2",-2,-1,0,-1,1,0,-2,"80%","83%","-3%"
"Flaherty, Ryan","475247","Guardians","","3B","0",0,0,-1,1,0,1,-1,"68%","69%","-1%"
"Fletcher, David","664058","Angels","","3B","9",12,10,3,-1,-1,8,4,"78%","76%","2%"
"Flores, Wilmer","527038","D-backs","","2B","0",0,-3,3,0,-1,3,-3,"71%","71%","0%"
"Ford, Mike","645801","Yankees","","1B","0",0,1,-1,0,0,0,-1,"68%","68%","0%"
"Forsythe, Logan","523253","Rangers","","3B","-6",-8,-2,-2,-5,0,-8,-1,"67%","70%","-3%"
"Fowler, Dexter","451594","Cardinals","","RF","-6",-6,0,-2,-7,2,-3,-3,"85%","87%","-2%"
"Fraley, Jake","641584","Mariners","","CF","0",0,0,1,0,0,0,1,"76%","75%","1%"
"France, Ty","664034","Padres","","3B","-1",-2,0,0,-1,-1,0,-1,"65%","66%","-1%"
"Franco, Maikel","596748","Phillies","","3B","-1",-1,4,1,-5,-2,4,-5,"66%","66%","0%"
"Frazier, Adam","624428","Pirates","","2B","6",8,0,3,5,0,5,3,"78%","76%","2%"
"Frazier, Clint","640449","Yankees","","RF","-10",-11,-3,-4,-4,0,-8,-3,"72%","83%","-11%"
"Frazier, Todd","453943","Mets","","3B","1",2,2,-2,1,0,2,-1,"73%","72%","1%"
"Freeman, Freddie","518692","Braves","","1B","-2",-3,4,-3,-2,-2,-5,2,"70%","70%","0%"
"Freeman, Mike","502273","Guardians","","2B","2",2,1,2,1,-1,1,2,"76%","75%","1%"
"Freese, David","501896","Dodgers","","1B","0",0,0,1,0,-1,-2,2,"72%","72%","0%"
"Fuentes, Joshua","658069","Rockies","","1B","1",1,1,0,1,0,0,1,"86%","81%","5%"
"Gallo, Joey","608336","Rangers","","CF","0",0,0,1,0,0,-2,3,"90%","90%","0%"
"Galloway, Isaac","543194","Marlins","","CF","1",1,0,0,0,1,1,1,"97%","93%","4%"
