"last_name, first_name","player_id","year","player_id","pa","fastball_avg_speed","whiff_percent"
"Peterson, Tim",623402,2018,623402,118,"90.4",23.4
"Reininger, Zac",643617,2018,643617,100,"94.2",20.4
"Ramírez, Neil",519166,2018,519166,180,"95.3",31.2
"Happ, J.A.",457918,2018,457918,732,"91.9",24.1
"Díaz, Miguel",622766,2018,622766,85,"95.6",36
"Sandoval, Pablo",467055,2018,467055,3,,20
"Romo, Sergio",489265,2018,489265,283,"86.3",31.7
"Watson, Tony",453265,2018,453265,261,"92.5",27.1
"Festa, Matt",670036,2018,670036,40,"92.8",16.2
"Jackson, Edwin",429719,2018,429719,381,"92.2",20.6
"Anderson, Drew",623454,2018,623454,59,"92.8",21.7
"Finnegan, Brandon",605232,2018,605232,103,"90.9",16.1
"Rondón, Bruce",541652,2018,541652,154,"96.3",33
"Edwards Jr., Carl",605218,2018,605218,222,"94.5",33.8
"Iglesias, Raisel",628452,2018,628452,291,"95.2",33.8
"Adams, Austin",613534,2018,613534,7,"94.8",20
"Grimm, Justin",518748,2018,518748,83,"93.2",19.7
"Scherzer, Max",453286,2018,453286,866,"93.4",33.1
"Allen, Cody",592102,2018,592102,289,"93.6",30.7
"VerHagen, Drew",572403,2018,572403,233,"94.1",28.5
"Boyd, Matthew",571510,2018,571510,709,"90.4",23.6
"Peralta, Freddy",642547,2018,642547,321,"90.7",26.7
"Walker, Taijuan",592836,2018,592836,56,"93.2",18.4
"Martin, Chris",455119,2018,455119,177,"93.9",20.3
"Guerra, Javy",457915,2018,457915,162,"93.3",19.5
"Richard, Clayton",453385,2018,453385,682,"90",19.5
"Warren, Adam",476589,2018,476589,223,"91.8",26
"Almonte, Miguel",602083,2018,602083,34,"94.8",25
"Dixon, Brandon",641525,2018,641525,4,,33.3
"Bummer, Aaron",607481,2018,607481,144,"92.5",24.5
"Barraclough, Kyle",607457,2018,607457,245,"93.6",29.7
"Deetz, Dean",657209,2018,657209,15,"94.6",25.9
"Elías, Roenis",606273,2018,606273,210,"94.1",20.6
"Robles, Hansel",570663,2018,570663,242,"95.9",26.7
"Liriano, Francisco",434538,2018,434538,586,"92",25.4
"Morrow, Brandon",453344,2018,453344,122,"96.5",28.9
"Nicasio, Juan",504379,2018,504379,183,"93.9",23.5
"Lawrence, Casey",596271,2018,596271,106,"90.4",21.5
"Detwiler, Ross",446321,2018,446321,23,"89.6",15
"Corbin, Patrick",571578,2018,571578,800,"90.8",34.7
"McHugh, Collin",543521,2018,543521,283,"91.5",31.3
"Floro, Dylan",571670,2018,571670,271,"93.2",25.4
"Bush, Matt",456713,2018,456713,108,"95.5",23.2
"Brewer, Colten",605155,2018,605155,49,"92.5",29.7
"Devenski, Chris",606965,2018,606965,196,"94.2",31.3
"Alcantara, Sandy",645261,2018,645261,146,"93",27
"Smith, Murphy",573166,2018,573166,16,"91.8",11.5
"Wood, Hunter",621056,2018,621056,179,"94.3",30.4
"Buchholz, Clay",453329,2018,453329,393,"88.5",21.5
"Eovaldi, Nathan",543135,2018,543135,455,"95.2",21.8
"Romano, Sal",607219,2018,607219,644,"94.1",18.8
"Mazzoni, Cory",543508,2018,543508,36,"93.5",31
"Heaney, Andrew",571760,2018,571760,749,"91.9",26.3
"Flexen, Chris",623167,2018,623167,40,"91.7",14.1
"Mariñez, Jhan",501697,2018,501697,40,"95",18.6
"Lynn, Lance",458681,2018,458681,700,"92.4",23.5
