"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
673237,"Diaz, Yainer",3546,-3.6972400533836014,0.4214175654853621,0,0.17647058823529413,-1,0.449438202247191,0,0.20270270270270271,-1,0.5550239234449761,0,0.6271929824561403,0,0.3484848484848485,-2,0.4375,0,0.16806722689075632
672275,"Bailey, Patrick",6295,16.963407414404163,0.5294585987261147,1,0.2734375,1,0.5449275362318841,1,0.3103448275862069,2,0.6139130434782609,3,0.6638477801268499,2,0.3719806763285024,3,0.5927710843373494,3,0.32142857142857145
665804,"Amaya, Miguel",2560,2.5169033803357985,0.5030487804878049,0,0.2786885245901639,0,0.5299145299145299,0,0.14285714285714285,-1,0.5761904761904761,1,0.6480446927374302,1,0.44155844155844154,2,0.55,0,0.2857142857142857
596142,"Sánchez, Gary",4889,2.708398513969402,0.48399348887683125,0,0.17699115044247787,0,0.5254237288135594,1,0.27586206896551724,-2,0.5672043010752689,1,0.6488095238095238,0,0.3063063063063063,2,0.5401069518716578,1,0.2757009345794392
666310,"Naylor, Bo",4450,1.350611760137478,0.4715261958997722,1,0.225,1,0.5160142348754448,0,0.25806451612903225,1,0.6354515050167224,1,0.6637931034482759,0,0.2653061224489796,-2,0.43478260869565216,0,0.25842696629213485
682626,"Alvarez, Francisco",8053,13.945740618565978,0.48902195608782434,0,0.20642201834862386,0,0.4910025706940874,0,0.2867132867132867,4,0.6721311475409836,0,0.6423841059602649,2,0.3584070796460177,3,0.5272407732864675,3,0.2601626016260163
608348,"Kelly, Carson",3170,-2.619253895937758,0.4583676834295136,-1,0.1076923076923077,0,0.5491803278688525,0,0.2,0,0.5909090909090909,0,0.5879828326180258,0,0.3516483516483517,-1,0.5053763440860215,-1,0.14285714285714285
661388,"Contreras, William",8246,9.344693510635016,0.48176761433868975,-1,0.15609756097560976,0,0.49404761904761907,0,0.23387096774193547,-1,0.5824372759856631,2,0.6521739130434783,1,0.32945736434108525,6,0.5632911392405063,2,0.26153846153846155
518595,"d'Arnaud, Travis",4633,2.7710506515993356,0.4891000558971492,0,0.21428571428571427,0,0.5069124423963134,-1,0.17582417582417584,1,0.6153846153846154,1,0.6347826086956522,0,0.34306569343065696,1,0.546242774566474,0,0.23170731707317074
666023,"Fermin, Freddy",4406,3.0608813853059846,0.4759036144578313,-1,0.12871287128712872,-1,0.4791666666666667,0,0.189873417721519,1,0.6013071895424836,-2,0.601823708206687,2,0.4306569343065693,3,0.530791788856305,1,0.2742857142857143
669221,"Murphy, Sean",7466,3.9780779989231103,0.48869565217391303,-1,0.18421052631578946,-3,0.4477124183006536,-1,0.2184873949579832,0,0.5909090909090909,0,0.6262798634812287,1,0.33031674208144796,6,0.6312949640287769,2,0.24
575929,"Contreras, Willson",7037,-6.604318734322859,0.44287780187997106,1,0.21714285714285714,1,0.5026455026455027,1,0.26063829787234044,1,0.5977653631284916,-2,0.5989110707803993,-2,0.2640449438202247,-6,0.401980198019802,-1,0.18503937007874016
666165,"Sabol, Blake",3376,2.1655604460536577,0.4903129657228018,0,0.20224719101123595,0,0.4895833333333333,0,0.27710843373493976,-1,0.5708154506437768,3,0.7465277777777778,0,0.31683168316831684,0,0.509090909090909,0,0.22794117647058823
521692,"Perez, Salvador",6609,-5.942803211139112,0.43909348441926344,0,0.16265060240963855,-1,0.48,-1,0.1557377049180328,0,0.6016771488469602,-2,0.6047058823529412,0,0.29207920792079206,0,0.4651639344262295,0,0.19924812030075187
596117,"Stubbs, Garrett",2427,-3.3937756621716857,0.4279749478079332,0,0.21311475409836064,-1,0.422680412371134,0,0.2708333333333333,-2,0.45789473684210524,-2,0.5506329113924051,0,0.3103448275862069,1,0.5482456140350878,0,0.19101123595505617
595978,"Hedges, Austin",5134,14.484837279737677,0.5250123823675087,1,0.27624309392265195,3,0.5827586206896552,2,0.4224137931034483,-2,0.5365239294710328,4,0.6990521327014217,1,0.3904761904761905,3,0.6044303797468354,1,0.2708333333333333
