"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",-1,1,-3,1,1,1,-2,"79%","79%","0%"
"Astros","117","","",46,8,26,10,4,23,23,"80%","79%","1%"
"Athletics","133","","",20,6,6,8,1,7,14,"81%","81%","0%"
"Blue Jays","141","","",-40,5,-11,-32,-2,-22,-18,"78%","79%","-1%"
"Braves","144","","",44,10,13,20,0,26,18,"80%","79%","1%"
"Brewers","158","","",38,8,6,23,1,30,8,"80%","79%","1%"
"Cardinals","138","","",-38,-14,-20,-7,4,-15,-23,"78%","79%","-1%"
"Cubs","112","","",24,11,7,9,-2,26,-2,"79%","78%","1%"
"D-backs","109","","",28,21,-7,17,-2,29,0,"80%","79%","1%"
"Dodgers","119","","",-12,-5,4,-6,-6,-4,-8,"79%","80%","-1%"
"Giants","137","","",-5,-1,0,-4,2,6,-11,"79%","79%","0%"
"Guardians","114","","",-7,1,-3,0,-4,4,-11,"78%","78%","0%"
"Mariners","136","","",-11,4,-2,-6,-7,-7,-4,"79%","79%","0%"
"Marlins","146","","",25,19,24,-13,-4,17,8,"80%","79%","1%"
"Mets","121","","",-14,-7,4,-1,-11,-23,9,"78%","78%","0%"
"Nationals","120","","",0,-6,8,3,-5,0,0,"79%","79%","0%"
"Orioles","110","","",-43,-4,-15,-24,0,-16,-27,"77%","78%","-1%"
"Padres","135","","",8,-4,3,8,2,26,-18,"79%","78%","1%"
"Phillies","143","","",-36,-7,-18,-4,-6,-19,-16,"78%","79%","-1%"
"Pirates","134","","",5,5,4,-6,2,6,-1,"78%","78%","0%"
"Rangers","140","","",11,-3,2,10,2,3,8,"79%","78%","1%"
"Rays","139","","",-1,-8,-7,11,4,4,-5,"80%","80%","0%"
"Red Sox","111","","",10,17,-2,2,-6,1,9,"79%","79%","0%"
"Reds","113","","",16,-1,14,8,-5,28,-12,"79%","78%","1%"
"Rockies","115","","",-5,15,-10,-3,-6,1,-6,"79%","79%","0%"
"Royals","118","","",-13,-3,12,-24,3,-12,-1,"77%","78%","-1%"
"Tigers","116","","",-21,-1,-16,-1,-3,1,-22,"79%","79%","0%"
"Twins","142","","",5,2,13,-10,-1,-6,11,"79%","78%","1%"
"White Sox","145","","",1,-15,-1,8,7,10,-9,"79%","79%","0%"
"Yankees","147","","",-37,-14,-9,-12,-3,-27,-10,"78%","80%","-2%"
