"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abreu, José","547989","White Sox","","1B","3",4,0,3,1,1,-1,5,"82%","78%","4%"
"Acuña Jr., Ronald","660670","Braves","","CF","1",1,-2,0,2,0,0,0,"92%","92%","0%"
"Adames, Willy","642715","Rays","","SS","-1",-1,-1,1,-1,0,-1,0,"71%","72%","-1%"
"Adams, Matt","571431","Braves","","1B","0",0,0,0,0,0,0,0,"100%","91%","9%"
"Adell, Jo","666176","Angels","","RF","-4",-4,-1,-2,0,-1,-1,-3,"83%","88%","-5%"
"Adrianza, Ehire","501303","Twins","","3B","3",3,3,-1,2,0,1,2,"69%","66%","3%"
"Aguilar, Jesús","542583","Marlins","","1B","-4",-5,-1,-4,0,-1,-2,-3,"54%","60%","-6%"
"Ahmed, Nick","605113","D-backs","","SS","6",7,2,3,2,1,7,0,"76%","72%","4%"
"Akiyama, Shogo","673451","Reds","","LF","1",1,0,2,-1,0,1,0,"92%","91%","1%"
"Alberto, Hanser","593643","Orioles","","2B","-3",-3,1,-3,0,-2,-5,2,"77%","79%","-2%"
"Albies, Ozzie","645277","Braves","","2B","2",3,0,1,3,0,1,2,"81%","78%","3%"
"Alcántara, Sergio","642727","Tigers","","3B","-1",-2,0,0,-1,0,-2,1,"46%","53%","-7%"
"Alfaro, Jorge","595751","Marlins","","RF","-1",-1,0,0,0,-1,-1,0,"0%","80%","-80%"
"Alford, Anthony","546990","---","","LF","-1",-1,-1,0,-1,0,-1,-1,"67%","77%","-10%"
"Allen, Greg","656185","---","","LF","0",0,0,0,0,0,1,0,"95%","93%","2%"
"Almonte, Abraham","501659","Padres","","LF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Almora Jr., Albert","546991","Cubs","","CF","0",0,0,0,0,0,-1,1,"86%","85%","1%"
"Alonso, Pete","624413","Mets","","1B","-4",-5,-2,0,-3,0,-1,-4,"63%","70%","-7%"
"Altuve, Jose","514888","Astros","","2B","-5",-7,-1,1,-4,-2,0,-7,"74%","77%","-3%"
"Alvarez, Eddy","657193","Marlins","","2B","-1",-1,-1,0,0,0,-1,0,"77%","79%","-2%"
"Anderson, Brian","605119","Marlins","","3B","3",5,3,0,1,1,2,3,"74%","72%","2%"
"Anderson, Tim","641313","White Sox","","SS","2",3,4,0,0,-1,0,2,"76%","74%","2%"
"Andrus, Elvis","462101","Rangers","","SS","-1",-2,2,1,-4,0,-3,1,"75%","77%","-2%"
