"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",-22,11,-12,-20,-1,-15,-7,"77%","78%","-1%"
"Astros","117","","",36,23,-1,11,3,31,6,"80%","78%","2%"
"Athletics","133","","",19,20,-4,-1,5,18,1,"78%","78%","0%"
"Blue Jays","141","","",-9,-11,-6,5,2,-7,-3,"79%","80%","-1%"
"Braves","144","","",10,20,-7,-4,1,-1,11,"80%","79%","1%"
"Brewers","158","","",-20,-10,-10,-2,2,-8,-12,"79%","80%","-1%"
"Cardinals","138","","",51,29,6,9,8,31,21,"81%","79%","2%"
"Cubs","112","","",14,-2,10,5,0,0,14,"78%","77%","1%"
"D-backs","109","","",-15,0,-5,-6,-3,-7,-7,"78%","78%","0%"
"Dodgers","119","","",-16,-2,-9,-5,0,-14,-2,"79%","80%","-1%"
"Giants","137","","",29,15,15,1,-1,21,8,"79%","78%","1%"
"Guardians","114","","",18,5,7,8,-2,12,6,"79%","79%","0%"
"Mariners","136","","",-6,3,-1,-10,2,-10,5,"78%","78%","0%"
"Marlins","146","","",-9,0,-5,-7,4,-1,-8,"78%","78%","0%"
"Mets","121","","",25,6,6,8,5,9,16,"79%","78%","1%"
"Nationals","120","","",-25,4,-4,-18,-7,-28,3,"78%","79%","-1%"
"Orioles","110","","",-28,-5,-14,-10,1,-15,-13,"77%","78%","-1%"
"Padres","135","","",10,7,4,-6,5,5,5,"79%","79%","0%"
"Phillies","143","","",-23,-2,-4,-13,-2,-20,-3,"77%","78%","-1%"
"Pirates","134","","",-10,5,-9,-8,2,7,-17,"79%","79%","0%"
"Rangers","140","","",27,-6,13,17,3,14,12,"79%","79%","0%"
"Rays","139","","",27,4,7,17,-1,7,20,"80%","79%","1%"
"Red Sox","111","","",-38,-8,-18,-10,-3,-26,-12,"76%","78%","-2%"
"Reds","113","","",-37,-6,-13,-21,2,-22,-15,"77%","78%","-1%"
"Rockies","115","","",3,6,-8,4,1,9,-6,"79%","79%","0%"
"Royals","118","","",24,8,18,1,-1,12,12,"78%","77%","1%"
"Tigers","116","","",-16,-7,-2,-9,3,-14,-2,"78%","78%","0%"
"Twins","142","","",9,0,4,3,1,19,-10,"79%","79%","0%"
"White Sox","145","","",-7,-2,-2,-3,0,-9,2,"78%","78%","0%"
"Yankees","147","","",-21,-11,-5,-3,-3,-19,-2,"78%","78%","0%"
