"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",-37,-14,-23,-2,2,-34,-3,"79%","80%","-1%"
"Astros","117","","",-2,0,2,-3,-1,2,-3,"80%","80%","0%"
"Athletics","133","","",-47,4,-35,-11,-5,-22,-25,"78%","79%","-1%"
"Blue Jays","141","","",24,9,0,13,3,16,8,"80%","79%","1%"
"Braves","144","","",0,17,3,-18,-2,1,0,"79%","79%","0%"
"Brewers","158","","",29,12,10,1,5,21,8,"80%","79%","1%"
"Cardinals","138","","",13,17,-11,6,0,10,3,"79%","78%","1%"
"Cubs","112","","",22,16,-1,3,4,21,1,"79%","79%","0%"
"D-backs","109","","",36,30,13,-1,-6,11,25,"78%","77%","1%"
"Dodgers","119","","",-2,-1,1,-8,5,-13,10,"80%","80%","0%"
"Giants","137","","",-7,13,-9,-3,-8,-11,4,"76%","76%","0%"
"Guardians","114","","",11,1,10,3,-3,-1,12,"79%","79%","0%"
"Mariners","136","","",-16,-5,-13,-2,4,9,-25,"80%","81%","-1%"
"Marlins","146","","",-38,-24,-11,-1,-2,-23,-15,"77%","78%","-1%"
"Mets","121","","",4,-5,9,0,-1,10,-6,"79%","79%","0%"
"Nationals","120","","",-21,-3,-14,4,-8,-13,-8,"77%","78%","-1%"
"Orioles","110","","",-10,-10,-4,-5,9,-16,6,"79%","79%","0%"
"Padres","135","","",5,10,-1,-8,3,-2,7,"78%","78%","0%"
"Phillies","143","","",7,-10,5,8,5,-8,15,"78%","77%","1%"
"Pirates","134","","",-15,1,-8,-9,1,-7,-8,"77%","78%","-1%"
"Rangers","140","","",26,17,1,9,0,9,17,"79%","78%","1%"
"Rays","139","","",4,2,-6,6,2,2,2,"80%","80%","0%"
"Red Sox","111","","",-19,0,-8,-9,-2,-9,-9,"78%","79%","-1%"
"Reds","113","","",-15,8,-16,-11,3,-2,-13,"79%","79%","0%"
"Rockies","115","","",9,17,-14,10,-5,8,1,"77%","77%","0%"
"Royals","118","","",40,10,18,8,3,34,6,"79%","77%","2%"
"Tigers","116","","",22,12,6,3,2,5,18,"80%","79%","1%"
"Twins","142","","",3,4,3,-4,0,0,2,"78%","78%","0%"
"White Sox","145","","",-38,-12,-16,-12,1,-32,-6,"78%","79%","-1%"
"Yankees","147","","",10,2,-8,21,-4,21,-10,"79%","78%","1%"
