"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abreu, José","547989","White Sox","","1B","0",1,2,-2,0,1,2,-1,"73%","73%","0%"
"Acuña Jr., Ronald","660670","Braves","","RF","1",1,0,0,-1,2,1,1,"89%","88%","1%"
"Adames, Willy","642715","---","","SS","-5",-7,0,1,-7,0,-1,-6,"75%","76%","-1%"
"Adams, Matt","571431","Rockies","","1B","-1",-1,-1,0,0,0,0,0,"68%","72%","-4%"
"Adell, Jo","666176","Angels","","LF","0",0,-1,1,-1,1,1,-1,"82%","82%","0%"
"Adrianza, Ehire","501303","Braves","","3B","1",1,1,1,-1,0,0,1,"76%","75%","1%"
"Aguilar, Jesús","542583","Marlins","","1B","2",2,4,-1,-1,1,3,0,"69%","68%","1%"
"Ahmed, Nick","605113","D-backs","","SS","13",18,12,3,3,0,15,3,"76%","72%","4%"
"Akiyama, Shogo","673451","Reds","","CF","1",2,1,-1,2,0,2,0,"90%","88%","2%"
"Alberto, Hanser","593643","Royals","","3B","-1",-1,-3,0,3,-1,-1,0,"73%","73%","0%"
"Albies, Ozzie","645277","Braves","","2B","2",2,7,-1,-2,-1,0,2,"79%","79%","0%"
"Alcántara, Sergio","642727","Cubs","","SS","6",8,2,2,4,1,2,6,"75%","72%","3%"
"Alfaro, Jorge","595751","Marlins","","LF","-1",-1,0,0,-1,0,0,-1,"82%","87%","-5%"
"Alford, Anthony","546990","Pirates","","LF","3",4,0,2,1,1,2,2,"89%","83%","6%"
"Allen, Greg","656185","Yankees","","RF","1",1,1,0,0,0,1,0,"93%","90%","3%"
"Almonte, Abraham","501659","Braves","","LF","-3",-3,0,1,-2,-2,-1,-2,"82%","86%","-4%"
"Almora Jr., Albert","546991","Mets","","CF","1",1,0,0,0,0,0,0,"91%","90%","1%"
"Alonso, Pete","624413","Mets","","1B","2",3,4,-4,4,-1,2,1,"73%","72%","1%"
"Altuve, Jose","514888","Astros","","2B","2",2,9,-1,-5,-1,-1,3,"75%","75%","0%"
"Alvarez, Eddy","657193","Marlins","","3B","-3",-3,-2,-2,0,0,-2,-2,"64%","69%","-5%"
"Alvarez, Yordan","670541","Astros","","LF","0",-1,1,-1,-1,0,-1,0,"81%","82%","-1%"
"Amburgey, Trey","664011","Yankees","","RF","0",0,0,0,0,0,0,0,"100%","98%","2%"
"Anderson, Brian","605119","Marlins","","3B","1",1,1,0,0,0,2,-1,"71%","70%","1%"
"Anderson, Tim","641313","White Sox","","SS","1",1,0,2,-3,2,0,2,"72%","72%","0%"
"Andreoli, John","607430","Padres","","CF","0",0,0,0,0,0,0,0,"100%","98%","2%"
"Andrus, Elvis","462101","Athletics","","SS","4",5,9,-1,-2,-2,5,0,"72%","71%","1%"
"Andujar, Miguel","609280","Yankees","","LF","-2",-2,0,-2,0,0,-1,-1,"81%","83%","-2%"
"Aquino, Aristides","606157","Reds","","LF","-2",-3,-2,0,-1,0,0,-2,"81%","83%","-2%"
"Araúz, Jonathan","660620","Red Sox","","SS","0",0,-1,0,1,0,1,-1,"74%","74%","0%"
"Arcia, Orlando","606115","---","","LF","-1",-1,0,0,0,-1,0,-1,"78%","79%","-1%"
"Arenado, Nolan","571448","Cardinals","","3B","7",10,7,-1,5,-1,14,-4,"70%","68%","2%"
"Arozarena, Randy","668227","Rays","","LF","1",1,0,0,3,-2,-1,2,"89%","89%","0%"
"Arraez, Luis","650333","Twins","","3B","-4",-5,-3,-2,0,0,1,-6,"74%","76%","-2%"
"Arroyo, Christian","624414","Red Sox","","2B","-1",-1,-2,-1,1,1,0,0,"78%","79%","-1%"
"Arteaga, Humberto","600858","Nationals","","SS","0",0,0,0,0,0,0,0,"100%","100%","0%"
"Astudillo, Willians","553902","Twins","","3B","-2",-3,-2,0,0,-1,-1,-2,"66%","68%","-2%"
"Avila, Alex","488671","Nationals","","2B","0",0,0,0,0,0,0,0,"40%","40%","0%"
"Baddoo, Akil","668731","Tigers","","CF","-1",-1,-2,1,0,0,0,-2,"88%","88%","0%"
"Bader, Harrison","664056","Cardinals","","CF","12",14,2,6,5,1,6,7,"94%","89%","5%"
"Barnes, Austin","605131","Dodgers","","2B","0",0,0,0,0,0,0,0,"50%","56%","-6%"
"Barnhart, Tucker","571466","Reds","","1B","0",0,0,0,0,0,0,0,"100%","98%","2%"
"Barrera, Luis","642456","Athletics","","CF","1",1,0,0,1,0,0,1,"100%","80%","20%"
"Barrero, José","676480","Reds","","SS","1",1,1,1,0,0,0,1,"79%","76%","3%"
"Bauers, Jake","641343","---","","1B","2",3,2,-1,1,1,0,3,"83%","82%","1%"
"Beaty, Matt","607461","Dodgers","","LF","-5",-6,-2,-1,-2,0,-3,-3,"73%","79%","-6%"
"Beer, Seth","666179","D-backs","","1B","-1",-1,-1,0,0,0,-1,0,"0%","88%","-88%"
"Bell, Josh","605137","Nationals","","1B","2",3,3,-1,0,1,-1,4,"74%","73%","1%"
"Bellinger, Cody","641355","Dodgers","","CF","1",1,-1,-2,4,0,1,-1,"88%","88%","0%"
"Belt, Brandon","474832","Giants","","1B","2",2,1,-2,3,1,1,1,"75%","74%","1%"
"Bemboom, Anthony","621532","Angels","","LF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Benintendi, Andrew","643217","Royals","","LF","0",0,-1,1,-1,1,0,0,"85%","85%","0%"
"Berti, Jon","542932","Marlins","","3B","0",0,1,-3,1,1,2,-2,"76%","76%","0%"
"Betts, Mookie","605141","Dodgers","","RF","-1",-1,1,-3,1,0,-1,0,"87%","88%","-1%"
"Bichette, Bo","666182","Blue Jays","","SS","-4",-6,-13,0,4,3,-7,2,"73%","74%","-1%"
"Biggio, Cavan","624415","Blue Jays","","3B","-6",-7,-1,0,-5,-1,-4,-3,"72%","76%","-4%"
"Bishop, Braden","623323","Mariners","","LF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Blackmon, Charlie","453568","Rockies","","RF","-8",-9,-1,-4,-4,0,-3,-6,"83%","87%","-4%"
"Blandino, Alex","607468","Reds","","1B","0",1,0,0,1,0,0,0,"79%","78%","1%"
"Blankenhorn, Travis","663905","---","","2B","-1",-1,0,-1,-1,0,-1,0,"57%","76%","-19%"
"Bogaerts, Xander","593428","Red Sox","","SS","-9",-12,-1,-9,-1,-1,-10,-1,"72%","74%","-2%"
"Bohm, Alec","664761","Phillies","","3B","-2",-3,-1,2,-3,-1,-2,-1,"71%","72%","-1%"
"Bolt, Skye","621450","---","","CF","2",2,0,0,1,0,1,1,"93%","89%","4%"
"Bonifacio, Jorge","593528","Phillies","","CF","0",0,0,0,0,0,0,0,"83%","83%","0%"
"Bote, David","623520","Cubs","","2B","0",0,2,1,-4,1,0,1,"72%","72%","0%"
"Bradley Jr., Jackie","598265","Brewers","","CF","3",3,1,0,2,0,4,-1,"91%","90%","1%"
"Bradley, Bobby","656252","Guardians","","1B","0",0,0,0,-1,-1,0,0,"77%","78%","-1%"
"Brantley, Michael","488726","Astros","","LF","-2",-2,0,-1,-2,1,0,-2,"86%","87%","-1%"
"Bregman, Alex","608324","Astros","","3B","0",0,2,-3,0,1,7,-7,"69%","69%","0%"
"Brinson, Lewis","621446","Marlins","","LF","0",0,0,1,0,0,0,0,"89%","89%","0%"
"Brosseau, Mike","670712","Rays","","2B","0",0,0,2,-2,0,0,0,"73%","72%","1%"
"Brown, Seth","664913","Athletics","","RF","3",4,1,-1,2,1,3,1,"91%","89%","2%"
"Bruce, Jay","457803","Yankees","","1B","0",0,0,-1,0,0,0,0,"58%","62%","-4%"
"Bruján, Vidal","660644","Rays","","2B","0",0,0,0,-1,0,0,0,"75%","77%","-2%"
"Bryant, Kris","592178","---","","3B","-7",-9,-2,-1,-4,-3,-6,-3,"74%","77%","-3%"
"Burger, Jake","669394","White Sox","","3B","1",1,1,0,0,0,1,0,"88%","80%","8%"
"Burns, Andy","542992","Dodgers","","3B","0",0,0,-1,0,0,-1,0,"38%","43%","-5%"
"Buxton, Byron","621439","Twins","","CF","7",7,1,4,3,0,4,3,"95%","91%","4%"
"Báez, Javier","595879","---","","SS","2",3,-4,4,1,1,1,1,"79%","79%","0%"
"Cabrera, Asdrúbal","452678","---","","3B","-1",-2,0,-4,3,-1,2,-4,"67%","68%","-1%"
"Cabrera, Miguel","408234","Tigers","","1B","-1",-1,0,0,-1,0,0,-1,"75%","76%","-1%"
"Cain, Lorenzo","456715","Brewers","","CF","5",5,-1,3,3,1,3,2,"93%","90%","3%"
"Calhoun, Kole","594777","D-backs","","RF","-1",-1,0,-1,0,0,-2,1,"86%","87%","-1%"
"Calhoun, Willie","641432","Rangers","","LF","-2",-2,-2,-1,0,0,-2,0,"82%","86%","-4%"
"Camargo, Johan","622666","Braves","","2B","0",-1,0,-1,0,0,-1,0,"50%","63%","-13%"
"Cameron, Daz","663662","Tigers","","CF","-1",-1,-1,-1,-1,1,-2,1,"81%","82%","-1%"
"Campbell, Eric","493472","Mariners","","3B","0",0,0,0,0,0,0,0,"67%","71%","-4%"
"Candelario, Jeimer","600869","Tigers","","3B","0",0,2,2,-4,0,2,-2,"67%","67%","0%"
"Canha, Mark","592192","Athletics","","LF","1",1,0,1,0,1,1,0,"87%","86%","1%"
"Caratini, Victor","605170","Padres","","3B","0",0,0,0,0,0,0,0,"25%","19%","6%"
"Carlson, Dylan","666185","Cardinals","","RF","-3",-4,-3,-1,-1,1,1,-4,"88%","89%","-1%"
"Carpenter, Matt","572761","Cardinals","","2B","-1",-1,1,-2,-1,0,0,-1,"71%","72%","-1%"
"Castellanos, Nick","592206","Reds","","RF","-6",-7,-2,-4,-1,1,-4,-3,"82%","85%","-3%"
"Castillo, Ivan","622668","Padres","","3B","0",0,0,0,0,0,0,0,"100%","95%","5%"
"Castro, Harold","605612","Tigers","","SS","-9",-12,-3,-7,-2,-1,-9,-3,"72%","76%","-4%"
"Castro, Rodolfo","666801","Pirates","","2B","0",-1,-1,-1,1,0,-1,0,"74%","75%","-1%"
