"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",6,-1,-1,5,2,10,-4,"79%","79%","0%"
"Astros","117","","",51,24,19,6,3,26,25,"79%","78%","1%"
"Athletics","133","","",4,3,4,-7,4,10,-7,"80%","80%","0%"
"Blue Jays","141","","",-28,-8,-15,-7,2,-12,-16,"77%","78%","-1%"
"Braves","144","","",3,17,-14,5,-5,5,-2,"76%","76%","0%"
"Brewers","158","","",3,-11,10,-1,5,-4,7,"77%","77%","0%"
"Cardinals","138","","",27,7,1,10,9,13,14,"79%","79%","0%"
"Cubs","112","","",35,11,24,4,-5,29,5,"77%","76%","1%"
"D-backs","109","","",30,2,17,6,5,4,25,"78%","77%","1%"
"Dodgers","119","","",5,6,3,-1,-3,7,-1,"79%","79%","0%"
"Giants","137","","",17,6,12,6,-6,24,-8,"79%","78%","1%"
"Guardians","114","","",33,14,4,12,2,16,16,"79%","78%","1%"
"Mariners","136","","",-23,6,-18,-3,-8,-9,-14,"78%","78%","0%"
"Marlins","146","","",-12,-4,10,-17,0,-10,-2,"78%","79%","-1%"
"Mets","121","","",-18,0,-12,0,-8,-4,-15,"77%","77%","0%"
"Nationals","120","","",29,6,18,-1,5,22,7,"78%","78%","0%"
"Orioles","110","","",-34,-24,-1,-11,1,-37,3,"78%","79%","-1%"
"Padres","135","","",-28,-13,4,-13,-5,-16,-12,"77%","78%","-1%"
"Phillies","143","","",-4,-1,2,-8,3,5,-9,"77%","77%","0%"
"Pirates","134","","",-27,-9,-12,1,-6,-17,-9,"76%","77%","-1%"
"Rangers","140","","",-8,-3,5,-10,-1,-10,2,"76%","76%","0%"
"Rays","139","","",5,-4,-5,15,-3,-2,7,"79%","79%","0%"
"Red Sox","111","","",7,10,4,-6,-1,7,0,"78%","78%","0%"
"Reds","113","","",25,10,11,6,0,34,-8,"79%","78%","1%"
"Rockies","115","","",15,14,-7,4,3,13,2,"77%","76%","1%"
"Royals","118","","",-18,-5,-1,-10,-3,-11,-7,"77%","77%","0%"
"Tigers","116","","",-18,2,-17,-1,-2,-7,-11,"76%","77%","-1%"
"Twins","142","","",-24,-11,-3,-11,0,-8,-16,"77%","78%","-1%"
"White Sox","145","","",-16,-2,0,-14,0,-2,-14,"77%","77%","0%"
"Yankees","147","","",-37,-12,-26,1,1,-17,-20,"78%","79%","-1%"
