"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",-20,-5,-7,-9,1,-13,-6,"77%","77%","0%"
"Astros","117","","",5,8,-1,-3,1,5,0,"79%","79%","0%"
"Athletics","133","","",-22,3,-13,-11,-1,-22,0,"78%","78%","0%"
"Blue Jays","141","","",7,2,1,-1,5,9,-1,"79%","79%","0%"
"Braves","144","","",-14,-3,-2,-14,5,-9,-6,"79%","79%","0%"
"Brewers","158","","",38,16,14,5,5,24,15,"81%","80%","1%"
"Cardinals","138","","",-2,9,-6,-2,-4,-7,5,"76%","76%","0%"
"Cubs","112","","",16,15,7,-5,-1,3,13,"78%","78%","0%"
"D-backs","109","","",36,4,20,5,6,21,15,"79%","78%","1%"
"Dodgers","119","","",-4,-4,4,-2,0,-24,20,"79%","79%","0%"
"Giants","137","","",16,14,3,-2,1,6,11,"77%","77%","0%"
"Guardians","114","","",12,-7,12,5,3,3,9,"79%","79%","0%"
"Mariners","136","","",21,14,-7,10,4,21,0,"79%","78%","1%"
"Marlins","146","","",-34,-11,-9,-11,-3,-16,-18,"77%","78%","-1%"
"Mets","121","","",-14,-5,-8,-4,4,-10,-3,"78%","79%","-1%"
"Nationals","120","","",-2,6,-3,-5,0,2,-3,"78%","78%","0%"
"Orioles","110","","",-11,3,-18,3,1,-7,-5,"79%","79%","0%"
"Padres","135","","",26,19,0,3,3,27,-1,"79%","78%","1%"
"Phillies","143","","",7,2,-9,18,-4,10,-3,"78%","78%","0%"
"Pirates","134","","",2,1,2,-5,4,7,-5,"79%","79%","0%"
"Rangers","140","","",35,18,4,14,-1,21,15,"80%","79%","1%"
"Rays","139","","",-4,3,-7,5,-4,6,-10,"78%","78%","0%"
"Red Sox","111","","",-52,-10,-20,-14,-8,-18,-34,"77%","79%","-2%"
"Reds","113","","",-34,-3,-20,-13,2,-21,-13,"78%","79%","-1%"
"Rockies","115","","",-2,4,-8,5,-3,6,-8,"77%","77%","0%"
"Royals","118","","",31,12,-1,17,3,30,0,"77%","76%","1%"
"Tigers","116","","",-10,-11,-1,-4,6,-17,7,"78%","78%","0%"
"Twins","142","","",-13,-2,-2,-8,-1,8,-20,"79%","79%","0%"
"White Sox","145","","",-19,2,-8,-10,-2,-10,-9,"78%","78%","0%"
"Yankees","147","","",2,6,-5,8,-7,7,-5,"79%","79%","0%"
