game_id,date,season,fr_tot,fr_rate,fr_nmatch,oaa_team,oaa_lineup,sprint_mean,sprint_imp,velo,whiff
KCA201604030,20160403,2016,-461.1703381145734,-6.679587882117849,2,,,-0.2277777777777814,-0.17777777777777715,-2.299999999999997,-4.0
TBA201604030,20160403,2016,101.37137468955822,1.9267159104416898,2,,,1.0333333333333314,1.0333333333333314,3.5999999999999943,11.7
PIT201604030,20160403,2016,326.14065843634654,3.697842583071121,2,,,0.7750000000000021,0.7750000000000021,4.400000000000006,15.0
ANA201604040,20160404,2016,-367.0396327091304,-5.558296592474465,2,,,-0.6555555555555586,-0.6555555555555586,1.0,0.6000000000000014
BAL201604040,20160404,2016,55.77541563542228,0.38360129997839776,2,,,-1.0,-0.8888888888888893,-1.0,-3.6999999999999993
OAK201604040,20160404,2016,18.56469625023668,2.7393496312045964,2,,,0.11111111111111072,0.11111111111111072,-4.400000000000006,-5.5000000000000036
TBA201604040,20160404,2016,23.80584694737804,2.494167173868939,2,,,1.3111111111111136,1.3111111111111136,6.6000000000000085,6.600000000000001
TEX201604040,20160404,2016,-235.87247250543092,-3.9028550797248873,2,,,0.9555555555555557,0.9555555555555557,0.09999999999999432,3.299999999999997
ARI201604040,20160404,2016,201.51146721973214,2.2980761517525155,2,,,0.8517857142857146,0.7875000000000014,2.200000000000003,0.6000000000000014
ATL201604040,20160404,2016,-155.00454868103247,-2.0239986646801764,2,,,-0.08749999999999858,-0.08749999999999858,-2.9000000000000057,-5.100000000000001
CIN201604040,20160404,2016,252.57699363348092,6.760139101158441,2,,,-0.3982142857142854,-0.375,1.6000000000000085,3.5
MIL201604040,20160404,2016,-354.35101547909693,-4.745062160561453,2,,,-0.12142857142857011,-0.125,4.5,-9.8
SDN201604040,20160404,2016,367.7272739927964,7.3466413128156995,2,,,0.5125000000000028,0.5125000000000028,-0.7999999999999972,-2.0
ANA201604050,20160405,2016,-242.10195037796564,-6.537792390793795,2,,,-0.5888888888888886,-0.5888888888888886,0.7000000000000028,-4.199999999999999
CLE201604050,20160405,2016,97.55679636652889,1.5567902495857595,2,,,0.1333333333333293,0.1333333333333293,-0.29999999999999716,1.6000000000000014
KCA201604050,20160405,2016,-461.1703381145734,-6.679587882117849,2,,,-0.14999999999999858,-0.09999999999999432,-10.600000000000009,-4.799999999999997
NYA201604050,20160405,2016,-404.44257101942117,-5.243948487761719,2,,,-1.4222222222222207,-1.4222222222222207,2.1000000000000085,-0.6999999999999993
OAK201604050,20160405,2016,82.86285554857821,2.986721494046091,2,,,-0.6000000000000014,-0.6000000000000014,1.7000000000000028,-1.5999999999999979
TBA201604050,20160405,2016,101.37137468955822,1.9267159104416898,2,,,1.2666666666666657,1.2666666666666657,-4.699999999999989,4.5
TEX201604050,20160405,2016,-235.87247250543092,-3.9028550797248873,2,,,0.68888888888889,0.6111111111111107,3.5,-5.399999999999999
ARI201604050,20160405,2016,201.51146721973214,2.2980761517525155,2,,,0.860714285714284,0.8125,0.5999999999999943,-1.8999999999999986
MIA201604050,20160405,2016,109.21632192468209,1.5062542019930847,2,,,0.6374999999999993,0.6374999999999993,-1.4000000000000057,-3.6999999999999993
