game_id,season,date,team,epa_off,sr_off,plays_off,epa_pass_off,epa_rush_off,epa_def,sr_def,plays_def
401110720,2019,2019-08-31,ala,0.086201895327264,0.5178571428571429,56,0.6774375075206449,-0.0783857647349322,-0.2843605398080823,0.2,50
401110720,2019,2019-08-31,duke,-0.2843605398080823,0.2,50,-0.4895858234082053,-0.2965107985288263,0.086201895327264,0.5178571428571429,56
401110721,2019,2019-08-31,ark,-0.0287367075388525,0.4157303370786517,89,-0.0962546863844321,0.157619108503116,-0.2725957557972155,0.2151898734177215,79
401110721,2019,2019-08-31,prst,-0.2725957557972155,0.2151898734177215,79,-0.5299259022502422,0.0047018651399618,-0.0287367075388525,0.4157303370786517,89
401110722,2019,2019-08-31,aub,-0.1468365083657237,0.3684210526315789,95,-0.0993935241832315,0.1442241420734246,-0.1879611682649584,0.2888888888888888,90
401110722,2019,2019-08-31,ore,-0.1879611682649584,0.2888888888888888,90,0.1278682778618678,-0.0824449126292567,-0.1468365083657237,0.3684210526315789,95
401110723,2019,2019-08-24,fla,-0.1637371571124519,0.3768115942028985,69,0.4417560909063059,-0.027845405795924,-0.0767741601989193,0.2376237623762376,101
401110723,2019,2019-08-24,mia,-0.0767741601989193,0.2376237623762376,101,-0.2212022080923648,-0.2305384940558669,-0.1637371571124519,0.3768115942028985,69
401110724,2019,2019-08-31,tol,-0.0119016438070234,0.2876712328767123,73,-0.0713847715239501,0.0428300727264521,0.1966223967575069,0.4459459459459459,74
401110724,2019,2019-08-31,uk,0.1966223967575069,0.4459459459459459,74,0.5085684728227661,0.1052145254396984,-0.0119016438070234,0.2876712328767123,73
401110725,2019,2019-08-31,gaso,-0.8403236570023236,0.0,10,-1.0059732391932457,-1.0356581947594006,0.526883229814879,0.7083333333333334,24
401110725,2019,2019-08-31,lsu,0.526883229814879,0.7083333333333334,24,0.8827203194137875,0.3372845447064836,-0.8403236570023236,0.0,10
401110726,2019,2019-08-31,mem,-0.1063681454786551,0.3571428571428571,98,-0.2062864085610189,0.1022472015544627,-0.2523345142374857,0.3125,64
401110726,2019,2019-08-31,miss,-0.2523345142374857,0.3125,64,-0.320290742468076,-0.2344408252690878,-0.1063681454786551,0.3571428571428571,98
401110727,2019,2019-08-31,msst,0.1174732069636755,0.53125,64,0.2646171990041508,0.3896719095882631,-0.0295290746301286,0.4588235294117647,85
401110727,2019,2019-08-31,ul,-0.0295290746301286,0.4588235294117647,85,0.4554845683768788,0.1941928186162847,0.1174732069636755,0.53125,64
401110728,2019,2019-08-31,miz,0.0294793711701785,0.4571428571428571,105,0.2951067686617181,0.129050637992832,0.1308161543597419,0.3571428571428571,70
401110728,2019,2019-08-31,wyo,0.1308161543597419,0.3571428571428571,70,-0.1492802932774854,0.3249224683016022,0.0294793711701785,0.4571428571428571,105
401110729,2019,2019-08-31,sc,-0.1005340301644488,0.3253012048192771,83,-0.1290498385049089,0.007078848732828,-0.0036193826747515,0.3870967741935484,93
401110729,2019,2019-08-31,unc,-0.0036193826747515,0.3870967741935484,93,0.4551903218326305,0.077975632582882,-0.1005340301644488,0.3253012048192771,83
401110730,2019,2019-08-31,gast,0.1240794622417767,0.4216867469879518,83,0.0788292887065396,0.3093642988381475,-0.0289155174693315,0.5135135135135135,74
401110730,2019,2019-08-31,tenn,-0.0289155174693315,0.5135135135135135,74,0.0490175076539264,0.0994556119127627,0.1240794622417767,0.4216867469879518,83
401110731,2019,2019-08-30,ta&m,0.2824864296249511,0.5142857142857142,35,0.434881789732099,0.1754314440834467,-0.5782793901233679,0.0869565217391304,23
