season,date,team,adj_epa_off,adj_epa_def,n_fit
2019,2019-08-24,fla,-0.0272895261854086,0.0127956933664865,1
2019,2019-08-24,mia,-0.0127956933664865,0.0272895261854086,1
2019,2019-08-25,ariz,0.0043959009530116,-0.0279810950910602,1
2019,2019-08-25,haw,0.0279810950910602,-0.0043959009530116,1
2019,2019-08-29,cark,0.0266450315862821,0.0013967547939571,1
2019,2019-08-29,wku,-0.0013967547939571,-0.0266450315862821,1
2019,2019-08-29,famu,-0.0662918000170729,-0.0544939851066913,1
2019,2019-08-29,ucf,0.0544939851066913,0.0662918000170729,1
2019,2019-08-29,cin,0.0013468269119928,0.0323297207930813,1
2019,2019-08-29,ucla,-0.0323297207930813,-0.0013468269119928,1
2019,2019-08-29,conn,-0.0164747620237779,0.0311621192060376,1
2019,2019-08-29,wag,-0.0311621192060376,0.0164747620237779,1
2019,2019-08-29,bgsu,0.0370704811088425,0.0251681824744601,1
2019,2019-08-29,morg,-0.0251681824744601,-0.0370704811088425,1
2019,2019-08-29,buff,0.0800520834219793,0.0174662399903879,1
2019,2019-08-29,rmu,-0.0174662399903879,-0.0800520834219793,1
2019,2019-08-29,clt,0.083395427534184,0.0555737712320557,1
2019,2019-08-29,gweb,-0.0555737712320557,-0.083395427534184,1
2019,2019-08-30,ta&m,0.0470810716041585,0.0963798983538946,1
2019,2019-08-30,txst,-0.0963798983538946,-0.0470810716041585,1
2019,2019-08-30,clem,0.0186673294062128,0.0536074726424752,1
2019,2019-08-30,gt,-0.0536074726424752,-0.0186673294062128,1
2019,2019-08-30,msu,-0.0097821808095846,0.128525904317716,1
2019,2019-08-30,tlsa,-0.128525904317716,0.0097821808095846,1
2019,2019-08-30,minn,0.0048013104853847,0.0156089610216082,1
2019,2019-08-30,sdst,-0.0156089610216082,-0.0048013104853847,1
2019,2019-08-30,mass,0.001784892428589,-0.0949378277199202,1
2019,2019-08-30,rutg,0.0949378277199202,-0.001784892428589,1
2019,2019-08-30,asu,0.0071950447568167,0.0621893333382952,1
2019,2019-08-30,kent,-0.0621893333382952,-0.0071950447568167,1
2019,2019-08-30,byu,-0.072216077453772,0.0148879484604821,1
2019,2019-08-30,utah,-0.0148879484604821,0.072216077453772,1
2019,2019-08-30,fiu,-0.0423157558931441,-0.0576279473017995,1
2019,2019-08-30,tuln,0.0576279473017995,0.0423157558931441,1
2019,2019-08-30,alst,-0.0261385246738251,0.0322890690307091,1
2019,2019-08-30,uab,-0.032289069030709,0.0261385246738251,1
2019,2019-08-30,army,-0.003021844700229,0.0197436659331768,1
2019,2019-08-30,rice,-0.0197436659331768,0.003021844700229,1
2019,2019-08-30,sjsu,0.0139416656172782,0.0065313088338314,1
2019,2019-08-30,unco,-0.0065313088338314,-0.0139416656172782,1
2019,2019-08-30,usf,-0.0893041270728976,0.0054638897235953,1
2019,2019-08-30,wisc,-0.0054638897235953,0.0893041270728976,1
2019,2019-08-30,cmu,0.0318646920670816,0.0477670027488817,1
2019,2019-08-30,ualb,-0.0477670027488817,-0.0318646920670816,1
2019,2019-08-31,ala,0.014366982554544,0.047393423301347,1
2019,2019-08-31,duke,-0.047393423301347,-0.014366982554544,1
2019,2019-08-31,ark,-0.0047894512564754,0.0454326259662025,1
2019,2019-08-31,prst,-0.0454326259662025,0.0047894512564754,1
2019,2019-08-31,aub,-0.0244727513942872,0.031326861377493,1
2019,2019-08-31,ore,-0.031326861377493,0.0244727513942872,1
2019,2019-08-31,tol,-0.0019836073011705,-0.0327703994595844,1
2019,2019-08-31,uk,0.0327703994595844,0.0019836073011705,1
2019,2019-08-31,gaso,-0.1400539428337205,-0.0878138716358131,1
2019,2019-08-31,lsu,0.0878138716358131,0.1400539428337206,1
2019,2019-08-31,mem,-0.0177280242464425,0.0420557523729142,1
2019,2019-08-31,miss,-0.0420557523729143,0.0177280242464425,1
2019,2019-08-31,msst,0.0195788678272792,0.0049215124383547,1
2019,2019-08-31,ul,-0.0049215124383547,-0.0195788678272792,1
2019,2019-08-31,miz,0.004913228528363,-0.0218026923932903,1
2019,2019-08-31,wyo,0.0218026923932903,-0.004913228528363,1
2019,2019-08-31,sc,-0.0167556716940748,0.0006032304457919,1
2019,2019-08-31,unc,-0.0006032304457919,0.0167556716940748,1
2019,2019-08-31,gast,0.0206799103736294,0.0048192529115552,1
2019,2019-08-31,tenn,-0.0048192529115552,-0.0206799103736294,1
2019,2019-08-31,uga,0.0822712635603275,0.0069070916661567,1
2019,2019-08-31,van,-0.0069070916661567,-0.0822712635603275,1
2019,2019-08-31,bay,0.0249379652479309,0.0656125458991147,1
2019,2019-08-31,sfa,-0.0656125458991147,-0.0249379652479309,1
2019,2019-08-31,isu,-0.0081303718178494,0.0116958931983014,1
2019,2019-08-31,uni,-0.0116958931983014,0.0081303718178494,1
2019,2019-08-31,inst,-0.0230469680148032,0.0193453892182091,1
2019,2019-08-31,ku,-0.0193453892182091,0.0230469680148032,1
2019,2019-08-31,ksu,0.0739837894488991,0.1586115756797726,1
2019,2019-08-31,nich,-0.1586115756797726,-0.0739837894488991,1
2019,2019-08-31,okst,0.0876048817638448,-0.0288698428431972,1
2019,2019-08-31,orst,0.0288698428431972,-0.0876048817638448,1
2019,2019-08-31,mtst,-0.0281973928557796,-0.044033512123795,1
2019,2019-08-31,ttu,0.044033512123795,0.0281973928557796,1
2019,2019-08-31,jmu,-0.0283105001681123,0.0190756115859664,1
2019,2019-08-31,wvu,-0.0190756115859664,0.0283105001681123,1
2019,2019-08-31,akr,-0.0599072082079427,-0.0862764796361232,1
2019,2019-08-31,ill,0.0862764796361232,0.0599072082079427,1
2019,2019-08-31,ball,0.0034441002361787,-0.0237742174267306,1
2019,2019-08-31,iu,0.0237742174267306,-0.0034441002361787,1
2019,2019-08-31,iowa,0.0469846470690223,0.021789209283172,1
2019,2019-08-31,m-oh,-0.021789209283172,-0.0469846470690223,1
2019,2019-08-31,how,-0.1193929036668527,-0.0437513823766651,1
2019,2019-08-31,md,0.0437513823766651,0.1193929036668528,1
2019,2019-08-31,mich,0.0084471570077411,0.0456481952217292,1
2019,2019-08-31,mtsu,-0.0456481952217291,-0.0084471570077411,1
2019,2019-08-31,neb,-0.0217060315155753,0.0686052133143973,1
2019,2019-08-31,usa,-0.0686052133143973,0.0217060315155753,1
2019,2019-08-31,nu,-0.0633520730896029,0.0296011157620782,1
2019,2019-08-31,stan,-0.0296011157620782,0.0633520730896029,1
2019,2019-08-31,fau,-0.1360631464693828,-0.2075446834502341,1
2019,2019-08-31,osu,0.2075446834502341,0.1360631464693828,1
2019,2019-08-31,idho,-0.1227420680984368,-0.0454762275765005,1
2019,2019-08-31,psu,0.0454762275765005,0.1227420680984368,1
2019,2019-08-31,nev,-0.0113970010159297,-0.0268333265965852,1
2019,2019-08-31,pur,0.0268333265965852,0.0113970010159297,1
2019,2019-08-31,usu,0.0057937959216684,-0.0133422607860087,1
2019,2019-08-31,wake,0.0133422607860087,-0.0057937959216684,1
2019,2019-08-31,bois,0.0016393724360216,-0.0150143594319189,1
2019,2019-08-31,fsu,0.0150143594319189,-0.0016393724360216,1
2019,2019-08-31,ecu,-0.0384258175834737,-0.0092201552337529,1
2019,2019-08-31,ncsu,0.0092201552337529,0.0384258175834737,1
2019,2019-08-31,pitt,-0.0253780690939744,-0.0055566300567779,1
2019,2019-08-31,uva,0.0055566300567779,0.0253780690939744,1
2019,2019-08-31,lib,-0.0832877786313136,0.0034926529456061,1
2019,2019-08-31,syr,-0.0034926529456061,0.0832877786313136,1
2019,2019-08-31,bc,0.001079933524248,0.0172606437414447,1
2019,2019-08-31,vt,-0.0172606437414447,-0.001079933524248,1
2019,2019-08-31,cal,-0.0040979894548494,0.0252838850182767,1
2019,2019-08-31,ucd,-0.0252838850182767,0.0040979894548494,1
2019,2019-08-31,colo,0.0700464255104657,-0.0372173683808795,1
2019,2019-08-31,csu,0.0372173683808795,-0.0700464255104657,1
2019,2019-08-31,ewu,-0.0826027234795129,-0.1844342615245642,1
2019,2019-08-31,wash,0.1844342615245642,0.0826027234795129,1
2019,2019-08-31,mrsh,0.0185001104839231,0.0942622247023958,1
2019,2019-08-31,vmi,-0.0942622247023958,-0.0185001104839231,1
2019,2019-08-31,acu,-0.0749699037885956,-0.122885953584281,1
2019,2019-08-31,unt,0.122885953584281,0.0749699037885957,1
2019,2019-08-31,norf,-0.018901534748685,-0.0007616155802151,1
2019,2019-08-31,odu,0.0007616155802151,0.018901534748685,1
2019,2019-08-31,alcn,-0.0198027496292776,0.005613517389359,1
2019,2019-08-31,usm,-0.005613517389359,0.0198027496292776,1
2019,2019-08-31,uiw,-0.0144973309970769,-0.0480885271715558,1
2019,2019-08-31,utsa,0.0480885271715558,0.0144973309970769,1
2019,2019-08-31,afa,0.0507807674441942,0.0831989228735442,1
2019,2019-08-31,colg,-0.0831989228735442,-0.0507807674441942,1
2019,2019-08-31,shsu,-0.0084332208636577,-0.0265720775240986,1
2019,2019-08-31,unm,0.0265720775240986,0.0084332208636577,1
2019,2019-08-31,hc,-0.0272468649323494,-0.0517130292895045,1
2019,2019-08-31,navy,0.0517130292895045,0.0272468649323494,1
2019,2019-08-31,arst,0.004234250935069,-0.0142945634734724,1
2019,2019-08-31,smu,0.0142945634734724,-0.004234250935069,1
2019,2019-08-31,buck,-0.0686291158499865,-0.0934018357769466,1
2019,2019-08-31,tem,0.0934018357769466,0.0686291158499865,1
2019,2019-08-31,ccu,-0.0027672066568641,-0.0313663835174204,1
2019,2019-08-31,emu,0.0313663835174204,0.0027672066568641,1
2019,2019-08-31,ilst,-0.027536337761192,0.0258579580349413,1
2019,2019-08-31,niu,-0.0258579580349413,0.027536337761192,1
2019,2019-08-31,monm,-0.0485645304544765,-0.0958989339912989,1
2019,2019-08-31,wmu,0.0958989339912989,0.0485645304544765,1
2019,2019-08-31,ohio,0.0697209158555879,-0.0153508477479518,1
2019,2019-08-31,uri,0.0153508477479518,-0.0697209158555879,1
2019,2019-08-31,app,0.0340646572944939,0.0263691426201395,1
