season,week,asof_date,team_id,team_abbr,team_name,rank,previous,points
2022,1,2022-08-15,333,ala,Alabama Crimson Tide,1,0,1566.0
2022,1,2022-08-15,194,osu,Ohio State Buckeyes,2,0,1506.0
2022,1,2022-08-15,61,uga,Georgia Bulldogs,3,0,1455.0
2022,1,2022-08-15,228,clem,Clemson Tigers,4,0,1292.0
2022,1,2022-08-15,87,nd,Notre Dame Fighting Irish,5,0,1242.0
2022,1,2022-08-15,245,ta&m,Texas A&M Aggies,6,0,1212.0
2022,1,2022-08-15,254,utah,Utah Utes,7,0,1209.0
2022,1,2022-08-15,130,mich,Michigan Wolverines,8,0,1203.0
2022,1,2022-08-15,201,ou,Oklahoma Sooners,9,0,956.0
2022,1,2022-08-15,239,bay,Baylor Bears,10,0,884.0
2022,1,2022-08-15,2483,ore,Oregon Ducks,11,0,831.0
2022,1,2022-08-15,197,okst,Oklahoma State Cowboys,12,0,814.0
2022,1,2022-08-15,152,ncsu,NC State Wolfpack,13,0,752.0
2022,1,2022-08-15,30,usc,USC Trojans,14,0,711.0
2022,1,2022-08-15,127,msu,Michigan State Spartans,15,0,631.0
2022,1,2022-08-15,2390,mia,Miami Hurricanes,16,0,476.0
2022,1,2022-08-15,221,pitt,Pittsburgh Panthers,17,0,383.0
2022,1,2022-08-15,275,wis,Wisconsin Badgers,18,0,365.0
2022,1,2022-08-15,8,ark,Arkansas Razorbacks,19,0,348.0
2022,1,2022-08-15,96,uk,Kentucky Wildcats,20,0,332.0
2022,1,2022-08-15,145,miss,Ole Miss Rebels,21,0,324.0
2022,1,2022-08-15,154,wake,Wake Forest Demon Deacons,22,0,303.0
2022,1,2022-08-15,2132,cin,Cincinnati Bearcats,23,0,265.0
2022,1,2022-08-15,248,hou,Houston Cougars,24,0,263.0
2022,1,2022-08-15,252,byu,BYU Cougars,25,0,234.0
2022,2,2022-09-06,333,ala,Alabama Crimson Tide,1,1,1552.0
2022,2,2022-09-06,61,uga,Georgia Bulldogs,2,3,1511.0
2022,2,2022-09-06,194,osu,Ohio State Buckeyes,3,2,1471.0
2022,2,2022-09-06,130,mich,Michigan Wolverines,4,8,1299.0
2022,2,2022-09-06,228,clem,Clemson Tigers,5,4,1280.0
2022,2,2022-09-06,245,ta&m,Texas A&M Aggies,6,6,1241.0
