team_id,season,xwoba,pa,for_season
108,2017,0.31945885591924134,6538.0,2018
109,2017,0.3205440383463151,6676.0,2018
110,2017,0.3188578815418364,6382.0,2018
111,2017,0.3098089903986034,6874.0,2018
112,2017,0.32817326585293244,6718.0,2018
113,2017,0.31286413393432067,6212.0,2018
114,2017,0.33676394721055786,6668.0,2018
115,2017,0.3044579119340283,6427.0,2018
116,2017,0.3236358706178578,5163.0,2018
117,2017,0.33542817164179106,6432.0,2018
118,2017,0.32045762974438413,6455.0,2018
119,2017,0.33236863698526065,6581.0,2018
120,2017,0.32410470957613813,6370.0,2018
121,2017,0.30386582067817763,4807.0,2018
133,2017,0.33242995755003024,4947.0,2018
134,2017,0.30663244488318525,6078.0,2018
135,2017,0.28674259414225944,5975.0,2018
136,2017,0.32674352941176477,6375.0,2018
137,2017,0.2988278481012659,5925.0,2018
138,2017,0.329199214274022,6109.0,2018
139,2017,0.3101068472535742,6645.0,2018
140,2017,0.31796397621070516,5885.0,2018
141,2017,0.3139144656019656,6512.0,2018
142,2017,0.32245640697488404,6251.0,2018
143,2017,0.3032049096488238,5866.0,2018
144,2017,0.31402021800281293,5688.0,2018
145,2017,0.3012582818641213,5343.0,2018
146,2017,0.31524708549222796,6176.0,2018
147,2017,0.3337626330784225,6669.0,2018
158,2017,0.3065263562317504,6507.0,2018
108,2018,0.3234018341755568,5343.0,2019
109,2018,0.30923034200526156,6842.0,2019
110,2018,0.2925696247554686,5623.0,2019
111,2018,0.33956100795755967,6786.0,2019
112,2018,0.31558847799511,6544.0,2019
113,2018,0.3090589651022864,5817.0,2019
114,2018,0.33253916372202585,6792.0,2019
115,2018,0.30604272426296697,6343.0,2019
116,2018,0.2988203056385034,5693.0,2019
117,2018,0.3121531122927745,6394.0,2019
118,2018,0.3096996996996997,4995.0,2019
119,2018,0.3288803583735355,7255.0,2019
120,2018,0.3244891629955947,5675.0,2019
121,2018,0.2951253747134544,5671.0,2019
133,2018,0.33139718354936787,6249.0,2019
134,2018,0.3085180938731637,5582.0,2019
135,2018,0.2884264754918306,5998.0,2019
136,2018,0.3227370114942529,6525.0,2019
137,2018,0.2862732342007435,5380.0,2019
138,2018,0.3166491572574046,6111.0,2019
139,2018,0.31146292725679225,5705.0,2019
140,2018,0.3109811290060192,6147.0,2019
141,2018,0.3231376942537044,5534.0,2019
142,2018,0.30476444986072426,5744.0,2019
143,2018,0.30738351677148845,7632.0,2019
144,2018,0.3120029961478099,7009.0,2019
145,2018,0.2975391093117409,6175.0,2019
146,2018,0.2894330089820359,5344.0,2019
147,2018,0.3304372119815668,6944.0,2019
158,2018,0.3169817905918057,7249.0,2019
108,2019,0.32321940998994303,5966.0,2020
109,2019,0.317084191886671,6212.0,2020
110,2019,0.3067358923884514,6096.0,2020
111,2019,0.33293004985647384,6619.0,2020
112,2019,0.3221812117843246,7196.0,2020
113,2019,0.30266590088611744,6094.0,2020
114,2019,0.31969921353316516,6739.0,2020
115,2019,0.30578348623853213,6540.0,2020
116,2019,0.291568088524005,5603.0,2020
117,2019,0.34126072768804044,6129.0,2020
118,2019,0.3073778853313477,5372.0,2020
119,2019,0.3300911151405258,6618.0,2020
120,2019,0.33112388591800357,6732.0,2020
121,2019,0.32451216488454987,6453.0,2020
133,2019,0.3355134482203253,6209.0,2020
134,2019,0.31334908969433767,5987.0,2020
135,2019,0.29366838000708967,5642.0,2020
136,2019,0.300113909075545,5917.0,2020
137,2019,0.306537779354381,5638.0,2020
138,2019,0.3190398034398034,6105.0,2020
139,2019,0.32539596250901226,6935.0,2020
140,2019,0.3203350471293916,5835.0,2020
