player_id,season,xera,for_season
519144,2017,4.96,2018
429722,2017,3.84,2018
453385,2017,4.54,2018
593372,2017,3.42,2018
502042,2017,3.73,2018
519242,2017,2.68,2018
543037,2017,4.33,2018
434378,2017,4.27,2018
502188,2017,3.87,2018
573186,2017,4.24,2018
594798,2017,3.15,2018
461829,2017,3.71,2018
571578,2017,4.42,2018
605200,2017,4.93,2018
592332,2017,5.16,2018
285079,2017,4.36,2018
527054,2017,4.54,2018
527048,2017,5.63,2018
462136,2017,3.98,2018
434628,2017,5.23,2018
425844,2017,3.5,2018
471911,2017,3.71,2018
500779,2017,4.09,2018
519043,2017,5.81,2018
445060,2017,5.97,2018
467100,2017,5.06,2018
622663,2017,3.1,2018
502190,2017,4.39,2018
453286,2017,2.49,2018
446372,2017,2.59,2018
543699,2017,4.24,2018
458681,2017,4.27,2018
573185,2017,4.01,2018
506433,2017,3.71,2018
468504,2017,4.04,2018
452657,2017,3.95,2018
450306,2017,4.57,2018
547888,2017,4.27,2018
545333,2017,4.42,2018
502171,2017,4.54,2018
519141,2017,4.33,2018
407793,2017,5.16,2018
489119,2017,5.74,2018
519076,2017,3.45,2018
570632,2017,5.23,2018
606131,2017,4.86,2018
519455,2017,5.85,2018
453562,2017,3.95,2018
488768,2017,4.73,2018
608379,2017,3.98,2018
544931,2017,2.9,2018
608566,2017,4.54,2018
605164,2017,4.45,2018
476451,2017,5.41,2018
605400,2017,3.27,2018
502043,2017,5.55,2018
621389,2017,4.89,2018
592314,2017,4.93,2018
640455,2017,4.67,2018
607536,2017,4.39,2018
456068,2017,5.1,2018
592836,2017,4.24,2018
641771,2017,4.8,2018
477132,2017,2.92,2018
664641,2017,4.86,2018
543243,2017,4.12,2018
605242,2017,4.12,2018
448802,2017,4.54,2018
571666,2017,5.06,2018
592662,2017,3.76,2018
453178,2017,5.74,2018
656756,2017,4.04,2018
434622,2017,5.7,2018
112526,2017,5.41,2018
456501,2017,5.55,2018
592866,2017,4.3,2018
543022,2017,4.7,2018
643327,2017,3.68,2018
502706,2017,6.7,2018
457918,2017,3.6,2018
282332,2017,4.27,2018
500724,2017,5.1,2018
450203,2017,3.68,2018
621244,2017,3.98,2018
622072,2017,3.32,2018
430935,2017,4.64,2018
518633,2017,4.09,2018
571510,2017,4.83,2018
543606,2017,4.61,2018
592791,2017,3.98,2018
445926,2017,5.52,2018
458708,2017,5.44,2018
601713,2017,4.89,2018
572971,2017,3.5,2018
593958,2017,4.07,2018
451596,2017,5.63,2018
595191,2017,4.96,2018
543294,2017,3.92,2018
502624,2017,3.2,2018
430912,2017,5.81,2018
605194,2017,4.45,2018
622608,2017,4.61,2018
628317,2017,3.47,2018
448179,2017,3.27,2018
572020,2017,2.76,2018
606160,2017,4.39,2018
607229,2017,5.06,2018
605483,2017,4.01,2018
460059,2017,5.63,2018
425794,2017,4.61,2018
502748,2017,3.03,2018
547943,2017,4.67,2018
543557,2017,3.84,2018
541640,2017,4.54,2018
534947,2017,4.96,2018
607352,2017,4.01,2018
448306,2017,5.55,2018
621121,2017,3.6,2018
490063,2017,4.67,2018
605182,2017,4.18,2018
592170,2017,5.52,2018
659275,2017,3.87,2018
434671,2017,4.99,2018
607259,2017,5.34,2018
444857,2017,5.2,2018
543045,2017,5.63,2018
592351,2017,3.81,2018
605397,2017,4.39,2018
596057,2017,5.52,2018
656794,2017,4.76,2018
518516,2017,4.01,2018
501957,2017,7.59,2018
608665,2017,5.27,2018
606167,2017,5.23,2018
656546,2017,4.76,2018
517593,2017,4.24,2018
434538,2017,5.03,2018
607625,2017,4.57,2018
475243,2017,5.97,2018
518774,2017,6.12,2018
596001,2017,5.3,2018
456701,2017,5.97,2018
605254,2017,6.65,2018
501381,2017,4.18,2018
450172,2017,5.16,2018
643410,2017,4.99,2018
450729,2017,4.12,2018
554430,2017,4.96,2018
435221,2017,3.68,2018
607219,2017,3.92,2018
596112,2017,5.48,2018
502239,2017,4.42,2018
542882,2017,5.03,2018
594902,2017,4.7,2018
643493,2017,4.45,2018
433587,2017,5.78,2018
572140,2017,4.96,2018
542881,2017,4.24,2018
547179,2017,3.76,2018
622491,2017,2.87,2018
607188,2017,4.01,2018
433589,2017,2.87,2018
608718,2017,3.84,2018
543734,2017,3.34,2018
429719,2017,5.27,2018
456167,2017,4.7,2018
543408,2017,5.59,2018
474699,2017,5.74,2018
502028,2017,3.87,2018
430661,2017,5.27,2018
489334,2017,3.9,2018
533167,2017,5.03,2018
595014,2017,3.92,2018
543475,2017,5.48,2018
592222,2017,2.85,2018
605452,2017,5.34,2018
276520,2017,6.08,2018
448614,2017,4.7,2018
607237,2017,5.97,2018
593576,2017,3.98,2018
572193,2017,3.55,2018
456034,2017,3.9,2018
606965,2017,2.78,2018
571710,2017,3.57,2018
534910,2017,4.76,2018
592826,2017,5.81,2018
448855,2017,5.81,2018
543208,2017,5.81,2018
543766,2017,2.74,2018
502327,2017,6.82,2018
543272,2017,2.66,2018
608648,2017,4.64,2018
592229,2017,7.09,2018
608349,2017,2.61,2018
501985,2017,2.31,2018
628452,2017,2.9,2018
592665,2017,3.81,2018
607192,2017,6.28,2018
606930,2017,3.22,2018
548389,2017,3.27,2018
461872,2017,2.47,2018
553878,2017,2.57,2018
502212,2017,5.89,2018
571927,2017,5.27,2018
607074,2017,4.42,2018
472610,2017,3.27,2018
502026,2017,4.51,2018
571476,2017,6.44,2018
518445,2017,6.24,2018
543542,2017,4.36,2018
453265,2017,3.22,2018
605151,2017,3.27,2018
504379,2017,3.27,2018
445213,2017,3.79,2018
598264,2017,3.22,2018
607457,2017,3.45,2018
518715,2017,3.47,2018
600526,2017,3.98,2018
518397,2017,3.57,2018
453281,2017,4.96,2018
572888,2017,4.15,2018
592811,2017,4.33,2018
592102,2017,3.06,2018
517008,2017,3.1,2018
520980,2017,4.07,2018
599683,2017,5.06,2018
621107,2017,6.0,2018
608678,2017,3.06,2018
502004,2017,3.22,2018
621242,2017,2.66,2018
592879,2017,4.42,2018
446399,2017,3.1,2018
542960,2017,3.79,2018
623149,2017,3.84,2018
612434,2017,4.27,2018
521230,2017,3.79,2018
571787,2017,7.41,2018
592390,2017,4.57,2018
543339,2017,4.42,2018
543521,2017,4.36,2018
503449,2017,5.48,2018
519326,2017,4.39,2018
488748,2017,2.83,2018
502032,2017,3.79,2018
543506,2017,4.86,2018
519294,2017,4.48,2018
543359,2017,4.12,2018
571901,2017,3.32,2018
594742,2017,4.64,2018
542947,2017,3.5,2018
592130,2017,3.1,2018
623184,2017,3.84,2018
502085,2017,2.37,2018
461325,2017,3.73,2018
596271,2017,4.54,2018
493200,2017,3.73,2018
502381,2017,3.98,2018
477569,2017,4.42,2018
593974,2017,2.99,2018
543883,2017,3.45,2018
501697,2017,5.06,2018
605218,2017,2.99,2018
476454,2017,2.85,2018
473879,2017,4.39,2018
543935,2017,4.67,2018
433586,2017,4.12,2018
517414,2017,3.92,2018
542432,2017,4.45,2018
573109,2017,3.95,2018
516969,2017,4.27,2018
488846,2017,3.15,2018
445276,2017,1.76,2018
501822,2017,3.65,2018
608717,2017,4.73,2018
462382,2017,4.27,2018
591693,2017,4.21,2018
592454,2017,2.49,2018
608371,2017,4.89,2018
628333,2017,4.96,2018
453284,2017,2.92,2018
518693,2017,3.3,2018
518886,2017,2.35,2018
643338,2017,2.63,2018
519151,2017,3.84,2018
596133,2017,3.52,2018
501817,2017,3.95,2018
474463,2017,6.36,2018
543118,2017,4.76,2018
467008,2017,2.99,2018
434672,2017,7.59,2018
502083,2017,4.3,2018
532077,2017,2.35,2018
642564,2017,4.7,2018
458677,2017,3.1,2018
570663,2017,5.03,2018
571704,2017,2.59,2018
279571,2017,3.37,2018
621199,2017,3.3,2018
641871,2017,4.27,2018
519322,2017,4.3,2018
544836,2017,4.21,2018
453172,2017,4.33,2018
461833,2017,5.89,2018
453192,2017,2.35,2018
621058,2017,5.81,2018
493603,2017,4.54,2018
493247,2017,3.45,2018
519096,2017,4.12,2018
451584,2017,3.6,2018
519008,2017,3.71,2018
503285,2017,3.22,2018
456713,2017,3.98,2018
572021,2017,3.39,2018
595032,2017,4.18,2018
547749,2017,4.27,2018
523260,2017,3.98,2018
475479,2017,4.15,2018
475115,2017,6.57,2018
621112,2017,4.45,2018
444468,2017,4.04,2018
573124,2017,5.1,2018
572750,2017,6.0,2018
527055,2017,3.6,2018
450212,2017,2.02,2018
518813,2017,3.17,2018
623167,2017,6.08,2018
458006,2017,2.59,2018
518748,2017,5.55,2018
465657,2017,3.08,2018
489446,2017,3.1,2018
407845,2017,3.25,2018
595918,2017,5.3,2018
548357,2017,7.0,2018
605388,2017,3.76,2018
592593,2017,6.7,2018
459429,2017,3.25,2018
488984,2017,2.37,2018
500872,2017,3.73,2018
606424,2017,4.12,2018
489265,2017,3.57,2018
592426,2017,5.55,2018
451661,2017,3.3,2018
476589,2017,3.13,2018
580792,2017,3.47,2018
543548,2017,6.32,2018
605177,2017,3.87,2018
544928,2017,3.55,2018
445197,2017,3.73,2018
407822,2017,3.68,2018
543056,2017,4.64,2018
623395,2017,5.23,2018
571656,2017,3.92,2018
425492,2017,2.55,2018
593140,2017,4.18,2018
460283,2017,2.7,2018
594840,2017,4.15,2018
543144,2017,3.3,2018
501925,2017,2.61,2018
456696,2017,3.22,2018
571871,2017,4.64,2018
276542,2017,3.98,2018
518716,2017,4.76,2018
624586,2017,3.92,2018
446899,2017,3.95,2018
622097,2017,6.0,2018
547973,2017,2.57,2018
605154,2017,3.73,2018
625643,2017,4.39,2018
656186,2017,4.57,2018
501625,2017,4.09,2018
572971,2018,3.6,2019
448306,2018,5.33,2019
453286,2018,2.56,2019
607536,2018,3.76,2019
446372,2018,3.18,2019
425844,2018,3.87,2019
594798,2018,2.46,2019
434378,2018,2.34,2019
605400,2018,2.75,2019
502043,2018,4.33,2019
608566,2018,3.35,2019
543294,2018,3.76,2019
605182,2018,3.35,2019
571945,2018,3.4,2019
519144,2018,4.07,2019
430935,2018,4.73,2019
571578,2018,3.35,2019
543037,2018,3.06,2019
625643,2018,4.83,2019
621244,2018,3.65,2019
468504,2018,4.36,2019
643327,2018,4.76,2019
592791,2018,3.5,2019
471911,2018,3.35,2019
502190,2018,5.26,2019
622663,2018,3.73,2019
592332,2018,4.76,2019
608337,2018,5.26,2019
452657,2018,5.06,2019
543699,2018,4.3,2019
596001,2018,4.45,2019
605164,2018,4.45,2019
571760,2018,4.09,2019
461829,2018,4.63,2019
554430,2018,3.23,2019
592314,2018,3.13,2019
592351,2018,3.95,2019
500779,2018,4.36,2019
542881,2018,3.68,2019
457918,2018,3.84,2019
502706,2018,4.12,2019
527054,2018,4.45,2019
456034,2018,4.15,2019
453562,2018,4.09,2019
545333,2018,2.79,2019
571666,2018,4.86,2019
570632,2018,4.09,2019
543606,2018,4.73,2019
571510,2018,3.45,2019
622491,2018,4.3,2019
592866,2018,4.04,2019
458681,2018,4.07,2019
605483,2018,3.13,2019
656794,2018,3.71,2019
450203,2018,3.37,2019
601713,2018,3.58,2019
518633,2018,5.19,2019
594835,2018,4.09,2019
433587,2018,5.4,2019
467100,2018,4.73,2019
453385,2018,5.3,2019
488768,2018,5.62,2019
605498,2018,4.79,2019
282332,2018,3.47,2019
518774,2018,4.3,2019
453281,2018,4.27,2019
502171,2018,4.89,2019
571927,2018,3.84,2019
640455,2018,4.63,2019
477132,2018,3.32,2019
572020,2018,3.42,2019
502624,2018,4.67,2019
607219,2018,4.89,2019
592789,2018,2.97,2019
501985,2018,4.33,2019
502042,2018,4.27,2019
622072,2018,3.5,2019
547888,2018,3.92,2019
475115,2018,4.45,2019
592826,2018,3.68,2019
112526,2018,5.81,2019
642232,2018,4.27,2019
462136,2018,4.73,2019
608717,2018,5.55,2019
519242,2018,2.26,2019
656427,2018,3.25,2019
448855,2018,4.12,2019
596133,2018,4.7,2019
434538,2018,5.51,2019
641745,2018,3.81,2019
543243,2018,4.42,2019
434628,2018,5.88,2019
612672,2018,3.47,2019
605242,2018,4.76,2019
519455,2018,4.54,2019
434671,2018,3.15,2019
593958,2018,3.76,2019
518516,2018,4.39,2019
621107,2018,3.6,2019
543208,2018,4.67,2019
664192,2018,4.39,2019
448179,2018,3.9,2019
670950,2018,4.3,2019
544931,2018,3.95,2019
592229,2018,4.63,2019
621111,2018,2.79,2019
642545,2018,4.57,2019
543557,2018,4.48,2019
572140,2018,3.9,2019
628317,2018,3.45,2019
621121,2018,3.76,2019
592662,2018,4.04,2019
593372,2018,3.71,2019
