season,date,game_pk,venue_id,hp_ump_id,has_ump
2018,2018-03-29,529407,4169.0,427520,1.0
2018,2018-03-29,529419,3289.0,427090,1.0
2018,2018-03-29,529414,2.0,427538,1.0
2018,2018-03-29,529411,13.0,427339,1.0
2018,2018-03-29,529415,14.0,427095,1.0
2018,2018-03-29,529406,12.0,427362,1.0
2018,2018-03-29,529412,10.0,427019,1.0
2018,2018-03-29,529416,4705.0,427299,1.0
2018,2018-03-29,529413,2680.0,427103,1.0
2018,2018-03-29,529408,7.0,427192,1.0
2018,2018-03-29,529418,22.0,427533,1.0
2018,2018-03-29,529410,15.0,427058,1.0
2018,2018-03-29,529409,680.0,427235,1.0
2018,2018-03-30,529417,2394.0,427156,1.0
2018,2018-03-30,529420,2602.0,427269,1.0
2018,2018-03-30,529427,14.0,427361,1.0
2018,2018-03-30,529421,12.0,427113,1.0
2018,2018-03-30,529422,4169.0,427537,1.0
2018,2018-03-30,529428,4705.0,427184,1.0
2018,2018-03-30,529424,13.0,427292,1.0
2018,2018-03-30,529423,15.0,427081,1.0
2018,2018-03-30,529425,10.0,427013,1.0
2018,2018-03-30,529429,22.0,427424,1.0
2018,2018-03-30,529426,2680.0,427053,1.0
2018,2018-03-31,529443,3289.0,427366,1.0
2018,2018-03-31,529444,2602.0,511890,1.0
2018,2018-03-31,529436,10.0,431232,1.0
2018,2018-03-31,529435,13.0,427224,1.0
2018,2018-03-31,529439,14.0,482608,1.0
2018,2018-03-31,529433,680.0,427315,1.0
2018,2018-03-31,529430,12.0,427164,1.0
2018,2018-03-31,529438,2.0,427139,1.0
2018,2018-03-31,529440,4705.0,483569,1.0
2018,2018-03-31,529431,4169.0,427197,1.0
2018,2018-03-31,529432,7.0,427248,1.0
2018,2018-03-31,529434,15.0,484183,1.0
2018,2018-03-31,529437,2680.0,427286,1.0
2018,2018-03-31,529442,22.0,427115,1.0
2018,2018-04-01,529441,2394.0,544728,1.0
2018,2018-04-01,529451,2.0,427168,1.0
2018,2018-04-01,529452,14.0,482663,1.0
2018,2018-04-01,529453,2394.0,483561,1.0
2018,2018-04-01,529455,3289.0,427044,1.0
2018,2018-04-01,529445,12.0,484499,1.0
2018,2018-04-01,529446,4169.0,547380,1.0
2018,2018-04-01,529449,13.0,573597,1.0
2018,2018-04-01,529450,10.0,504381,1.0
2018,2018-04-01,529456,2602.0,427243,1.0
2018,2018-04-01,529448,680.0,427554,1.0
