game_date,home_key,away_key,legacy_home_prob,legacy_draw_prob,legacy_away_prob,power_home_prob,power_draw_prob,power_away_prob,sport_home_prob,sport_draw_prob,sport_away_prob,meta_home_prob,meta_draw_prob,meta_away_prob,market_devig_home_prob,market_devig_draw_prob,market_devig_away_prob,outcome,home_win,draw,away_win
2020-10-23,avl,lee,1.926183999999996,25.916,72.15781600000001,51.805204,29.708,18.486796,33.95,24.42,41.64,33.94660533946605,24.417558244175584,41.635836416358366,46.12804025719876,25.21666200726866,28.655297735532564,away,0,0,1
2020-10-24,whu,mnc,60.53207904000001,28.040799999999997,11.427120959999998,22.80423024,30.7704,46.42536976,16.16,20.73,63.11,16.16,20.73,63.11,11.894273127753301,18.124606670862175,69.98112020138451,draw,0,1,0
2020-10-24,ful,cry,39.72899056,32.1336,28.137409439999992,30.72287736,32.8168,36.46032264,24.85,28.7,46.45,24.85,28.7,46.45,34.41611842105263,30.53042763157895,35.053453947368425,away,0,0,1
2020-10-24,man,che,53.58568335999999,29.3624,17.051916639999998,25.41845416,31.4312,43.15034584,53.28,23.43,23.29,53.28,23.43,23.29,39.92395437262357,26.283269961977183,33.79277566539924,draw,0,1,0
2020-10-24,liv,shu,20.507004959999996,30.2008,49.29219504,41.10102376,31.8504,27.048576239999992,62.03,24.1,13.87,62.03,24.1,13.87,77.56105556466153,14.554990985084416,7.883953450254057,home,1,0,0
2020-10-25,sou,eve,65.261056,27.164,7.574944000000004,21.039736000000005,30.332,48.628264,37.68,28.26,34.06,37.68,28.26,34.06,34.63497453310696,28.013582342954162,37.351443123938886,home,1,0,0
2020-10-25,wol,new,20.94893424,30.3096,48.74146576,40.83669144,31.9048,27.25850856,51.34,26.79,21.87,51.34,26.79,21.87,54.51883661916847,27.28869802849893,18.19246535233262,draw,0,1,0
2020-10-25,ars,lei,57.49460656000001,28.613599999999998,13.891793439999997,23.943973359999994,31.0568,44.99922664000001,41.45,26.33,32.22,41.45,26.33,32.22,49.82203603376591,25.255134181680738,24.92282978455336,away,0,0,1
2020-10-26,bha,wba,30.08047504,32.6456,37.27392496,35.25055624,33.0728,31.676643759999997,43.96,23.34,32.7,43.96,23.34,32.7,56.09869405874155,23.832137510968877,20.06916843028958,draw,0,1,0
2020-10-26,bur,tot,7.004544000000001,27.036,65.959456,14.396136000000002,28.732,56.871863999999995,25.79,27.95,46.26,25.79,27.95,46.26,16.572913837917525,23.823563642006444,59.60352252007605,away,0,0,1
2020-10-30,wol,cry,31.99077264,33.1576,34.85162736,34.048981839999996,33.3288,32.622218159999996,48.9,28.49,22.62,48.895110488951104,28.487151284871512,22.617738226177384,47.91810762207774,29.94881726379859,22.133075114123667,home,1,0,0
2020-10-31,shu,mnc,43.81992144000001,31.2952,24.884878560000004,29.143394640000004,32.3976,38.459005360000006,19.26,24.97,55.77,19.26,24.97,55.77,9.995443360976944,15.826118654880162,74.1784379841429,away,0,0,1
2020-10-31,bur,che,54.764317440000006,29.1352,16.10048256,24.972920639999998,31.3176,43.70947936,27.24,27.04,45.72,27.24,27.04,45.72,15.789473684210526,21.052631578947366,63.1578947368421,away,0,0,1
2020-10-31,liv,whu,19.893666239999998,30.0504,50.05593376,41.46703344,31.775199999999998,26.757766559999997,68.84,19.54,11.62,68.84,19.54,11.62,69.43056943056942,17.98201798201798,12.587412587412587,home,1,0,0
2020-11-01,avl,sou,13.76885056,28.5848,57.64634944,45.07068736,31.0424,23.88691264,40.83,27.51,31.67,40.82591740825917,27.507249275072493,31.666833316668335,38.834951456310684,27.184466019417474,33.980582524271846,away,0,0,1
2020-11-01,new,eve,53.93362144,29.2952,16.77117856,25.28684464,31.3976,43.315555360000005,32.99,27.04,39.97,32.99,27.04,39.97,25.686382900313255,27.95282845034089,46.360788649345864,home,1,0,0
2020-11-01,man,ars,42.985277440000004,31.4648,25.549922560000002,29.46468064,32.4824,38.05291936,44.81,26.63,28.56,44.81,26.63,28.56,47.368421052631575,26.31578947368421,26.31578947368421,away,0,0,1
2020-11-01,tot,bha,17.757936000000004,29.532,52.710064,42.734016000000004,31.516,25.749984000000005,61.7,21.38,16.92,61.7,21.38,16.92,58.992805755395686,23.741007194244606,17.26618705035971,home,1,0,0
2020-11-02,ful,wba,39.91444144,32.0952,27.990358559999997,30.651014639999996,32.7976,36.55138536,26.16,23.17,50.67,26.16,23.17,50.67,39.56834532374101,28.776978417266193,31.654676258992804,home,1,0,0
