game_date,home_key,away_key,legacy_home_prob,power_home_prob,sport_home_prob,meta_stacked_home_prob,legacy_margin,power_margin,sport_margin,sport_minus_market,expected_home_goals,expected_away_goals,sport_xg_diff,overtime_probability,market_devig_home_prob,market_spread,market_home_ml,market_away_ml,home_margin,home_win,home_cover
2020-07-30,min,cle,68.96,68.96,57.36,65.47999999999999,-2.6543999999999994,-2.6543999999999994,-1.0,,,,,,,,,,-2.0,0,
2020-07-30,atl,tb,30.13,30.13,51.65,36.586,2.781800000000001,2.781800000000001,-0.22,,,,,,,,,,1.0,1,
2020-07-30,det,kc,37.99,37.99,46.4,40.513000000000005,1.6813999999999998,1.6813999999999998,0.49,,,,,,,,,,-2.0,0,
2020-07-31,ari,lad,25.41,25.41,47.93,32.166,3.442600000000001,3.442600000000001,0.28,,,,,,,,,,-3.0,0,
2020-07-31,laa,sea,63.49,63.49,50.89,59.71,-1.8886000000000005,-1.8886000000000005,-0.12,,,,,,,,,,-3.0,0,
2020-07-31,sf,sd,44.54,44.54,56.72,48.194,0.7644000000000002,0.7644000000000002,-0.91,,,,,,,,,,-5.0,0,
2020-07-31,nyy,bos,77.79,77.79,56.0,71.253,-3.8906000000000014,-3.8906000000000014,-0.81,,,,,,,,,,4.0,1,
2020-07-31,atl,nym,79.36,79.36,49.82,70.498,-4.1104,-4.1104,0.02,,,,,,,,,,1.0,1,
2020-07-31,det,cin,37.48,37.48,43.7,39.346,1.7528000000000006,1.7528000000000006,0.86,,,,,,,,,,5.0,1,
2020-07-31,bal,tb,8.89,8.89,47.84,20.575,5.755400000000001,5.755400000000001,0.29,14.766963711529634,,,,,33.07303628847037,1.5,210.0,-188.0,3.0,1,
2020-08-01,kc,chw,43.36,43.36,51.26,45.73,0.9296000000000002,0.9296000000000002,-0.18,,,,,,,,,,-1.0,0,
2020-08-01,min,cle,56.69,56.69,57.16,56.831,-0.9365999999999998,-0.9365999999999998,-1.04,,,,,,,,,,3.0,1,
2020-08-01,col,sd,53.51,53.51,57.03,54.566,-0.4913999999999998,-0.4913999999999998,-1.02,,,,,,,,,,-1.0,0,
2020-08-01,chc,pit,62.82,62.82,57.02,61.08,-1.7948000000000002,-1.7948000000000002,-1.02,,,,,,,,,,3.0,1,
2020-08-01,sf,tex,53.62,53.62,49.22,52.3,-0.5067999999999997,-0.5067999999999997,0.11,,,,,,,,,,7.0,1,
2020-08-01,laa,hou,23.01,23.01,43.1,29.037,3.7786,3.7786,1.0,,,,,,,,,,-3.0,0,
2020-08-01,ari,lad,23.25,23.25,42.59,29.052,3.745000000000001,3.745000000000001,1.08,,,,,,,,,,2.0,1,
2020-08-01,sea,oak,39.88,39.88,49.13,42.655,1.4167999999999998,1.4167999999999998,0.13,,,,,,,,,,2.0,1,
2020-08-01,kc,chw,42.05,42.05,51.26,44.813,1.1130000000000004,1.1130000000000004,-0.18,,,,,,,,,,-6.0,0,
2020-08-01,nyy,bos,77.13,77.13,58.81,71.634,-3.7982,-3.7982,-1.29,,,,,,,,,,3.0,1,
2020-08-01,laa,hou,23.65,23.65,43.1,29.485,3.689,3.689,1.0,,,,,,,,,,1.0,1,
2020-08-01,atl,nym,70.31,70.31,56.86,66.275,-2.8434000000000004,-2.8434000000000004,-1.0,,,,,,,,,,6.0,1,
2020-08-01,min,cle,62.81,62.81,57.16,61.115,-1.7934000000000003,-1.7934000000000003,-1.04,,,,,,,,,,3.0,1,
2020-08-01,bal,tb,23.5,23.5,48.81,31.093,3.71,3.71,0.17,,,,,,,,,,1.0,1,
2020-08-02,ari,lad,33.92,33.92,42.59,36.521,2.2512,2.2512,1.08,,,,,,,,,,-9.0,0,
2020-08-02,col,sd,42.05,42.05,57.03,46.544,1.1130000000000004,1.1130000000000004,-1.02,,,,,,,,,,5.0,1,
2020-08-02,chc,pit,64.67,64.67,57.02,62.375,-2.0538000000000003,-2.0538000000000003,-1.02,,,,,,,,,,1.0,1,
2020-08-02,sea,oak,44.2,44.2,49.13,45.679,0.8119999999999997,0.8119999999999997,0.13,,,,,,,,,,-1.0,0,
2020-08-02,sf,tex,67.26,67.26,49.22,61.848,-2.4164000000000008,-2.4164000000000008,0.11,,,,,,,,,,4.0,1,
2020-08-02,det,cin,46.99,46.99,50.56,48.061,0.4213999999999998,0.4213999999999998,-0.08,,,,,,,,,,-1.0,0,
2020-08-02,bal,tb,31.56,31.56,48.81,36.735,2.5816,2.5816,0.17,,,,,,,,,,4.0,1,
2020-08-02,atl,nym,70.43,70.43,56.86,66.35900000000001,-2.860200000000001,-2.860200000000001,-1.0,,,,,,,,,,4.0,1,
2020-08-02,kc,chw,31.99,31.99,51.26,37.771,2.5214000000000008,2.5214000000000008,-0.18,,,,,,,,,,-7.0,0,
2020-08-02,min,cle,66.37,66.37,57.16,63.607,-2.2918000000000007,-2.2918000000000007,-1.04,,,,,,,,,,2.0,1,
2020-08-02,chc,pit,62.39,62.39,57.02,60.779,-1.7346,-1.7346,-1.02,,,,,,,,,,1.0,1,
2020-08-02,col,sd,53.3,53.3,57.03,54.419,-0.4619999999999996,-0.4619999999999996,-1.02,,,,,,,,,,3.0,1,
2020-08-02,sf,tex,68.77,68.77,49.22,62.905,-2.6278,-2.6278,0.11,,,,,,,,,,-4.0,0,
2020-08-02,ari,lad,24.24,24.24,42.59,29.745,3.606400000000001,3.606400000000001,1.08,,,,,,,,,,-3.0,0,
2020-08-02,laa,hou,31.49,31.49,43.1,34.973,2.591400000000001,2.591400000000001,1.0,,,,,,,,,,-1.0,0,
2020-08-02,det,cin,45.06,45.06,50.56,46.71,0.6915999999999998,0.6915999999999998,-0.08,,,,,,,,,,-4.0,0,
2020-08-02,nyy,bos,76.96,76.96,58.81,71.515,-3.7744,-3.7744,-1.29,,,,,,,,,,2.0,1,
2020-08-03,cin,cle,26.06,26.06,49.43,33.071,3.3516,3.3516,0.08,,,,,,,,,,1.0,1,
2020-08-03,nyy,phi,63.16,63.16,58.83,61.861,-1.8424,-1.8424,-1.29,,,,,,,,,,3.0,1,
2020-08-03,atl,nym,54.39,71.26,56.86,63.566,-0.6146000000000001,-2.976400000000001,-1.0,,,,,,,,,,-5.0,0,
2020-08-04,mil,chw,23.89,23.89,55.3,33.313,3.6554,3.6554,-0.77,,,,,,,,,,-2.0,0,
2020-08-04,min,pit,85.69,85.69,60.47,78.124,-4.9966,-4.9966,-1.54,,,,,,,,,,1.0,1,
2020-08-04,chc,kc,63.78,63.78,57.02,61.752,-1.9292,-1.9292,-1.02,,,,,,,,,,2.0,1,
2020-08-04,col,sf,66.73,66.73,61.3,65.101,-2.342200000000001,-2.342200000000001,-1.67,,,,,,,,,,1.0,1,
2020-08-04,sea,oak,42.47,42.47,49.13,44.468,1.0542000000000002,1.0542000000000002,0.13,,,,,,,,,,-10.0,0,
2020-08-04,sd,lad,47.25,40.17,43.48,42.579,0.385,1.3762,0.95,,,,,,,,,,1.0,1,
2020-08-04,min,pit,56.03,80.19,60.47,69.442,-0.8442000000000003,-4.2266,-1.54,,,,,,,,,,4.0,1,
2020-08-04,cin,cle,51.4,37.47,49.43,43.844,-0.1959999999999998,1.7542000000000004,0.08,,,,,,,,,,-2.0,0,
2020-08-04,tb,bos,52.57,65.02,56.29,59.911,-0.3598,-2.1028,-0.91,,,,,,,,,,4.0,1,
2020-08-04,wsh,nym,75.93,75.93,58.78,70.78500000000001,-3.630200000000001,-3.630200000000001,-1.28,,,,,,,,,,2.0,1,
2020-08-04,atl,tor,44.78,44.78,55.66,48.044,0.7307999999999999,0.7307999999999999,-0.82,,,,,,,,,,9.0,1,
2020-08-05,mil,chw,30.84,30.84,55.3,38.178,2.6824,2.6824,-0.77,,,,,,,,,,-1.0,0,
2020-08-05,bal,mia,54.39,54.39,52.84,53.925,-0.6146000000000001,-0.6146000000000001,-0.41,11.670639069345825,,,,,41.16936093065418,1.5,164.0,-118.0,-4.0,0,0.0
2020-08-05,chc,kc,54.8,65.0,57.02,60.566,-0.6719999999999997,-2.1,-1.02,,,,,,,,,,1.0,1,
2020-08-05,col,sf,67.18,67.18,61.3,65.416,-2.405200000000001,-2.405200000000001,-1.67,,,,,,,,,,3.0,1,
2020-08-05,ari,hou,44.25,44.25,45.99,44.772,0.805,0.805,0.58,,,,,,,,,,-6.0,0,
2020-08-05,oak,tex,54.09,54.09,56.04,54.675,-0.5726000000000006,-0.5726000000000006,-0.88,,,,,,,,,,4.0,1,
2020-08-05,sd,lad,47.69,42.15,43.48,43.657,0.3234000000000003,1.0990000000000002,0.95,,,,,,,,,,-3.0,0,
2020-08-05,sea,laa,48.5,39.6,55.53,46.159,0.21,1.456,-0.8,,,,,,,,,,-2.0,0,
2020-08-05,nyy,phi,59.33,59.33,58.83,59.17999999999999,-1.3061999999999998,-1.3061999999999998,-1.29,,,,,,,,,,-4.0,0,
