game_date,home_key,away_key,legacy_home_prob,legacy_draw_prob,legacy_away_prob,power_home_prob,power_draw_prob,power_away_prob,sport_home_prob,sport_draw_prob,sport_away_prob,meta_home_prob,meta_draw_prob,meta_away_prob,market_devig_home_prob,market_devig_draw_prob,market_devig_away_prob,outcome,home_win,draw,away_win
2020-10-17,gra,sev,66.30333696000001,27.8056,5.891063039999998,20.02076576,31.1528,48.82643424,30.9,30.14,38.96,30.9,30.14,38.96,22.49833787021589,27.792064427913747,49.70959770187037,home,1,0,0
2020-10-17,cel,atm,63.69388783999998,28.288800000000002,8.017312160000003,20.98645304,31.3944,47.619146959999995,20.42,29.03,50.56,20.417958204179584,29.027097290270973,50.55494450554944,17.223111987187384,28.70518664531231,54.0717013675003,away,0,0,1
2020-10-17,rma,cad,5.479369760000009,27.7128,66.80783023999999,49.05913255999999,31.1064,19.83446744,73.28,18.89,7.83,73.28,18.89,7.83,80.17909135856726,13.514255891885952,6.306652749546777,away,0,0,1
2020-10-17,get,bar,60.41806064000001,28.9032,10.678739359999998,22.203809839999995,31.7016,46.09459016000001,22.2,30.01,47.78,22.2022202220222,30.01300130013001,47.78477847784778,19.94991652754591,24.937395659432386,55.11268781302171,home,1,0,0
2020-10-18,eib,osa,51.68536655999999,30.5864,17.728233440000004,25.478433360000004,32.5432,41.978366640000004,32.44,31.47,36.1,32.436756324367565,31.466853314668533,36.09639036096391,,,,draw,0,1,0
2020-10-18,ath,lev,44.432771040000006,32.0392,23.528028960000007,28.233632240000002,33.2696,38.49676776,40.53,29.63,29.84,40.53,29.63,29.84,46.44412191582003,29.753265602322205,23.802612481857764,home,1,0,0
2020-10-18,vil,val,29.976747839999994,33.7384,36.28485216,34.50836304,34.1192,31.372436959999995,49.84,27.17,22.98,49.84498449844985,27.172717271727173,22.98229822982298,58.6773748274564,23.453381854686913,17.869243317856697,home,1,0,0
2020-10-18,ala,elc,31.999796000000003,34.292,33.708203999999995,33.228426,34.396,32.375574,39.96,33.54,26.51,39.956004399560044,33.53664633536646,26.507349265073493,,,,away,0,0,1
2020-10-18,bet,rso,44.731004160000005,31.9784,23.290595839999998,28.119648959999996,33.2392,38.641151040000004,31.18,30.1,38.72,31.18,30.1,38.72,38.00403225806452,29.233870967741936,32.76209677419355,away,0,0,1
2020-10-23,elc,val,31.197508159999995,34.0712,34.731291840000004,33.73777296,34.2856,31.976627039999997,26.61,31.05,42.34,26.61,31.05,42.34,,,,home,1,0,0
