nhl_game_id,season,team,is_home,xgf,xga,shots_for,shots_against,gf,ga
2010020044,2010,NSH,1,3.5784,3.9515,33,46,4,3
2010020044,2010,STL,0,3.9515,3.5784,46,33,3,4
2010020045,2010,EDM,0,2.3194,2.6223,33,38,2,4
2010020045,2010,MIN,1,2.6223,2.3194,38,33,4,2
2010020046,2010,DAL,1,1.0681,2.3151,28,45,4,1
2010020046,2010,DET,0,2.3151,1.0681,45,28,1,4
2010020047,2010,CGY,1,3.1544,1.3837,43,27,0,3
2010020047,2010,FLA,0,1.3837,3.1544,27,43,3,0
2010020048,2010,COL,0,2.3109,2.4302,30,50,3,2
2010020048,2010,N.J,1,2.4302,2.3109,50,30,2,3
2010020049,2010,NYR,1,2.3063,2.8951,45,49,3,4
2010020049,2010,TOR,0,2.8951,2.3063,49,45,4,3
2010020050,2010,NYI,0,1.2695,3.1543,36,46,2,3
2010020050,2010,PIT,1,3.1543,1.2695,46,36,3,2
2010020051,2010,CBJ,1,1.8397,2.3168,41,46,2,5
2010020051,2010,CHI,0,2.3168,1.8397,46,41,5,2
2010020052,2010,BUF,1,1.8045,2.2916,31,45,1,2
2010020052,2010,MTL,0,2.2916,1.8045,45,31,2,1
2010020053,2010,ANA,1,4.1385,4.3664,66,46,4,4
2010020053,2010,ATL,0,4.3664,4.1385,46,66,4,4
2010020054,2010,L.A,1,2.0296,1.9829,24,46,4,1
2010020054,2010,VAN,0,1.9829,2.0296,46,24,1,4
2010020055,2010,MTL,1,3.3806,1.639,51,23,4,3
2010020055,2010,OTT,0,1.639,3.3806,23,51,3,4
2010020056,2010,BOS,0,2.4155,3.3818,44,46,4,1
2010020056,2010,N.J,1,3.3818,2.4155,46,44,1,4
2010020057,2010,COL,0,2.0873,2.4384,48,30,2,5
2010020057,2010,NYI,1,2.4384,2.0873,30,48,5,2
2010020058,2010,PHI,1,3.4605,3.5419,49,42,1,5
2010020058,2010,PIT,0,3.5419,3.4605,42,49,5,1
