game_id,home_rapm,away_rapm
2011020001,0.01026,-0.00278
2011020002,-0.00879,0.00251
2011020003,0.0186,-0.01668
2011020004,0.0082,-0.00786
2011020005,-0.00322,-0.01306
2011020006,-0.00705,0.02185
2011020007,-0.00778,0.00473
2011020008,0.00792,0.00159
2011020009,0.0128,0.01863
2011020010,0.01039,-0.00508
2011020011,-0.01158,-0.01219
2011020012,0.0141,-0.00278
2011020013,-0.02411,0.0082
2011020014,0.01306,-0.02716
2011020015,-0.00806,0.02631
2011020016,0.00586,-0.00291
2011020017,-0.003,0.00169
2011020018,0.0112,0.01079
2011020019,0.01685,-0.01668
2011020020,0.00473,0.01892
2011020021,0.01554,0.00139
2011020022,0.00951,-0.00778
2011020023,-0.0166,-0.00436
2011020024,-0.00508,-0.02135
2011020025,0.01039,0.0112
2011020026,0.0141,0.0082
2011020027,0.01306,0.0081
2011020028,-0.00909,0.02452
2011020029,-0.02657,-0.00497
2011020030,-0.00705,0.0186
2011020031,0.00169,0.00527
2011020032,-0.01745,-0.02716
2011020033,-0.01462,0.0081
2011020034,-0.00705,0.0112
2011020035,-0.00278,0.0183
2011020036,0.01315,0.017
2011020037,0.02009,0.01064
2011020038,0.01306,-0.00497
2011020039,-0.01339,-0.01713
2011020040,-0.00058,0.02452
2011020041,-0.0174,0.0112
2011020042,-0.00322,0.01459
2011020043,0.03137,0.01045
2011020044,0.00516,0.00168
2011020045,0.01049,-0.0166
2011020046,0.01204,-0.00909
2011020047,-0.00778,0.01315
2011020048,0.00247,0.01554
2011020049,-0.01544,0.01685
2011020050,-0.00058,0.01077
2011020051,0.01354,0.01818
2011020052,-0.00278,0.00396
2011020053,-0.01745,-0.00778
2011020054,-0.01952,-0.01462
2011020055,0.01045,-0.01808
2011020056,-0.02716,-0.00879
2011020057,0.02799,0.0146
2011020058,0.00516,0.00148
2011020059,0.02663,-0.00581
2011020060,-0.00169,0.01172
2011020061,-0.00254,0.0183
2011020062,0.01832,-0.01701
2011020063,0.0038,-0.01701
2011020064,-0.01544,0.0112
2011020065,-0.00502,-0.02716
2011020066,-0.02252,-0.01907
2011020067,-0.0022,0.02799
2011020068,0.01554,0.0038
2011020069,0.01172,0.01704
2011020070,-0.02657,-0.0277
2011020071,-0.00366,0.02087
2011020072,-0.00058,-0.00778
2011020073,-0.01051,-0.00239
2011020074,0.00516,-0.01883
2011020075,0.01887,0.01153
2011020076,0.01387,0.01782
2011020077,0.01045,0.00608
2011020078,0.01262,-0.01506
2011020079,-0.00866,-0.0177
2011020080,0.00446,-0.00623
2011020081,-0.00017,-0.02657
2011020082,-0.0142,0.00635
2011020083,-0.01785,-0.02398
2011020084,-0.00329,0.01354
2011020085,-0.0239,-0.00778
2011020086,0.0112,0.00608
2011020087,0.02502,0.01782
2011020088,0.00021,0.00516
2011020089,0.01407,0.02789
2011020090,0.01045,0.00933
2011020091,0.01577,0.01554
2011020092,-0.00322,-0.00363
2011020093,-0.01565,0.01704
2011020094,0.0038,0.00628
2011020095,0.02467,0.02193
2011020096,0.01839,0.0067
