gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0035864,Kendall Hinton,WR,23.912,3.264,700,14.119,20.4,0,D
00-0036050,Benning Potoa'e,DL,27.048,6.466,89,7.651,20.4,0,D
00-0036752,AJ Parker,DB,26.136,3.515,663,15.591,20.4,0,D
00-0030085,Kenny Stills,WR,25.178,3.695,3522,14.094,20.3,0,D
00-0032455,Austin Blythe,OL,25.687,2.994,4681,16.704,20.3,0,D
00-0033539,Jarrad Davis,LB,25.102,3.451,3005,14.749,20.3,0,D
00-0031041,Kyle Fuller,DB,25.834,3.42,4809,15.575,20.3,0,D
00-0036648,Nick Niemann,LB,25.24,3.5,349,14.74,20.3,1,D
00-0036559,Shaun Wade,DB,26.28,3.568,356,15.576,20.3,0,D
00-0036858,Jalen Camp,WR,24.589,5.369,81,8.483,20.3,0,D
00-0037298,Sam Roberts,DL,25.69,3.571,247,14.977,20.3,1,D
00-0029412,Vinny Curry,DL,25.53,3.522,2334,14.964,20.2,0,D
00-0030421,Jamie Collins,LB,25.495,3.587,4159,14.734,20.2,0,D
00-0027124,Don Carey,DB,25.081,5.948,86,7.236,20.2,0,D
00-0033111,Pharoh Cooper,WR,25.734,3.892,905,14.058,20.2,0,D
00-0028103,Pernell McPhee,LB,25.82,3.696,1742,14.73,20.2,0,D
00-0034424,Matthew Adams,LB,26.548,3.942,575,14.721,20.2,0,D
00-0036646,Simi Fehoko,WR,23.411,3.114,328,14.069,20.2,1,D
00-0037091,Bo Melton,DB,23.578,2.678,519,15.545,20.2,1,D
00-0029665,Robert Griffin III,QB,25.652,4.536,491,12.042,20.1,0,D
00-0033903,Josh Jones,DB,25.529,3.337,2245,15.517,20.1,0,D
00-0036654,Demetric Felton,RB,26.118,4.28,195,13.277,20.1,0,D
00-0036482,Mike Strachan,WR,26.006,3.984,238,14.053,20.1,0,D
00-0040179,DJ Giddens,RB,18.444,5.469,57,2.038,20.1,1,D
00-0032059,P.J. Williams,DB,25.479,3.323,3599,15.511,20.0,0,D
00-0031052,Bashaud Breeland,DB,25.72,3.407,4347,15.501,20.0,0,D
