gid,season,status,rows,shift_rows,goal_rows,players_home,players_away,soft_qa,reasons
2025020133,20252026,ok,780,770,10,19,19,,
2025020134,20252026,ok,766,753,13,19,19,,
2025020135,20252026,ok,777,769,8,19,19,,
2025020136,20252026,ok,720,713,7,19,19,,
2025020137,20252026,ok,800,785,15,19,19,,
2025020138,20252026,ok,777,772,5,19,19,,
2025020139,20252026,ok,756,751,5,19,19,,
2025020140,20252026,ok,780,773,7,19,19,,
2025020141,20252026,ok,765,762,3,19,19,,
2025020142,20252026,ok,726,715,11,19,19,,
2025020143,20252026,ok,715,710,5,19,19,,
2025020144,20252026,ok,756,752,4,19,19,,
2025020145,20252026,ok,727,722,5,19,19,,
2025020146,20252026,ok,791,785,6,19,19,,
2025020147,20252026,ok,746,739,7,19,19,,
2025020148,20252026,ok,749,740,9,19,19,,
2025020149,20252026,ok,807,798,9,19,19,,
2025020150,20252026,ok,760,753,7,19,19,,
2025020151,20252026,ok,785,778,7,19,19,,
2025020152,20252026,ok,802,795,7,19,19,,
2025020153,20252026,ok,781,774,7,19,19,,
2025020154,20252026,ok,730,723,7,19,19,,
2025020155,20252026,ok,794,785,9,19,19,,
2025020156,20252026,ok,742,735,7,19,19,,
2025020157,20252026,ok,750,743,7,19,19,,
2025020158,20252026,ok,754,747,7,19,19,,
2025020159,20252026,ok,698,697,1,19,19,,
2025020160,20252026,ok,826,816,10,19,19,,
2025020161,20252026,ok,824,812,12,19,19,,
2025020162,20252026,ok,775,766,9,19,19,,
2025020163,20252026,ok,752,750,2,19,19,,
2025020164,20252026,ok,715,708,7,19,19,,
2025020165,20252026,ok,680,673,7,19,19,,
2025020166,20252026,ok,741,732,9,19,19,,
2025020167,20252026,ok,785,778,7,19,19,,
2025020168,20252026,ok,867,859,8,19,19,,
2025020169,20252026,ok,720,717,3,19,19,,
2025020170,20252026,ok,742,737,5,19,19,,
2025020171,20252026,ok,776,768,8,19,19,,
2025020172,20252026,ok,779,772,7,19,19,,
2025020173,20252026,ok,716,711,5,19,19,,
2025020174,20252026,ok,769,760,9,19,19,,
2025020175,20252026,ok,789,782,7,19,19,,
2025020176,20252026,ok,757,750,7,19,19,,
2025020177,20252026,ok,783,776,7,19,19,,
2025020178,20252026,ok,770,764,6,19,19,,
2025020179,20252026,ok,722,718,4,19,19,,
2025020180,20252026,ok,768,761,7,19,19,,
2025020181,20252026,ok,714,711,3,19,19,,
2025020218,20252026,ok,864,859,5,19,19,,
2025020219,20252026,ok,780,777,3,19,19,,
2025020220,20252026,ok,720,713,7,19,19,,
2025020221,20252026,ok,712,704,8,19,19,,
2025020222,20252026,ok,731,724,7,19,19,,
2025020223,20252026,ok,714,710,4,19,19,,
2025020224,20252026,ok,756,744,12,19,19,,
2025020225,20252026,ok,752,743,9,19,19,,
2025020226,20252026,ok,729,722,7,19,19,,
2025020227,20252026,ok,794,789,5,19,19,,
2025020228,20252026,ok,728,721,7,19,19,,
2025020229,20252026,ok,755,751,4,19,19,,
2025020230,20252026,ok,734,731,3,19,19,,
2025020231,20252026,ok,785,781,4,19,19,,
2025020232,20252026,ok,851,846,5,19,19,,
2025020233,20252026,ok,742,733,9,19,19,,
2025020234,20252026,ok,805,797,8,20,19,,
2025020235,20252026,ok,750,742,8,19,19,,
2025020236,20252026,ok,741,736,5,19,19,,
2025020237,20252026,ok,764,759,5,19,19,,
2025020238,20252026,ok,839,830,9,19,19,,
2025020239,20252026,ok,773,766,7,19,19,,
2025020240,20252026,ok,761,751,10,20,19,,
2025020241,20252026,ok,725,718,7,19,19,,
2025020242,20252026,ok,831,824,7,19,19,,
2025020243,20252026,ok,681,677,4,19,19,,
2025020244,20252026,ok,755,749,6,19,19,,
2025020245,20252026,ok,722,717,5,19,19,,
2025020246,20252026,ok,793,784,9,19,19,,
2025020247,20252026,ok,787,781,6,19,19,,
2025020248,20252026,ok,687,684,3,19,19,,
2025020249,20252026,ok,719,717,2,19,19,,
2025020250,20252026,ok,783,774,9,19,19,,
2025020251,20252026,ok,791,786,5,19,19,,
2025020252,20252026,ok,755,750,5,19,19,,
2025020253,20252026,ok,732,723,9,19,20,,
2025020254,20252026,ok,734,725,9,19,19,,
2025020255,20252026,ok,721,716,5,19,19,,
2025020256,20252026,ok,768,760,8,19,20,,
2025020257,20252026,ok,678,672,6,19,19,,
2025020258,20252026,ok,795,790,5,19,19,,
2025020259,20252026,ok,775,770,5,20,19,,
2025020260,20252026,ok,786,781,5,19,19,,
2025020261,20252026,ok,696,693,3,19,19,,
2025020262,20252026,ok,774,769,5,19,19,,
2025020263,20252026,ok,781,773,8,20,19,,
2025020264,20252026,ok,730,725,5,19,19,,
2025020265,20252026,ok,754,744,10,20,19,,
2025020266,20252026,ok,771,768,3,19,19,,
2025020267,20252026,ok,868,861,7,19,19,,
2025020268,20252026,ok,775,768,7,19,19,,
2025020269,20252026,ok,747,740,7,19,19,,
2025020301,20252026,ok,734,730,4,19,19,,
2025020302,20252026,ok,743,737,6,19,19,,
2025020303,20252026,ok,766,753,13,19,19,,
2025020304,20252026,ok,718,715,3,19,19,,
2025020305,20252026,ok,752,743,9,19,19,,
2025020306,20252026,ok,775,770,5,19,19,,
2025020307,20252026,ok,850,845,5,19,19,,
2025020308,20252026,ok,799,793,6,19,19,,
2025020309,20252026,ok,722,716,6,19,19,,
2025020310,20252026,ok,774,769,5,19,19,,
2025020311,20252026,ok,716,709,7,19,19,,
2025020312,20252026,ok,782,775,7,19,19,,
2025020313,20252026,ok,767,762,5,19,19,,
2025020314,20252026,ok,771,766,5,19,19,,
2025020315,20252026,ok,703,692,11,19,19,,
2025020316,20252026,ok,815,807,8,19,19,,
2025020317,20252026,ok,756,749,7,19,19,,
2025020318,20252026,ok,748,741,7,19,19,,
2025020319,20252026,ok,803,798,5,19,19,,
2025020320,20252026,ok,724,712,12,20,19,,
2025020321,20252026,ok,786,781,5,19,19,,
2025020322,20252026,ok,746,743,3,19,19,,
2025020323,20252026,ok,687,686,1,19,19,,
2025020324,20252026,ok,827,822,5,19,19,,
2025020325,20252026,ok,719,714,5,19,19,,
2025020326,20252026,ok,794,785,9,19,19,,
2025020327,20252026,ok,803,798,5,19,19,,
2025020328,20252026,ok,699,693,6,19,19,,
2025020329,20252026,ok,833,828,5,19,19,,
2025020330,20252026,ok,769,762,7,19,19,,
2025020331,20252026,ok,766,754,12,19,19,,
2025020332,20252026,ok,670,665,5,20,19,,
2025020333,20252026,ok,741,734,7,19,19,,
2025020334,20252026,ok,757,754,3,19,19,,
2025020335,20252026,ok,765,758,7,19,19,,
2025020336,20252026,ok,729,726,3,19,19,,
2025020337,20252026,ok,728,721,7,19,20,,
2025020338,20252026,ok,749,740,9,20,19,,
2025020339,20252026,ok,797,788,9,19,19,,
2025020340,20252026,ok,726,721,5,19,19,,
2025020341,20252026,ok,724,716,8,20,19,,
2025020342,20252026,ok,765,760,5,19,19,,
2025020343,20252026,ok,735,732,3,19,19,,
2025020344,20252026,ok,809,804,5,19,19,,
2025020345,20252026,ok,828,821,7,19,19,,
2025020346,20252026,ok,817,810,7,19,19,,
2025020347,20252026,ok,770,765,5,19,19,,
2025020348,20252026,ok,703,700,3,19,19,,
2025020349,20252026,ok,778,775,3,19,19,,
2025020350,20252026,ok,745,744,1,19,19,,
2025020351,20252026,ok,737,733,4,19,19,,
2025020352,20252026,ok,774,767,7,19,19,,
2025020353,20252026,ok,776,773,3,19,19,,
2025020354,20252026,ok,754,747,7,19,19,,
2025020355,20252026,ok,748,743,5,19,19,,
2025020356,20252026,ok,702,696,6,19,19,,
2025020357,20252026,ok,798,787,11,20,19,,
2025020358,20252026,ok,770,764,6,19,19,,
2025020359,20252026,ok,777,774,3,19,19,,
2025020360,20252026,ok,759,748,11,20,19,,
2025020361,20252026,ok,795,786,9,19,19,,
2025020362,20252026,ok,713,707,6,19,20,,
2025020363,20252026,ok,767,761,6,19,19,,
2025020364,20252026,ok,755,750,5,19,19,,
2025020365,20252026,ok,722,718,4,19,19,,
2025020366,20252026,ok,692,686,6,19,19,,
2025020367,20252026,ok,756,749,7,19,19,,
2025020368,20252026,ok,828,822,6,19,19,,
2025020369,20252026,ok,809,806,3,19,19,,
2025020370,20252026,ok,738,731,7,19,19,,
2025020371,20252026,ok,729,723,6,19,20,,
2025020372,20252026,ok,745,738,7,19,19,,
2025020373,20252026,ok,863,856,7,19,19,,
2025020374,20252026,ok,768,759,9,19,19,,
2025020375,20252026,ok,740,735,5,19,19,,
2025020376,20252026,ok,813,805,8,19,19,,
2025020377,20252026,ok,785,776,9,19,19,,
2025020378,20252026,ok,771,764,7,19,19,,
2025020379,20252026,ok,783,778,5,19,19,,
2025020380,20252026,ok,797,789,8,19,19,,
2025020381,20252026,ok,810,801,9,19,19,,
2025020382,20252026,ok,811,804,7,19,19,,
2025020383,20252026,ok,701,696,5,19,19,,
2025020384,20252026,ok,784,774,10,19,19,,
2025020385,20252026,ok,690,685,5,19,19,,
2025020386,20252026,ok,792,786,6,19,19,,
2025020387,20252026,ok,776,770,6,19,19,,
2025020388,20252026,ok,746,739,7,19,19,,
2025020389,20252026,ok,724,717,7,19,19,,
2025020390,20252026,ok,738,731,7,19,19,,
2025020391,20252026,ok,664,659,5,19,19,,
2025020392,20252026,ok,746,737,9,19,19,,
2025020393,20252026,ok,697,693,4,19,19,,
2025020394,20252026,ok,777,772,5,19,19,,
2025020395,20252026,ok,764,756,8,19,19,,
2025020396,20252026,ok,763,754,9,20,19,,
2025020397,20252026,ok,749,742,7,19,19,,
2025020398,20252026,ok,772,771,1,19,19,,
2025020399,20252026,ok,785,776,9,19,19,,
2025020400,20252026,ok,712,705,7,19,19,,
2025020401,20252026,ok,766,763,3,19,19,,
2025020402,20252026,ok,716,711,5,19,19,,
2025020403,20252026,ok,779,771,8,19,20,,
2025020404,20252026,ok,785,784,1,19,19,,
2025020405,20252026,ok,789,782,7,19,19,,
2025020406,20252026,ok,729,721,8,19,19,,
2025020407,20252026,ok,744,738,6,19,19,,
2025020408,20252026,ok,725,719,6,19,20,,
2025020409,20252026,ok,757,752,5,20,19,,
2025020410,20252026,ok,753,744,9,19,20,,
2025020411,20252026,ok,804,797,7,19,19,,
2025020640,20252026,ok,783,776,7,19,19,,
2025020641,20252026,ok,767,761,6,19,19,,
2025020642,20252026,ok,806,799,7,19,19,,
2025020643,20252026,ok,714,707,7,19,19,,
2025020644,20252026,ok,737,732,5,19,19,,
2025020645,20252026,ok,769,764,5,19,19,,
2025020646,20252026,ok,686,680,6,19,19,,
2025020647,20252026,ok,772,765,7,19,19,,
2025020648,20252026,ok,736,734,2,19,19,,
2025020649,20252026,ok,691,681,10,20,19,,
2025020650,20252026,ok,767,761,6,19,19,,
2025020651,20252026,ok,862,855,7,19,19,,
2025020652,20252026,ok,791,782,9,19,19,,
2025020653,20252026,ok,773,765,8,19,19,,
2025020654,20252026,ok,824,817,7,19,19,,
2025020655,20252026,ok,704,693,11,19,19,,
2025020656,20252026,ok,806,801,5,19,19,,
2025020657,20252026,ok,720,713,7,19,19,,
2025020658,20252026,ok,694,685,9,19,19,,
2025020659,20252026,ok,754,751,3,19,19,,
2025020660,20252026,ok,711,707,4,19,19,,
2025020661,20252026,ok,731,726,5,19,19,,
2025020662,20252026,ok,756,751,5,20,19,,
2025020663,20252026,ok,813,802,11,19,20,,
2025020664,20252026,ok,828,820,8,20,19,,
2025020665,20252026,ok,810,804,6,19,19,,
2025020666,20252026,ok,652,646,6,19,19,,
2025020667,20252026,ok,749,741,8,19,19,,
2025020668,20252026,ok,715,709,6,19,19,,
2025020669,20252026,ok,739,730,9,19,19,,
2025020670,20252026,ok,800,793,7,19,19,,
2025020671,20252026,ok,726,717,9,19,20,,
2025020672,20252026,ok,812,807,5,19,19,,
2025020673,20252026,ok,772,765,7,19,19,,
2025020674,20252026,ok,738,730,8,19,19,,
2025020675,20252026,ok,722,715,7,19,19,,
2025020676,20252026,ok,785,774,11,19,19,,
2025020677,20252026,ok,709,704,5,19,19,,
2025020678,20252026,ok,808,803,5,19,19,,
2025020679,20252026,ok,778,768,10,19,19,,
2025020680,20252026,ok,809,805,4,19,19,,
2025020681,20252026,ok,687,680,7,19,19,,
2025020682,20252026,ok,782,777,5,19,19,,
2025020683,20252026,ok,732,724,8,19,19,,
2025020684,20252026,ok,762,756,6,19,19,,
2025020685,20252026,ok,766,759,7,19,19,,
2025020686,20252026,ok,813,810,3,19,19,,
2025020687,20252026,ok,736,731,5,19,19,,
2025020688,20252026,ok,762,755,7,19,19,,
2025020689,20252026,ok,778,775,3,19,19,,
2025020690,20252026,ok,709,702,7,19,19,,
2025020691,20252026,ok,831,821,10,19,20,,
2025020692,20252026,ok,712,704,8,20,19,,
2025020693,20252026,ok,717,712,5,19,19,,
2025020694,20252026,ok,738,732,6,19,19,,
2025020695,20252026,ok,682,676,6,19,20,,
2025020696,20252026,ok,816,810,6,19,19,,
2025020697,20252026,ok,765,753,12,19,20,,
2025020698,20252026,ok,707,704,3,19,19,,
2025020699,20252026,ok,699,695,4,19,19,,
2025020700,20252026,ok,713,704,9,19,19,,
2025020701,20252026,ok,811,803,8,19,19,,
2025020702,20252026,ok,783,778,5,19,20,,
2025020703,20252026,ok,706,702,4,19,19,,
2025020704,20252026,ok,808,803,5,19,19,,
2025020705,20252026,ok,746,737,9,19,19,,
2025020706,20252026,ok,780,775,5,19,19,,
2025020707,20252026,ok,713,710,3,19,19,,
2025020708,20252026,ok,722,715,7,19,19,,
2025020709,20252026,ok,747,740,7,19,19,,
2025020710,20252026,ok,785,779,6,19,19,,
2025020711,20252026,ok,706,699,7,19,19,,
2025020712,20252026,ok,679,678,1,19,19,,
2025020713,20252026,ok,702,697,5,19,19,,
2025020714,20252026,ok,778,773,5,19,19,,
2025020715,20252026,ok,716,707,9,19,19,,
2025020716,20252026,ok,777,770,7,19,19,,
2025020717,20252026,ok,753,746,7,19,19,,
2025020718,20252026,ok,732,726,6,19,19,,
2025020719,20252026,ok,715,709,6,19,19,,
2025020720,20252026,ok,728,719,9,19,19,,
2025020721,20252026,ok,711,704,7,19,19,,
2025020722,20252026,ok,697,692,5,19,19,,
2025020723,20252026,ok,829,822,7,19,19,,
2025020724,20252026,ok,710,706,4,19,19,,
2025020725,20252026,ok,779,776,3,19,19,,
2025020726,20252026,ok,711,706,5,19,19,,
2025020727,20252026,ok,721,716,5,19,19,,
2025020728,20252026,ok,793,785,8,19,19,,
2025020729,20252026,ok,762,759,3,19,19,,
2025020730,20252026,ok,757,754,3,19,19,,
2025020731,20252026,ok,725,718,7,19,19,,
2025020732,20252026,ok,729,720,9,19,19,,
2025020733,20252026,ok,851,844,7,19,19,,
2025020734,20252026,ok,717,713,4,19,19,,
2025020735,20252026,ok,781,776,5,19,19,,
2025020780,20252026,ok,706,699,7,19,19,,
2025020781,20252026,ok,679,674,5,19,19,,
2025020782,20252026,ok,818,813,5,20,19,,
2025020783,20252026,ok,749,741,8,19,20,,
2025020784,20252026,ok,751,743,8,20,19,,
2025020785,20252026,ok,735,731,4,19,19,,
2025020786,20252026,ok,701,698,3,19,19,,
2025020787,20252026,ok,736,729,7,20,19,,
2025020788,20252026,ok,797,794,3,19,19,,
2025020789,20252026,ok,858,854,4,19,19,,
2025020790,20252026,ok,861,852,9,19,19,,
2025020791,20252026,ok,743,738,5,19,19,,
2025020792,20252026,ok,709,702,7,19,19,,
2025020793,20252026,ok,735,730,5,19,19,,
2025020794,20252026,ok,707,700,7,19,19,,
2025020795,20252026,ok,763,757,6,19,19,,
2025020796,20252026,ok,788,779,9,19,19,,
2025020797,20252026,ok,696,695,1,19,19,,
2025020798,20252026,ok,787,779,8,19,19,,
2025020799,20252026,ok,775,771,4,19,19,,
2025020800,20252026,ok,680,672,8,19,19,,
2025020801,20252026,ok,715,708,7,19,19,,
2025020802,20252026,ok,775,766,9,19,19,,
2025020803,20252026,ok,700,693,7,19,19,,
2025020804,20252026,ok,713,708,5,19,19,,
2025020805,20252026,ok,799,789,10,19,19,,
2025020806,20252026,ok,791,787,4,19,19,,
2025020807,20252026,ok,702,693,9,19,19,,
2025020808,20252026,ok,727,723,4,19,19,,
2025020809,20252026,ok,815,809,6,19,19,,
2025020810,20252026,ok,745,740,5,19,19,,
2025020811,20252026,ok,772,765,7,19,19,,
2025020812,20252026,ok,748,741,7,19,19,,
2025020813,20252026,ok,755,750,5,19,19,,
2025020814,20252026,ok,785,772,13,19,19,,
2025020815,20252026,ok,758,752,6,19,19,,
2025020816,20252026,ok,778,767,11,19,19,,
2025020817,20252026,ok,697,690,7,19,19,,
2025020818,20252026,ok,748,737,11,20,19,,
2025020819,20252026,ok,760,755,5,19,19,,
2025020820,20252026,ok,748,742,6,19,19,,
2025020821,20252026,ok,773,765,8,19,19,,
2025020822,20252026,ok,750,745,5,19,19,,
2025020823,20252026,ok,784,778,6,19,19,,
2025020824,20252026,ok,876,869,7,19,19,,
2025020825,20252026,ok,734,732,2,19,19,,
2025020826,20252026,ok,802,795,7,19,19,,
2025020827,20252026,ok,725,721,4,19,19,,
2025020829,20252026,ok,784,773,11,19,19,,
2025020830,20252026,ok,740,735,5,19,19,,
2025020831,20252026,ok,775,764,11,19,20,,
2025020832,20252026,ok,728,723,5,19,19,,
2025020833,20252026,ok,737,733,4,19,19,,
2025020834,20252026,ok,719,712,7,19,19,,
2025020835,20252026,ok,705,698,7,19,19,,
2025020836,20252026,ok,730,723,7,19,19,,
2025020837,20252026,ok,722,715,7,19,19,,
2025020838,20252026,ok,678,671,7,20,19,,
2025020839,20252026,ok,705,699,6,19,19,,
2025020840,20252026,ok,786,778,8,19,19,,
2025020841,20252026,ok,766,759,7,19,19,,
2025020842,20252026,ok,761,754,7,19,19,,
2025020843,20252026,ok,772,763,9,19,20,,
2025020844,20252026,ok,733,728,5,19,19,,
2025020845,20252026,ok,719,709,10,19,19,,
2025020846,20252026,ok,750,739,11,19,19,,
