game_id,play_id,passer_player_id,rusher_player_id,receiver_player_id
2016_01_BUF_BAL,3392,,00-0031375,
2016_01_BUF_BAL,3414,,00-0026901,
2016_01_BUF_BAL,3456,,00-0031375,
2016_01_BUF_BAL,3477,,00-0026373,
2016_01_BUF_BAL,3515,,00-0031375,
2016_01_CAR_DEN,51,00-0032156,,00-0027874
2016_01_CAR_DEN,75,00-0032156,,00-0029854
2016_01_CAR_DEN,97,00-0032156,,00-0027685
2016_01_CAR_DEN,119,00-0032156,,00-0028142
2016_01_CAR_DEN,143,00-0032156,,00-0027685
2016_01_CAR_DEN,167,,00-0029854,
2016_01_CAR_DEN,188,,00-0029854,
2016_01_CAR_DEN,209,,00-0032972,
2016_01_CAR_DEN,242,,00-0026153,
2016_01_CAR_DEN,263,,00-0026153,
2016_01_CAR_DEN,284,,00-0026069,
2016_01_CAR_DEN,305,00-0027939,,00-0025418
2016_01_CAR_DEN,344,00-0027939,,00-0031359
2016_01_CAR_DEN,368,,00-0025396,
2016_01_CAR_DEN,389,,00-0026153,
2016_01_CAR_DEN,427,00-0027939,,00-0031359
2016_01_CAR_DEN,499,00-0032156,,00-0027685
2016_01_CAR_DEN,523,,00-0029854,
2016_01_CAR_DEN,544,00-0032156,,00-0027874
2016_01_CAR_DEN,568,,00-0029854,
2016_01_CAR_DEN,589,00-0032156,,00-0029854
2016_01_CAR_DEN,613,,00-0032972,
2016_01_CAR_DEN,634,,00-0032972,
2016_01_CAR_DEN,656,00-0032156,,00-0027874
2016_01_CAR_DEN,685,,00-0029854,
2016_01_CAR_DEN,706,00-0032156,,
2016_01_CAR_DEN,725,00-0032156,,00-0027685
2016_01_CAR_DEN,752,00-0027939,,00-0031359
2016_01_CAR_DEN,775,,00-0026153,
2016_01_CAR_DEN,796,00-0027939,,00-0026069
2016_01_CAR_DEN,858,00-0032156,,00-0027685
2016_01_CAR_DEN,882,,00-0029854,
2016_01_CAR_DEN,903,,00-0032156,
2016_01_CAR_DEN,924,,00-0029854,
2016_01_CAR_DEN,945,,00-0032956,
2016_01_CAR_DEN,1018,,00-0027939,
2016_01_CAR_DEN,1039,00-0027939,,00-0031359
2016_01_CAR_DEN,1078,00-0027939,,00-0031359
2016_01_CAR_DEN,1119,,00-0027939,
2016_01_CAR_DEN,1140,,00-0026153,
2016_01_CAR_DEN,1161,,00-0026153,
2016_01_CAR_DEN,1183,00-0027939,,00-0029731
2016_01_CAR_DEN,1208,,00-0029731,
2016_01_CAR_DEN,1233,,00-0029731,
2016_01_CAR_DEN,1254,00-0027939,,00-0031359
2016_01_CAR_DEN,1293,00-0027939,,00-0032055
2016_01_CAR_DEN,1317,,00-0026153,
2016_01_CAR_DEN,1338,00-0027939,,00-0031359
2016_01_CAR_DEN,1360,00-0027939,,00-0025418
2016_01_CAR_DEN,1384,,00-0027939,
2016_01_CAR_DEN,1405,00-0027939,,00-0025418
2016_01_CAR_DEN,1429,00-0027939,,00-0025418
2016_01_CAR_DEN,1476,,00-0027939,
2016_01_CAR_DEN,1525,,00-0029854,
2016_01_CAR_DEN,1546,,00-0029854,
2016_01_CAR_DEN,1584,00-0032156,,00-0026739
2016_01_CAR_DEN,1644,,00-0027939,
2016_01_CAR_DEN,1665,,00-0029731,
2016_01_CAR_DEN,1686,00-0027939,,00-0031359
2016_01_CAR_DEN,1759,,00-0027939,
2016_01_CAR_DEN,1802,00-0027939,,00-0025418
