player,gsis_id,bucket,rating_0_100,tier,n_eff
Jake Curhan,00-0036795,OL,58.0,A,1087
Bryce Young,00-0039150,QB,58.0,B,2675
Brock Hoffman,00-0037336,OL,58.0,A,1127
Kayshon Boutte,00-0038608,WR,58.0,A,1584
Emmanuel Ogbah,00-0033073,DL,57.9,A,5433
Dante Fowler Jr.,00-0032052,DL,57.9,A,5254
Mason Rudolph,00-0034771,QB,57.9,B,1453
Geno Stone,00-0036199,DB,57.9,A,3599
Landon Dickerson,00-0037002,OL,57.9,A,5187
Tim Jones,00-0036497,WR,57.9,A,652
Will McDonald IV,00-0039142,DL,57.9,A,1480
Alec Anderson,00-0037428,OL,57.9,A,495
Ladd McConkey,00-0039915,WR,57.9,A,1599
Rome Odunze,00-0039919,WR,57.9,A,1707
Jacoby Brissett,00-0033119,QB,57.8,B,4262
Rachaad White,00-0037256,RB,57.8,A,2518
Damontae Kazee,00-0033512,DB,57.7,A,4239
Baron Browning,00-0036995,LB,57.7,B,2278
Laremy Tunsil,00-0032380,OL,57.6,A,8283
Tyler Conklin,00-0034270,TE,57.6,B,4161
Zaven Collins,00-0036933,LB,57.6,B,2859
Darnell Wright,00-0038932,OL,57.6,A,3217
Ray Davis,00-0039875,RB,57.6,B,442
Jalen Mills,00-0032803,DB,57.5,B,5907
Germaine Pratt,00-0035697,LB,57.5,B,5607
Clelin Ferrell,00-0035692,DL,57.5,A,2895
Luke Fortner,00-0037814,OL,57.4,A,2952
Wan'Dale Robinson,00-0038117,WR,57.4,B,2547
Malik Hooker,00-0033877,DB,57.3,B,5864
Cody Ford,00-0035238,OL,57.3,A,2660
Willie Gay Jr.,00-0036362,LB,57.3,B,2517
Daniel Bellinger,00-0038115,TE,57.3,B,2141
Tony Jefferson,00-0030294,DB,57.2,B,4050
Taylor Rapp,00-0035663,DB,57.2,B,4662
Mike Onwenu,00-0036198,OL,57.2,A,5521
Chris Olave,00-0037239,WR,57.2,B,2513
Jahmyr Gibbs,00-0039139,RB,57.2,B,2032
Ryan Kelly,00-0032383,OL,57.1,A,7726
T.J. Hockenson,00-0035229,TE,57.1,B,4658
Abraham Lucas,00-0037812,OL,57.1,A,2806
Courtland Sutton,00-0034348,WR,57.0,B,6077
Greg Gaines,00-0035667,DL,57.0,A,3290
Edgerrin Cooper,00-0039850,LB,57.0,B,1548
Jonathan Jones,00-0032580,DB,56.9,B,5268
John Simpson,00-0036369,OL,56.9,B,4643
Austin Booker,00-0039840,DL,56.9,A,904
Tykee Smith,00-0039846,DB,56.9,B,1479
Jeremy Chinn,00-0036293,DB,56.8,B,4859
Kristian Fulton,00-0036416,DB,56.8,B,3158
Elijah Higgins,00-0039041,TE,56.8,B,1017
