player,gsis_id,bucket,rating_0_100,tier,n_eff
Noah Igbinoghene,00-0036287,DB,48.4,B,1858
Skyy Moore,00-0038090,WR,48.4,B,1016
Tyrone Tracy Jr.,00-0039384,RB,48.4,B,1125
Jamien Sherwood,00-0036500,LB,48.3,B,2353
Ben Skowronek,00-0036862,WR,48.3,B,1391
Jeremy McNichols,00-0033955,RB,48.2,B,1061
Andrew Wingard,00-0035378,DB,48.2,B,3136
Devin Duvernay,00-0036331,WR,48.2,B,1858
Nick Westbrook-Ikhine,00-0036182,WR,48.2,B,3251
Keon Coleman,00-0039901,WR,48.2,B,1284
Yahya Black,00-0040188,DL,48.2,B,423
David Njoku,00-0033885,TE,48.1,B,5227
Cody Barton,00-0035672,LB,48.1,B,4300
Ikem Ekwonu,00-0037229,OL,48.1,B,3820
Arnold Ebiketie,00-0038116,LB,48.1,B,1730
Demontrey Jacobs,00-0038792,OL,48.1,B,870
Xavier Weaver,00-0039521,WR,48.1,B,308
Anthony Firkser,00-0033455,TE,48.0,B,1450
Jermaine Johnson II,00-0037663,DL,48.0,B,1724
Ben Sims,00-0038809,TE,48.0,B,470
Brandon Coleman,00-0039913,OL,48.0,B,1313
Mekhi Becton,00-0036284,OL,47.9,B,3490
Lloyd Cushenberry III,00-0036391,OL,47.9,B,4815
Decamerion Richardson,00-0039357,DB,47.9,B,536
Dan Feeney,00-0033910,OL,47.8,B,4786
Matt Hennessy,00-0036295,OL,47.8,B,1479
Jaylon Jones,00-0038407,DB,47.8,B,2042
Tanor Bortolini,00-0039744,OL,47.8,B,1215
Laquon Treadwell,00-0032951,WR,47.7,B,2022
Jaylen McCollough,00-0039776,DB,47.7,B,886
Jonah Laulu,00-0039423,DL,47.7,B,1154
Efton Chism III,00-0040563,WR,47.7,B,106
Austin Johnson,00-0032763,DL,47.6,B,3532
Ethan Pocic,00-0033901,OL,47.6,B,6048
Braxton Berrios,00-0034419,WR,47.6,B,1629
Isaiah Simmons,00-0036356,DB,47.6,B,2719
Mason Graham,00-0040685,DL,47.6,B,728
Carlos Watkins,00-0033563,DL,47.4,B,2132
Cade Mays,00-0037297,OL,47.4,B,1676
Sean Tucker,00-0038951,RB,47.4,B,298
Jordan Howden,00-0038588,DB,47.4,B,1299
Tre Flowers,00-0034756,DB,47.3,B,3315
Kevin Givens,00-0035026,DL,47.3,B,1776
Harrison Bryant,00-0036232,TE,47.3,B,2267
John Metchie III,00-0037614,WR,47.3,B,1229
Noah Brown,00-0033591,WR,47.2,B,2600
Kentavius Street,00-0034320,DL,47.2,B,1977
Nakobe Dean,00-0037615,LB,47.2,B,1497
DJ Turner II,00-0038549,DB,47.2,B,2193
Mason McCormick,00-0039358,OL,47.2,B,1923
Malik Washington,00-0039880,WR,47.2,B,937
Grey Zabel,00-0040639,OL,47.2,B,1173
Charlie Kolar,00-0038046,TE,47.1,B,926
Trevin Wallace,00-0039347,LB,47.1,B,1129
Drew Sample,00-0035631,TE,47.0,B,3155
LaCale London,00-0036204,DL,47.0,B,445
Troy Reeder,00-0035617,LB,46.8,B,2313
Davis Mills,00-0036898,QB,46.8,B,1909
Marte Mapu,00-0039054,LB,46.8,B,773
Luke McCaffrey,00-0039355,WR,46.8,B,582
Pat Freiermuth,00-0036894,TE,46.7,B,3158
Isaiah McDuffie,00-0036658,LB,46.7,B,1901
Chau Smith-Wade,00-0039380,DB,46.7,B,914
Philip Rivers,00-0022942,QB,46.6,B,5204
Wyatt Teller,00-0034399,OL,46.6,B,6413
Theo Jackson,00-0037301,DB,46.6,B,711
Shy Tuttle,00-0035409,DL,46.5,B,2925
SirVocea Dennis,00-0039049,LB,46.5,B,1054
Ben Sinnott,00-0039912,TE,46.5,B,608
Cam Ward,00-0040676,QB,46.5,C,947
Kalif Raymond,00-0032464,WR,46.4,B,2514
Arthur Maulet,00-0033503,DB,46.4,B,2235
Ronnie Harrison,00-0034779,LB,46.4,B,2751
Parris Campbell,00-0035639,WR,46.4,B,1702
Ji'Ayir Brown,00-0038554,DB,46.4,B,2158
Chris Board,00-0034787,LB,46.3,B,1024
Will Fries,00-0036483,OL,46.3,B,2889
Jahan Dotson,00-0037741,WR,46.3,B,2897
Jordan Mason,00-0037525,RB,46.3,B,905
Joe Tippmann,00-0039145,OL,46.3,B,2833
Kendre Miller,00-0038551,RB,46.3,B,307
John FitzPatrick,00-0037306,TE,46.3,B,390
Leki Fotu,00-0036371,DL,46.2,B,1613
Roy Lopez,00-0036568,DL,46.2,B,2206
Jalen Tolbert,00-0037666,WR,46.2,B,1847
Jalin Hyatt,00-0038938,WR,46.2,B,1016
Malik Heath,00-0038465,WR,46.2,B,624
Nate Adkins,00-0038783,TE,46.2,B,686
Deone Walker,00-0040710,DL,46.2,B,529
Hunter Renfrow,00-0034983,WR,46.1,B,2608
Victor Dimukeje,00-0036896,LB,46.1,B,803
Derion Kendrick,00-0037842,DB,46.1,B,1406
Tank Bigsby,00-0038555,RB,46.1,B,592
Terrion Arnold,00-0039903,DB,46.1,B,1239
L.J. Collier,00-0035636,DL,46.0,B,1740
Malik Mustapha,00-0039360,DB,45.9,B,1499
Theo Benedet,00-0039459,OL,45.9,B,557
Will Sherman,00-0036535,OL,45.9,B,171
Jonah Elliss,00-0039809,LB,45.8,B,749
Joe Huber,00-0040500,OL,45.8,B,74
Jalen Sundell,00-0039926,OL,45.7,B,926
Isaiah Stalbird,00-0039622,LB,45.7,B,54
Jakob Johnson,00-0035726,RB,45.6,B,1255
Evan Hull,00-0038397,RB,45.6,B,74
Connor Colby,00-0040245,OL,45.6,B,427
Quincy Riley,00-0040166,DB,45.6,B,558
Krys Barnes,00-0035961,LB,45.5,B,1881
Beaux Limmer,00-0039753,OL,45.4,B,1025
Darius Muasau,00-0039829,LB,45.4,B,840
Tre Harris,00-0040727,WR,45.4,B,566
Chris Wormley,00-0033913,DL,45.3,B,2326
Nyheim Hines,00-0034367,RB,45.3,B,1765
Troy Dye,00-0036338,LB,45.3,B,1183
Rico Dowdle,00-0036139,RB,45.3,B,1426
Deonte Banks,00-0039000,DB,45.3,B,1982
Jimmy Garoppolo,00-0031345,QB,45.2,C,4080
Zach Frazier,00-0039896,OL,45.2,B,1947
Tyleik Williams,00-0040672,DL,45.2,B,427
Myles Gaskin,00-0035311,RB,45.1,B,1133
Trevon Diggs,00-0036361,DB,45.1,B,4093
Devin Lloyd,00-0037244,LB,45.1,B,3442
Ryan Flournoy,00-0039410,WR,45.1,B,590
Cooper McDonald,00-0040118,LB,45.1,B,55
Andrew Meyer,00-0039485,OL,45.1,B,52
Garrett Wilson,00-0037740,WR,45.0,B,3151
Scott Matlock,00-0038614,DL,45.0,B,1068
Josh Conerly Jr.,00-0040686,OL,45.0,B,978
Howard Cross III,00-0040369,DL,45.0,B,50
Bam Martin-Scott,00-0040289,LB,45.0,B,53
Kylen Granson,00-0036876,TE,44.9,B,1688
Greg Dortch,00-0035500,WR,44.9,B,1589
Colby Wooden,00-0038387,DL,44.9,B,1121
Xavier Smith,00-0038359,WR,44.9,B,261
Savion Williams,00-0040009,WR,44.9,B,82
Luther Burden III,00-0040735,WR,44.9,B,475
Jalen Reeves-Maybin,00-0033557,LB,44.7,B,1583
Mykal Walker,00-0036300,LB,44.7,B,1851
Jonas Sanker,00-0040643,DB,44.7,B,916
Ifeatu Melifonwu,00-0036993,DB,44.6,B,1530
Micheal Clemons,00-0038107,DL,44.6,B,1762
Otito Ogbonnia,00-0037270,DL,44.6,B,997
Brodric Martin,00-0038939,DL,44.6,B,62
Jacory Croskey-Merritt,00-0040242,RB,44.6,B,381
Neville Hewitt,00-0031740,LB,44.5,B,3031
Gardner Minshew,00-0035289,QB,44.5,C,3167
Rico Payton,00-0039620,DB,44.5,B,53
Patrick O'Connell,00-0038764,LB,44.5,B,57
Taki Taimani,00-0039720,DL,44.4,B,97
Devin Neal,00-0040202,RB,44.4,B,254
Nathan Thomas,00-0039422,OL,44.4,B,315
Joe Noteboom,00-0034803,OL,44.3,B,2518
Khalil Herbert,00-0036906,RB,44.3,B,1104
Jordan Battle,00-0038560,DB,44.3,B,1933
Avonte Maddox,00-0034377,DB,44.2,B,3789
Javon Kinlaw,00-0036260,DL,44.2,B,2720
Bernhard Raimann,00-0037757,OL,44.2,C,3388
Rodney Thomas,00-0037323,DB,44.2,B,1844
Kenny Pickett,00-0038102,QB,44.2,C,1592
Devontez Walker,00-0039792,WR,44.2,B,194
Darius Robinson,00-0039854,DL,44.2,B,647
Upton Stout,00-0040152,DB,44.2,B,627
Kyle Kennard,00-0040161,LB,44.2,B,75
Sebastian Castro,00-0040527,DB,44.2,B,72
Joshua Williams,00-0038043,DB,44.1,B,1314
Tyquan Thornton,00-0038104,WR,44.1,B,1171
Tyler Nubin,00-0039861,DB,44.1,B,1488
Giovanni Manu,00-0039362,OL,44.1,C,64
Rashid Shaheed,00-0037545,WR,44.0,C,1912
JL Skinner,00-0038605,DB,44.0,B,50
Anthony Gould,00-0039816,WR,44.0,C,60
Jamaree Caldwell,00-0040144,DL,44.0,B,491
Ty Johnson,00-0035537,RB,43.9,B,1806
Andrew Beck,00-0034959,RB,43.9,B,967
Sam Mustipher,00-0035062,OL,43.9,C,2892
Darrell Baker Jr.,00-0037549,DB,43.9,B,1711
British Brooks,00-0039603,RB,43.9,B,71
Oronde Gadsden II,00-0040189,TE,43.9,B,619
Brent Urban,00-0031177,DL,43.8,B,2589
Dyami Brown,00-0036626,WR,43.8,C,1651
Chauncey Golston,00-0036982,DL,43.8,B,1846
Jack Heflin,00-0036788,DL,43.8,B,63
Brenton Strange,00-0038935,TE,43.8,B,1427
Garrett Williams,00-0039007,DB,43.8,B,1595
Tyler Owens,00-0039681,DB,43.8,B,66
Aeneas Peebles,00-0040076,DL,43.8,B,67
Quentin Johnston,00-0038544,WR,43.7,C,2125
Ryan Van Demark,00-0037404,OL,43.7,C,501
George Holani,00-0039299,RB,43.7,B,84
Nick Whiteside,00-0038841,DB,43.6,B,61
Mike Green,00-0040722,LB,43.5,B,671
Dell Pettus,00-0039692,DB,43.4,B,462
Frank Crum,00-0039568,OL,43.4,C,70
Treylon Burks,00-0037742,WR,43.3,C,1215
Nick Zakelj,00-0037831,OL,43.3,C,183
Levi Drake Rodriguez,00-0039421,DL,43.3,B,441
Danny Striggow,00-0040342,DL,43.3,B,141
Theo Wease Jr.,00-0040311,WR,43.3,C,50
Rakeem Nunez-Roches,00-0031957,DL,43.2,B,3817
Brady Russell,00-0038488,RB,43.2,C,89
Terrell Jennings,00-0039757,RB,43.2,C,63
Jalon Walker,00-0040577,LB,43.2,B,466
Shemar Turner,00-0040741,DL,43.2,B,72
Charles Grant,00-0040151,OL,43.2,C,56
Walter Nolen,00-0040706,DL,43.2,B,157
Jordan Elliott,00-0036266,DL,43.1,B,2792
Brady Christensen,00-0036968,OL,43.1,C,2104
Payton Page,00-0040404,DL,43.1,B,53
Jaylin Simpson,00-0039383,DB,43.1,B,59
Aaron Stinnie,00-0034668,OL,43.0,C,1341
Jordan Davis,00-0037073,DL,43.0,B,1912
Nic Scourton,00-0040746,LB,43.0,B,724
Wyatt Milum,00-0040146,OL,43.0,C,99
Jacob Monk,00-0039817,OL,43.0,C,55
Jamon Johnson,00-0040037,LB,43.0,B,64
Akayleb Evans,00-0038101,DB,42.9,B,1069
Cam Jurgens,00-0038112,OL,42.9,C,2758
Myles Murphy,00-0038546,DL,42.9,C,1265
Jake Browning,00-0035100,QB,42.9,C,648
Max Melton,00-0039807,DB,42.9,B,932
Mike Hall Jr.,00-0039895,DL,42.9,C,388
Teddye Buchanan,00-0040069,LB,42.9,C,624
Mykel Williams,00-0040660,DL,42.9,C,360
Gage Larvadain,00-0040259,WR,42.9,C,179
Erick Hallett,00-0038620,DB,42.9,B,139
Khalen Saunders,00-0035656,DL,42.8,C,2106
Josh Jones,00-0036363,OL,42.8,C,1969
Dondrea Tillman,00-0037799,LB,42.8,C,699
Abdul Carter,00-0040677,LB,42.8,C,783
Walter Rouse,00-0039828,OL,42.8,C,84
M.J. Stewart,00-0034355,DB,42.7,C,1867
Chase Lucas,00-0037321,DB,42.7,C,99
Micah Robinson,00-0040020,DB,42.7,C,60
Johnathan Baldwin,00-0040033,DB,42.7,C,63
Elijah Garcia,00-0037051,DL,42.6,C,264
Zion Logue,00-0039400,DL,42.6,C,91
Scott Miller,00-0035298,WR,42.5,C,1691
Esezi Otomewo,00-0037274,DL,42.5,C,347
Tycen Anderson,00-0037752,DB,42.5,C,65
LeQuint Allen Jr.,00-0040238,RB,42.5,C,244
Cam Jackson,00-0040174,DL,42.5,C,80
Damar Hamlin,00-0036888,DB,42.4,C,1884
Julian Hill,00-0038720,TE,42.4,B,1230
Payton Wilson,00-0039741,LB,42.4,C,1215
David Sills,00-0035359,WR,42.3,C,900
Trey Benson,00-0039921,RB,42.3,C,247
Tyler Davis,00-0039749,DL,42.3,C,873
Ty Robinson,00-0040662,DL,42.3,C,92
Dameon Pierce,00-0037258,RB,42.2,C,923
Branson Taylor,00-0040212,OL,42.2,C,66
Hunter Luepke,00-0038738,RB,42.1,C,643
Isaiah Adams,00-0039808,OL,42.1,C,1149
Alex Palczewski,00-0038796,OL,42.1,C,793
BJ Green II,00-0040329,DL,42.1,C,98
Drew Kendall,00-0040587,OL,42.1,C,82
Cooper Rush,00-0033662,QB,42.0,C,1138
Marco Wilson,00-0036884,DB,42.0,C,2407
Adin Huntington,00-0040255,DL,42.0,C,162
Gunner Olszewski,00-0035645,WR,41.9,C,573
Cameron Mitchell,00-0038585,DB,41.9,C,860
Lukas Van Ness,00-0039112,LB,41.9,C,1135
Greedy Vance,00-0040489,DB,41.9,C,87
Nick Mullens,00-0033319,QB,41.8,C,1423
Drew Lock,00-0035704,QB,41.8,C,1784
Roschon Johnson,00-0039021,RB,41.8,C,635
Jay Ward,00-0038578,DB,41.8,C,297
Nikko Remigio,00-0038519,WR,41.8,C,62
Jaylin Noel,00-0040138,WR,41.8,C,289
Sheldon Day,00-0033010,DL,41.7,C,2032
D'Ernest Johnson,00-0035628,RB,41.7,C,843
Jammie Robinson,00-0038587,DB,41.7,C,75
Mike Sainristil,00-0039898,DB,41.7,C,2064
Jer'Zhan Newton,00-0039906,DL,41.7,C,965
Robert Tonyan,00-0033757,TE,41.6,B,2213
Charles Snowden,00-0036711,LB,41.6,C,678
Eric Johnson,00-0037269,DL,41.6,C,653
Cameron Thomas,00-0037815,DL,41.6,C,913
Emmanuel Forbes,00-0039151,DB,41.6,C,1467
Jarrett Patterson,00-0038615,OL,41.6,C,1476
Olu Oluwatimi,00-0038593,OL,41.6,C,837
Markees Watts,00-0038958,LB,41.6,C,74
Nick McCloud,00-0036589,DB,41.5,C,1511
Tip Reiman,00-0039737,TE,41.5,C,516
Brevyn Spann-Ford,00-0039530,TE,41.5,C,552
Omarr Norman-Lott,00-0040748,DL,41.5,C,69
Elijah Simmons,00-0040384,DL,41.5,C,86
Zaire Barnes,00-0038399,LB,41.5,C,84
Stone Smartt,00-0037475,TE,41.4,C,618
Chris Brooks,00-0038685,RB,41.4,C,424
Josh Tupou,00-0033347,DL,41.3,C,1727
Lonnie Johnson,00-0035244,DB,41.3,C,2313
Christian Elliss,00-0036813,LB,41.3,C,1270
Wanya Morris,00-0038981,OL,41.3,C,1052
Ashton Gillotte,00-0040640,DL,41.3,C,455
Zavier Scott,00-0038440,RB,41.3,C,99
Bo Richter,00-0039718,LB,41.2,C,79
Jared Wilson,00-0040147,OL,41.2,C,982
Tyler Baron,00-0040196,DL,41.2,C,85
Kevin Knowles,00-0040089,DB,41.2,C,79
Mitchell Trubisky,00-0033869,QB,41.1,C,3838
Elijah Klein,00-0039411,OL,41.1,C,83
Cobee Bryant,00-0040546,DB,41.1,C,94
Olisaemeka Udoh,00-0034994,OL,41.0,C,1726
Jaden Hicks,00-0039825,DB,41.0,C,860
Brandon Codrington,00-0039333,DB,41.0,C,77
Ruke Orhorhoro,00-0039733,DL,41.0,C,704
Anthony Belton,00-0040726,OL,41.0,C,526
Kendell Brooks,00-0038703,DB,41.0,C,146
Dareke Young,00-0037093,WR,40.9,C,203
Christian Harris,00-0037823,LB,40.9,C,1772
Montaric Brown,00-0037313,DB,40.9,C,2049
Christian Izien,00-0038820,DB,40.9,C,1562
Thomas Incoom,00-0038791,LB,40.9,C,79
Jeremiah Pharms Jr.,00-0037711,DL,40.9,C,556
Brock Bowers,00-0039338,TE,40.9,C,1471
Spencer Anderson,00-0038645,OL,40.9,C,694
Beaux Collins,00-0040432,WR,40.9,C,76
Marques Sigle,00-0040185,DB,40.9,C,451
Jerry Jeudy,00-0036407,WR,40.8,C,4356
Ashtyn Davis,00-0036329,DB,40.8,C,2230
Brenden Schooler,00-0037205,DB,40.8,C,98
Andrew Vorhees,00-0038383,OL,40.8,C,1167
Colson Yankoff,00-0039686,TE,40.8,C,96
Myles Harden,00-0039417,DB,40.8,C,546
Dorian Strong,00-0040197,DB,40.8,C,85
Tyler Warren,00-0040128,TE,40.8,C,844
Kemon Hall,00-0035542,DB,40.7,C,85
Arron Mosby,00-0037364,DL,40.7,C,161
Tyler Badie,00-0037085,RB,40.7,C,235
Mason Tipton,00-0039623,WR,40.7,C,619
J.J. McCarthy,00-0039923,QB,40.7,C,492
Que Robinson,00-0040168,LB,40.7,C,153
Joshua Dobbs,00-0033949,QB,40.6,C,1085
Alex Bachman,00-0035602,WR,40.6,C,141
Luke Musgrave,00-0039144,TE,40.6,C,1087
Charlie Jones,00-0038576,WR,40.6,C,88
Barrett Carter,00-0040157,LB,40.6,C,746
Darius Alexander,00-0040694,DL,40.6,C,353
Steven Sims,00-0034928,WR,40.5,C,1027
Caleb Murphy,00-0038851,LB,40.5,C,158
Andru Phillips,00-0039821,DB,40.5,C,1270
Demetrius Knight Jr.,00-0040738,LB,40.5,C,758
Ben Yurosek,00-0040509,TE,40.5,C,105
Oluwafemi Oladejo,00-0040752,DL,40.5,C,218
JJ Pegues,00-0040199,DL,40.5,C,130
Isaiahh Loudermilk,00-0036843,DL,40.4,C,849
K.J. Britt,00-0036643,LB,40.4,C,1048
Malcolm Koonce,00-0036989,DL,40.4,C,1056
Jack Sanborn,00-0037109,LB,40.4,C,1130
DJ Giddens,00-0040179,RB,40.4,C,57
James Hudson,00-0036866,OL,40.3,C,1434
Renardo Green,00-0039345,DB,40.3,C,1539
Khristian Boyd,00-0039401,DL,40.2,C,134
Jonah Savaiinaea,00-0040742,OL,40.2,C,942
Reuben Lowery,00-0040106,DB,40.2,C,70
C.J. Ravenell,00-0039332,DL,40.2,C,91
Jahdae Walker,00-0040277,WR,40.2,C,81
Pharaoh Brown,00-0033439,TE,40.1,C,2010
Tyler Johnson,00-0036427,WR,40.1,C,1668
Francisco Mauigoa,00-0040186,LB,40.1,C,308
Tez Johnson,00-0040237,WR,40.1,C,471
Jawhar Jordan,00-0039405,RB,40.1,C,76
Isaiah Oliver,00-0034357,DB,40.0,C,3686
Matt Pryor,00-0034417,OL,40.0,C,2922
Trevis Gipson,00-0036305,LB,40.0,C,1483
Nic Jones,00-0038986,DB,40.0,C,82
Kayode Awosika,00-0036736,OL,39.9,C,943
Tre Avery,00-0037593,DB,39.9,C,652
Peter Skoronski,00-0039034,OL,39.9,C,2829
Chop Robinson,00-0039911,LB,39.9,C,927
Blake Fisher,00-0039857,OL,39.9,C,806
Omarion Hampton,00-0040666,RB,39.9,C,359
Jaydon Blue,00-0040586,RB,39.9,C,69
Tyrel Dodson,00-0035352,LB,39.8,C,2672
Kristian Welch,00-0036157,LB,39.8,C,95
Brycen Tremayne,00-0038840,WR,39.8,C,262
Jay Toia,00-0040019,DL,39.8,C,85
Tory Horton,00-0040648,WR,39.8,C,210
Bobby Brown III,00-0036903,DL,39.7,C,1344
Malik Davis,00-0037563,RB,39.7,C,218
Danny Stutsman,00-0040155,LB,39.6,C,190
Deven Thompkins,00-0037487,WR,39.5,C,389
Sanoussi Kane,00-0039235,DB,39.5,C,88
Ollie Gordon II,00-0040198,RB,39.5,C,211
Rayuan Lane III,00-0040213,DB,39.5,C,106
Jeff Okudah,00-0036274,DB,39.4,C,1942
Hassan Haskins,00-0037617,RB,39.4,C,365
Malachi Corley,00-0039920,WR,39.4,C,264
Kene Nwangwu,00-0036842,RB,39.3,C,91
Isaiah Land,00-0038737,LB,39.3,C,107
Charles Woods,00-0039770,DB,39.3,C,157
Tyrice Knight,00-0039815,LB,39.3,C,826
Malaki Starks,00-0040688,DB,39.3,C,1012
Will Campbell,00-0040699,OL,39.3,C,984
Chuma Edoga,00-0035698,OL,39.2,C,1428
Emanuel Wilson,00-0038797,RB,39.2,C,628
Truman Jones,00-0038514,DL,39.2,C,111
Micah McFadden,00-0037259,LB,39.1,C,1765
Mekhi Blackmon,00-0038565,DB,39.1,C,1152
Jaylen Harrell,00-0039436,DL,39.1,C,611
Nazir Stackhouse,00-0040041,DL,39.1,C,164
Trystan Colon,00-0035992,OL,39.0,C,1147
Tetairoa McMillan,00-0040124,WR,39.0,C,939
Ugo Amadi,00-0035142,DB,38.9,C,1960
Malik Harrison,00-0036280,LB,38.9,C,1613
Josh Wallace,00-0039772,DB,38.9,C,420
Blake Corum,00-0039738,RB,38.9,C,507
Jaylahn Tuimolaou,00-0040744,DL,38.9,C,201
Jeremy Reaves,00-0034465,DB,38.8,C,1422
Kalia Davis,00-0037832,DL,38.8,C,799
Eddie Goldman,00-0031551,DL,38.7,C,2688
Ar'Darius Washington,00-0036587,DB,38.7,C,966
Natrone Brooks,00-0038966,DB,38.7,C,113
Ben Bartch,00-0036272,OL,38.6,C,1626
James Mitchell,00-0037282,TE,38.6,C,384
Dylan Drummond,00-0038953,WR,38.6,C,112
Jalen Rivers,00-0040180,OL,38.6,C,443
Corey Thornton,00-0040296,DB,38.6,C,117
Calvin Throckmorton,00-0035764,OL,38.5,C,1909
John Ridgeway,00-0037283,DL,38.5,C,906
Keidron Smith,00-0038696,DB,38.5,C,81
Woody Marks,00-0040583,RB,38.5,C,631
DaVon Hamilton,00-0036262,DL,38.4,C,2727
Albert Okwuegbunam,00-0036423,TE,38.4,C,738
BJ Ojulari,00-0039155,LB,38.4,C,567
Travis Vokolek,00-0038456,TE,38.4,C,79
Moliki Matavao,00-0040244,TE,38.4,C,79
Josh Simmons,00-0040116,OL,38.4,C,495
Jahdae Barron,00-0040720,DB,38.4,C,329
Chandler Zavala,00-0038536,OL,38.3,C,741
Pat Bryant,00-0040134,WR,38.3,C,474
Tylan Wallace,00-0036630,WR,38.2,C,695
Ty Chandler,00-0037276,RB,38.2,C,487
Xavier Legette,00-0039342,WR,38.2,C,1295
Quinshon Judkins,00-0040784,RB,38.2,C,435
Warren Brinson,00-0040016,DL,38.2,C,280
Ta'Quon Graham,00-0036948,DL,38.1,C,1318
Zamir White,00-0038040,RB,38.1,C,459
Luke Schoonmaker,00-0038547,TE,38.1,C,1096
Dee Winters,00-0038625,LB,38.1,C,1419
Devin Culp,00-0039754,TE,38.1,C,79
Aireontae Ersery,00-0040745,OL,38.1,C,1147
Austin Ajiake,00-0039178,LB,38.1,C,150
Billy Bowman Jr.,00-0040156,DB,38.1,C,282
Basil Okoye,00-0039176,DL,38.0,C,197
Kendall Sheffield,00-0035255,DB,37.9,C,1329
Elijah Mitchell,00-0036567,RB,37.9,C,793
Max Mitchell,00-0038114,OL,37.9,C,1053
Jerrick Reed II,00-0038613,DB,37.9,C,98
Leonard Taylor III,00-0039289,DL,37.9,C,394
Bryce Oliver,00-0039650,WR,37.9,C,94
TreVeyon Henderson,00-0040734,RB,37.9,C,548
James Proche,00-0036133,WR,37.8,C,652
James Lynch,00-0036337,DL,37.8,C,1157
Daniel Hardy,00-0037843,DL,37.8,C,123
Joshua Farmer,00-0040171,DL,37.8,C,204
Denzel Burke,00-0040195,DB,37.8,C,629
Thayer Munford Jr.,00-0037322,OL,37.7,C,1178
Sam Williams,00-0037665,LB,37.7,C,1025
Troy Fautanu,00-0039871,OL,37.7,C,1081
James Williams,00-0039430,LB,37.7,C,183
Daniel Ekuale,00-0034251,DL,37.6,C,1639
Tomon Fox,00-0037447,LB,37.6,C,582
Jerome Ford,00-0037267,RB,37.6,C,1396
Jake Bobo,00-0038752,WR,37.6,C,729
Dylan Fairchild,00-0040140,OL,37.6,C,911
Nick Hampton,00-0039076,LB,37.5,C,198
Barryn Sorrell,00-0040010,DL,37.5,C,190
Eric Gregory,00-0040371,DL,37.5,C,134
Andy Dalton,00-0027973,QB,37.4,C,5519
T'Vondre Sweat,00-0039886,DL,37.4,C,1019
Tylan Grable,00-0039882,OL,37.4,C,139
Andrew Mukuba,00-0040749,DB,37.4,C,637
Marcus Harris,00-0040201,DB,37.4,C,324
Tom Kennedy,00-0035544,WR,37.3,C,421
Chris Williams,00-0035857,DL,37.3,C,686
Noah Sewell,00-0038390,LB,37.3,C,417
Brayden Willis,00-0038643,TE,37.3,C,77
Percy Butler,00-0038100,DB,37.2,C,1357
Luke Wattenberg,00-0037278,OL,37.2,C,1946
Asim Richards,00-0038601,OL,37.2,C,549
Dylan Horton,00-0039009,DL,37.2,C,639
Jalen Brooks,00-0038640,WR,37.2,C,513
Kelvin Banks Jr.,00-0040125,OL,37.2,C,1008
Tonka Hemingway,00-0040169,DL,37.2,C,177
Dante Pettis,00-0034860,WR,37.1,C,1660
Broderick Washington,00-0036081,DL,37.1,C,1875
Amen Ogbongbemiga,00-0036716,LB,37.1,C,224
Zaire Mitchell-Paden,00-0037340,TE,37.1,C,100
Jack Bech,00-0040729,WR,37.1,C,326
Donovan Jackson,00-0040661,OL,37.1,C,749
Grant Calcaterra,00-0037086,TE,37.0,C,1534
Cedric Tillman,00-0038979,WR,37.0,C,1492
Chazz Surratt,00-0037003,LB,37.0,C,134
Taliese Fuaga,00-0039339,OL,37.0,C,1781
Ja'Tavion Sanders,00-0039356,TE,37.0,C,873
Caedan Wallace,00-0039863,OL,37.0,C,121
Tatum Bethune,00-0039435,LB,37.0,C,520
Ameer Abdullah,00-0032104,RB,36.9,C,1776
Teddy Bridgewater,00-0031237,QB,36.9,C,2293
Larrell Murchison,00-0036237,DL,36.9,C,788
Ronnie Bell,00-0038647,WR,36.9,C,308
Tanner Hudson,00-0034613,TE,36.8,C,888
K'Von Wallace,00-0036395,DB,36.8,C,1522
Damone Clark,00-0037281,LB,36.8,C,1424
Segun Olubi,00-0037527,LB,36.8,C,142
KeAndre Lambert-Smith,00-0040184,WR,36.8,C,111
Trent Taylor,00-0033292,WR,36.7,C,1247
Dallas Turner,00-0039924,LB,36.7,C,962
Cody White,00-0035891,WR,36.6,C,287
Stone Forsythe,00-0036653,OL,36.6,C,1646
DeMarvin Leal,00-0037759,DL,36.6,C,425
Jonathan Mingo,00-0039062,WR,36.6,C,1383
Tyjae Spears,00-0039032,RB,36.6,C,1162
Kyle Williams,00-0040131,WR,36.6,C,371
Tavierre Thomas,00-0034488,DB,36.5,C,1634
Trenton Simpson,00-0038504,LB,36.5,C,1043
Christian Roland-Wallace,00-0039324,DB,36.5,C,361
Shedeur Sanders,00-0040668,QB,36.5,C,412
Benito Jones,00-0035841,DL,36.4,C,1620
Blake Brandel,00-0036347,OL,36.4,C,2152
Braxton Jones,00-0037081,OL,36.4,C,2551
Josh Hayes,00-0039051,DB,36.4,C,303
Chris Braswell,00-0039902,LB,36.4,C,579
Cam Grandy,00-0039631,TE,36.4,C,89
Kitan Crawford,00-0040230,DB,36.4,C,128
Craig Reynolds,00-0035567,RB,36.3,C,428
Jeremy Ruckert,00-0037805,TE,36.3,C,1190
Marshawn Kneeland,00-0039900,DL,36.3,C,393
Kevin Winston Jr.,00-0040141,DB,36.3,C,295
Demetrius Flannigan-Fowles,00-0035020,LB,36.2,C,812
Trayveon Williams,00-0035291,RB,36.2,C,336
