date,away_nick,home_nick,p_away,p_home,captured
2020-08-16,Brewers,Cubs,0.451,0.5489999999999999,live
2020-08-16,Athletics,Giants,0.58,0.42,live
2020-08-16,Mariners,Astros,0.354,0.6459999999999999,live
2020-08-16,Rangers,Rockies,0.447,0.5529999999999999,live
2020-08-16,Padres,Diamondbacks,0.49,0.51,live
2020-08-18,Phillies,Red Sox,0.58,0.42,live
2020-08-18,Rockies,Astros,0.335,0.665,live
2020-08-18,Padres,Rangers,0.532,0.46799999999999997,live
2020-08-18,Rockies,Astros,0.397,0.603,live
2020-08-18,Mariners,Dodgers,0.276,0.7240000000000001,live
2020-08-18,Nationals,Braves,0.462,0.5379999999999999,live
2020-08-18,Athletics,Diamondbacks,0.575,0.425,live
2020-08-18,Mariners,Dodgers,0.242,0.758,live
2020-08-18,Padres,Rangers,0.586,0.414,live
2020-08-18,Athletics,Diamondbacks,0.489,0.511,live
2020-08-18,Giants,Angels,0.368,0.632,live
2020-08-18,Giants,Angels,0.419,0.581,live
2020-08-20,Dodgers,Mariners,0.742,0.258,live
2020-08-20,Astros,Rockies,0.556,0.444,live
2020-08-20,Rangers,Padres,0.42,0.58,live
2020-08-20,Diamondbacks,Athletics,0.47100000000000003,0.529,live
2020-08-20,Dodgers,Mariners,0.75,0.25,live
2020-08-20,Angels,Giants,0.521,0.479,live
2020-08-20,Astros,Rockies,0.516,0.484,live
2020-08-21,Diamondbacks,Athletics,0.47200000000000003,0.528,live
2020-08-21,Angels,Giants,0.488,0.512,live
2020-08-21,Rangers,Padres,0.298,0.7020000000000001,live
2020-08-22,Angels,Athletics,0.348,0.652,live
2020-08-22,Rangers,Mariners,0.523,0.47700000000000004,live
2020-08-22,Astros,Padres,0.49200000000000005,0.508,live
2020-08-22,Diamondbacks,Giants,0.535,0.465,live
2020-08-22,Angels,Athletics,0.423,0.5770000000000001,live
2020-08-22,Rockies,Dodgers,0.327,0.6729999999999999,live
2020-08-23,Diamondbacks,Giants,0.534,0.466,live
2020-08-23,Diamondbacks,Giants,0.593,0.40700000000000003,live
2020-08-23,Rangers,Mariners,0.542,0.45799999999999996,live
2020-08-23,Angels,Athletics,0.371,0.629,live
2020-08-23,Astros,Padres,0.526,0.474,live
2020-08-23,Rockies,Dodgers,0.281,0.7190000000000001,live
2020-08-23,Astros,Padres,0.496,0.504,live
2020-08-23,Rangers,Mariners,0.45899999999999996,0.541,live
2020-08-23,Rockies,Dodgers,0.292,0.708,live
2020-08-25,Athletics,Rangers,0.546,0.45399999999999996,live
2020-08-25,Orioles,Rays,0.375,0.625,live
2020-08-26,Athletics,Rangers,0.611,0.389,live
2020-08-26,Mariners,Padres,0.34700000000000003,0.653,live
2020-08-26,Dodgers,Giants,0.685,0.315,live
2020-08-26,Orioles,Rays,0.35600000000000004,0.644,live
2020-08-27,Dodgers,Giants,0.6679999999999999,0.332,live
2020-08-27,Mariners,Padres,0.321,0.679,live
2020-08-27,Athletics,Rangers,0.5770000000000001,0.423,live
2020-08-27,Mariners,Padres,0.32899999999999996,0.6709999999999999,live
2020-08-27,Dodgers,Giants,0.691,0.309,live
2020-08-29,Athletics,Astros,0.505,0.495,live
2020-08-29,Padres,Rockies,0.535,0.465,live
2020-08-29,Athletics,Astros,0.532,0.46799999999999997,live
2020-08-29,Dodgers,Rangers,0.6779999999999999,0.322,live
2020-08-29,Giants,Diamondbacks,0.37799999999999995,0.622,live
2020-08-29,Dodgers,Rangers,0.59,0.41,live
2020-08-30,Giants,Diamondbacks,0.45899999999999996,0.541,live
2020-08-30,Dodgers,Rangers,0.71,0.29,live
2020-08-30,Mariners,Angels,0.373,0.627,live
2020-08-30,Padres,Rockies,0.5329999999999999,0.467,live
2020-08-30,Giants,Diamondbacks,0.428,0.5720000000000001,live
2020-08-30,Padres,Rockies,0.519,0.48100000000000004,live
2020-08-31,Mariners,Angels,0.439,0.561,live
2020-08-31,Orioles,Blue Jays,0.377,0.623,live
2020-09-01,Padres,Rockies,0.493,0.507,live
2020-09-01,Mets,Orioles,0.58,0.42,live
2020-09-01,Rays,Yankees,0.467,0.5329999999999999,live
2020-09-02,Mets,Orioles,0.515,0.485,live
2020-09-02,Tigers,Brewers,0.419,0.581,live
2020-09-02,Rangers,Astros,0.35200000000000004,0.648,live
2020-09-02,Rays,Yankees,0.49,0.51,live
2020-09-02,Giants,Rockies,0.47600000000000003,0.524,live
2020-09-02,Giants,Rockies,0.488,0.512,live
2020-09-03,Rangers,Astros,0.402,0.598,live
2020-09-03,Yankees,Mets,0.49200000000000005,0.508,live
2020-09-03,White Sox,Twins,0.478,0.522,live
2020-09-03,Rangers,Astros,0.35700000000000004,0.643,live
2020-09-04,Tigers,Twins,0.375,0.625,live
2020-09-04,Yankees,Orioles,0.5760000000000001,0.424,live
2020-09-04,Twins,Tigers,0.579,0.42100000000000004,live
2020-09-05,Diamondbacks,Giants,0.47200000000000003,0.528,live
2020-09-05,Rangers,Mariners,0.512,0.488,live
2020-09-05,Astros,Angels,0.518,0.48200000000000004,live
2020-09-05,Yankees,Orioles,0.7040000000000001,0.29600000000000004,live
2020-09-05,Blue Jays,Red Sox,0.52,0.48,live
2020-09-05,Yankees,Orioles,0.655,0.345,live
2020-09-05,Rockies,Dodgers,0.297,0.703,live
2020-09-05,Padres,Athletics,0.49700000000000005,0.503,live
2020-09-05,Tigers,Twins,0.33,0.67,live
2020-09-05,Padres,Athletics,0.474,0.526,live
2020-09-06,Rockies,Dodgers,0.293,0.7070000000000001,live
2020-09-06,Diamondbacks,Giants,0.47100000000000003,0.529,live
2020-09-06,Diamondbacks,Giants,0.45799999999999996,0.542,live
2020-09-06,Cubs,Cardinals,0.516,0.484,live
2020-09-06,Padres,Athletics,0.48700000000000004,0.513,live
2020-09-06,Angels,Astros,0.426,0.574,live
2020-09-06,Rangers,Mariners,0.41100000000000003,0.589,live
2020-09-06,Yankees,Orioles,0.598,0.402,live
2020-09-06,Tigers,Twins,0.33899999999999997,0.6609999999999999,live
2020-09-07,Tigers,Twins,0.34,0.66,live
2020-09-07,Rangers,Mariners,0.423,0.5770000000000001,live
2020-09-07,Phillies,Mets,0.484,0.516,live
2020-09-07,Rockies,Dodgers,0.297,0.703,live
2020-09-07,Cardinals,Cubs,0.428,0.5720000000000001,live
2020-09-07,Yankees,Blue Jays,0.531,0.469,live
2020-09-08,Athletics,Astros,0.493,0.507,live
2020-09-08,Yankees,Blue Jays,0.508,0.49200000000000005,live
2020-09-08,Astros,Athletics,0.414,0.586,live
2020-09-08,Rockies,Padres,0.37799999999999995,0.622,live
2020-09-08,Orioles,Mets,0.46,0.54,live
2020-09-08,Diamondbacks,Giants,0.531,0.469,live
2020-09-09,Yankees,Blue Jays,0.488,0.512,live
2020-09-09,Mariners,Giants,0.42200000000000004,0.578,live
2020-09-09,Astros,Athletics,0.40299999999999997,0.597,live
2020-09-09,Rockies,Padres,0.353,0.647,live
2020-09-09,Orioles,Mets,0.385,0.615,live
2020-09-10,Mariners,Giants,0.41100000000000003,0.589,live
2020-09-10,Angels,Rangers,0.539,0.461,live
2020-09-10,Rockies,Padres,0.344,0.6559999999999999,live
2020-09-10,Angels,Rangers,0.593,0.40700000000000003,live
2020-09-10,Astros,Athletics,0.46399999999999997,0.536,live
2020-09-10,Astros,Athletics,0.414,0.586,live
2020-09-11,Giants,Padres,0.39899999999999997,0.601,live
2020-09-11,Orioles,Yankees,0.349,0.6509999999999999,live
2020-09-11,Orioles,Yankees,0.303,0.6970000000000001,live
2020-09-12,Angels,Rockies,0.44799999999999995,0.552,live
2020-09-12,Orioles,Yankees,0.364,0.636,live
2020-09-12,Athletics,Rangers,0.605,0.395,live
2020-09-12,Athletics,Rangers,0.624,0.376,live
2020-09-12,Mariners,Diamondbacks,0.418,0.5820000000000001,live
2020-09-12,Athletics,Rangers,0.635,0.365,live
2020-09-13,Mariners,Diamondbacks,0.44,0.56,live
2020-09-13,Angels,Rockies,0.466,0.534,live
2020-09-13,Orioles,Yankees,0.377,0.623,live
2020-09-13,Athletics,Rangers,0.5429999999999999,0.457,live
2020-09-13,Giants,Padres,0.397,0.603,live
2020-09-13,Mets,Blue Jays,0.465,0.535,live
2020-09-13,Giants,Padres,0.40299999999999997,0.597,live
2020-09-13,Angels,Rockies,0.534,0.466,live
2020-09-13,Reds,Cardinals,0.483,0.517,live
2020-09-14,Athletics,Mariners,0.5720000000000001,0.428,live
2020-09-15,Athletics,Mariners,0.633,0.36700000000000005,live
2020-09-15,Dodgers,Padres,0.569,0.431,live
2020-09-16,Minnesota,Chi. White Sox,0.483,0.517,20200918225451
2020-09-16,Oakland,Colorado,0.5760000000000001,0.424,20200918231226
2020-09-16,LA Dodgers,San Diego,0.5720000000000001,0.428,20200918232159
2020-09-16,Arizona,LA Angels,0.447,0.5529999999999999,20200918232424
2020-09-16,Cleveland,Chicago Cubs,0.425,0.575,20200919003354
2020-09-16,Washington,Tampa Bay,0.361,0.639,20200920063103
2020-09-16,Oakland,Colorado,0.522,0.478,20200920071308
2020-09-16,Toronto,NY Yankees,0.3,0.7,20200922063836
2020-09-16,Atlanta,Baltimore,0.609,0.391,20200922071142
2020-09-16,Kansas City,Detroit,0.53,0.47,20200922072535
2020-09-16,LA Dodgers,San Diego,0.544,0.456,20200922073847
2020-09-16,Boston,Miami,0.485,0.515,20200922081151
2020-09-16,Pittsburgh,Cincinnati,0.35100000000000003,0.649,20200922083455
2020-09-16,St. Louis,Milwaukee,0.42,0.58,20200922083903
2020-09-16,NY Mets,Philadelphia,0.54,0.46,20200922085706
2020-09-16,Rangers,Astros,0.35600000000000004,0.644,live
2020-09-16,Cardinals,Brewers,0.43700000000000006,0.563,live
2020-09-17,Minnesota,Chi. White Sox,0.446,0.5539999999999999,20200922070707
2020-09-17,San Francisco,Seattle,0.528,0.47200000000000003,20200922072857
2020-09-17,Cleveland,Chicago Cubs,0.522,0.478,20200922074342
2020-09-17,Texas,Houston,0.349,0.6509999999999999,20200922081523
2020-09-17,Orioles,Rays,0.38299999999999995,0.617,live
2020-09-17,Diamondbacks,Angels,0.425,0.575,live
2020-09-17,Rangers,Astros,0.326,0.674,live
2020-09-17,Giants,Mariners,0.544,0.456,live
2020-09-17,Rays,Orioles,0.598,0.402,live
2020-09-18,Rays,Orioles,0.605,0.395,live
2020-09-18,Dodgers,Rockies,0.644,0.35600000000000004,live
2020-09-19,Atlanta,NY Mets,0.539,0.461,20201024194738
2020-09-19,NY Yankees,Boston,0.617,0.38299999999999995,20201024195651
2020-09-19,Royals,Brewers,0.382,0.618,live
2020-09-19,White Sox,Reds,0.511,0.489,live
2020-09-19,Cardinals,Pirates,0.597,0.40299999999999997,live
2020-09-19,Rays,Orioles,0.6409999999999999,0.359,live
2020-09-19,Dodgers,Rockies,0.637,0.363,live
2020-09-19,Nationals,Marlins,0.5379999999999999,0.462,live
2020-09-19,Blue Jays,Phillies,0.515,0.485,live
2020-09-19,Giants,Athletics,0.40399999999999997,0.596,live
2020-09-19,Guardians,Tigers,0.581,0.419,live
2020-09-19,Padres,Mariners,0.6629999999999999,0.337,live
2020-09-19,Giants,Athletics,0.364,0.636,live
2020-09-19,Diamondbacks,Astros,0.392,0.608,live
2020-09-20,Arizona,Houston,0.39899999999999997,0.601,20201024195959
2020-09-20,Dodgers,Rockies,0.701,0.299,live
2020-09-20,Padres,Mariners,0.613,0.387,live
2020-09-20,Twins,Cubs,0.503,0.49700000000000005,live
2020-09-20,Cardinals,Pirates,0.619,0.381,live
2020-09-20,Guardians,Tigers,0.56,0.44,live
2020-09-20,Royals,Brewers,0.475,0.525,live
2020-09-20,White Sox,Reds,0.501,0.499,live
2020-09-20,Nationals,Marlins,0.523,0.47700000000000004,live
2020-09-20,Yankees,Red Sox,0.591,0.409,live
2020-09-20,Blue Jays,Phillies,0.47,0.53,live
2020-09-20,Braves,Mets,0.513,0.48700000000000004,live
2020-09-20,Rays,Orioles,0.575,0.425,live
2020-09-20,Rangers,Angels,0.449,0.551,live
2020-09-20,Nationals,Marlins,0.47100000000000003,0.529,live
2020-09-20,Dodgers,Rockies,0.7020000000000001,0.298,live
2020-09-20,Twins,Cubs,0.44299999999999995,0.557,live
2020-09-20,Padres,Mariners,0.622,0.37799999999999995,live
2020-09-20,Giants,Athletics,0.353,0.647,live
2020-09-20,Rangers,Angels,0.392,0.608,live
2020-09-22,Rockies,Giants,0.51,0.49,live
2020-09-22,Astros,Mariners,0.557,0.44299999999999995,live
2020-09-23,Astros,Mariners,0.573,0.42700000000000005,live
2020-09-23,Rockies,Giants,0.465,0.535,live
2020-09-23,Athletics,Dodgers,0.39399999999999996,0.606,live
2020-09-23,Astros,Mariners,0.625,0.375,live
2020-09-24,Rockies,Giants,0.441,0.5589999999999999,live
2020-09-24,Athletics,Dodgers,0.368,0.632,live
2020-09-24,Rockies,Giants,0.384,0.616,live
