player,gsis_id,pos,z,conservative_z,n_duels
Sterling Shepard,00-0032385,WR,-0.818,-1.303,135
Julian Hill,00-0038720,TE,-0.627,-1.308,38
Tyler Conklin,00-0034270,TE,-0.748,-1.311,125
Cade Stover,00-0039359,TE,-0.643,-1.314,44
Wan'Dale Robinson,00-0038117,WR,-0.898,-1.325,217
Garrett Wilson,00-0037740,WR,-0.895,-1.328,207
Taysom Hill,00-0033357,TE,-0.832,-1.328,205
Jaylin Lane,00-0040164,WR,-0.732,-1.339,31
Skyy Moore,00-0038090,WR,-0.756,-1.341,45
Noah Fant,00-0035644,TE,-0.792,-1.346,134
Emeka Egbuka,00-0040129,WR,-0.844,-1.346,115
Chimere Dike,00-0040705,WR,-0.804,-1.346,78
Philip Rivers,00-0022942,QB,-0.142,-1.349,150
Evan Engram,00-0033881,TE,-0.859,-1.36,198
Trent Sherfield,00-0034487,WR,-0.784,-1.364,48
Travis Etienne,00-0036973,RB,-0.156,-1.371,356
Rashid Shaheed,00-0037545,WR,-0.91,-1.373,162
Kenny Gainwell,00-0036919,RB,-0.042,-1.373,271
Ray-Ray McCloud,00-0034407,WR,-0.86,-1.374,104
Kylen Granson,00-0036876,TE,-0.738,-1.375,65
Geno Smith,00-0030565,QB,-0.511,-1.375,436
Troy Franklin,00-0039868,WR,-0.89,-1.379,131
Luke Farrell,00-0036887,TE,-0.702,-1.384,38
Jerry Jeudy,00-0036407,WR,-0.959,-1.384,220
Chris Rodriguez Jr.,00-0038611,RB,0.21,-1.392,141
Pharaoh Brown,00-0033439,TE,-0.708,-1.398,33
Blake Corum,00-0039738,RB,0.084,-1.403,187
Harrison Bryant,00-0036232,TE,-0.754,-1.404,57
J.K. Dobbins,00-0036158,RB,-0.067,-1.408,265
Malik Washington,00-0039880,WR,-0.89,-1.409,99
Harold Fannin Jr.,00-0040663,TE,-0.822,-1.41,102
Michael Mayer,00-0039066,TE,-0.799,-1.411,83
Treylon Burks,00-0037742,WR,-0.849,-1.413,61
Dante Pettis,00-0034860,WR,-0.838,-1.413,52
Cedric Tillman,00-0038979,WR,-0.894,-1.425,87
Ian Thomas,00-0034365,TE,-0.76,-1.427,46
David Njoku,00-0033885,TE,-0.908,-1.428,173
Xavier Legette,00-0039342,WR,-0.931,-1.433,115
Robbie Chosen,00-0032688,WR,-0.898,-1.443,76
Elic Ayomanor,00-0040170,WR,-0.905,-1.443,81
Josh Johnson,00-0026300,QB,-0.11,-1.446,95
Tyler Allgeier,00-0037263,RB,-0.121,-1.455,270
John Metchie III,00-0037614,WR,-0.927,-1.455,90
Zach Charbonnet,00-0039165,RB,-0.128,-1.457,273
Josh Jacobs,00-0035700,RB,-0.265,-1.46,373
Xavier Hutchinson,00-0038618,WR,-0.949,-1.466,101
Jalin Hyatt,00-0038938,WR,-0.882,-1.469,44
Rico Dowdle,00-0036139,RB,-0.214,-1.471,323
Saquon Barkley,00-0034844,RB,-0.308,-1.477,397
Parris Campbell,00-0035639,WR,-0.907,-1.48,54
Breece Hall,00-0038120,RB,-0.264,-1.488,348
Aaron Jones,00-0033293,RB,-0.248,-1.499,328
Cam Ward,00-0040676,QB,-0.572,-1.501,356
Mason Tipton,00-0039623,WR,-0.917,-1.515,37
Gardner Minshew,00-0035289,QB,-0.521,-1.532,277
Rhamondre Stevenson,00-0036875,RB,-0.292,-1.538,331
Jahan Dotson,00-0037741,WR,-1.032,-1.542,107
Teddy Bridgewater,00-0031237,QB,-0.294,-1.553,125
Davis Mills,00-0036898,QB,-0.526,-1.554,264
Najee Harris,00-0036893,RB,-0.216,-1.554,267
Tanner McKee,00-0038400,QB,-0.191,-1.581,76
Drew Lock,00-0035704,QB,-0.453,-1.59,188
Joshua Dobbs,00-0033949,QB,-0.48,-1.606,194
Bucky Irving,00-0039361,RB,-0.271,-1.606,269
Adonai Mitchell,00-0039890,WR,-1.098,-1.611,103
Jordan Mason,00-0037525,RB,-0.219,-1.612,235
Joe Milton III,00-0039398,QB,-0.141,-1.616,51
Devin Singletary,00-0035250,RB,-0.312,-1.625,283
Emanuel Wilson,00-0038797,RB,-0.148,-1.627,191
Javonte Williams,00-0036997,RB,-0.402,-1.631,344
Chuba Hubbard,00-0036555,RB,-0.389,-1.648,321
Brian Robinson,00-0037746,RB,-0.318,-1.651,270
J.J. McCarthy,00-0039923,QB,-0.586,-1.664,226
Jonathan Mingo,00-0039062,WR,-1.117,-1.67,68
Tyjae Spears,00-0039032,RB,-0.233,-1.673,210
Andy Dalton,00-0027973,QB,-0.608,-1.675,234
TreVeyon Henderson,00-0040734,RB,-0.226,-1.683,201
Elijah Moore,00-0036980,WR,-1.22,-1.694,148
Isaiah Davis,00-0039798,RB,0.064,-1.695,91
Jake Browning,00-0035100,QB,-0.591,-1.701,205
Jeremy McNichols,00-0033955,RB,-0.087,-1.716,131
Sean Tucker,00-0038951,RB,-0.099,-1.739,127
Spencer Rattler,00-0039376,QB,-0.764,-1.742,307
Tony Pollard,00-0035261,RB,-0.548,-1.755,362
Kenny Pickett,00-0038102,QB,-0.681,-1.756,228
Tank Bigsby,00-0038555,RB,-0.236,-1.756,173
Austin Ekeler,00-0033699,RB,-0.363,-1.761,232
Ameer Abdullah,00-0032104,RB,-0.171,-1.767,143
Tyrone Tracy Jr.,00-0039384,RB,-0.441,-1.779,267
RJ Harvey,00-0040730,RB,-0.31,-1.795,188
Audric Estimé,00-0039373,RB,-0.076,-1.797,102
Kyle Monangai,00-0040236,RB,-0.302,-1.798,183
Omarion Hampton,00-0040666,RB,-0.191,-1.805,137
Jacory Croskey-Merritt,00-0040242,RB,-0.249,-1.808,157
Tyson Bagent,00-0038416,QB,-0.428,-1.818,76
Michael Carter,00-0036924,RB,-0.386,-1.825,210
Keaton Mitchell,00-0038454,RB,-0.094,-1.828,98
Nick Chubb,00-0034791,RB,-0.488,-1.831,264
Isaac Guerendo,00-0039363,RB,0.026,-1.845,63
Hunter Luepke,00-0038738,RB,0.076,-1.846,52
Raheem Mostert,00-0031687,RB,-0.418,-1.862,208
Riley Leonard,00-0040206,QB,-0.48,-1.892,69
Quinn Ewers,00-0040234,QB,-0.565,-1.919,89
Antonio Gibson,00-0036328,RB,-0.476,-1.92,208
Jarrett Stidham,00-0035264,QB,-0.606,-1.925,101
AJ Dillon,00-0036265,RB,-0.371,-1.934,156
Jaleel McLaughlin,00-0038794,RB,-0.428,-1.975,162
Isiah Pacheco,00-0037197,RB,-0.661,-1.993,271
Clyde Edwards-Helaire,00-0036360,RB,-0.348,-1.997,124
Jerome Ford,00-0037267,RB,-0.552,-2.004,204
Bhayshul Tuten,00-0040719,RB,-0.255,-2.011,92
Roschon Johnson,00-0039021,RB,-0.286,-2.03,95
Cam Skattebo,00-0040715,RB,-0.376,-2.047,117
Cooper Rush,00-0033662,QB,-0.986,-2.05,237
Nyheim Hines,00-0034367,RB,-0.262,-2.099,71
Dillon Gabriel,00-0040704,QB,-0.943,-2.102,176
Chase Edmonds,00-0034681,RB,-0.388,-2.105,103
Kimani Vidal,00-0039391,RB,-0.61,-2.109,182
Woody Marks,00-0040583,RB,-0.668,-2.113,208
Kendre Miller,00-0038551,RB,-0.393,-2.13,97
Cam Akers,00-0036414,RB,-0.602,-2.137,167
Emari Demercado,00-0038705,RB,-0.5,-2.17,117
Khalil Herbert,00-0036906,RB,-0.598,-2.18,148
Kyle Allen,00-0034577,QB,-0.784,-2.181,74
Kyle Juszczyk,00-0029892,FB,0.323,-2.195,100
Alvin Kamara,00-0033906,RB,-0.967,-2.218,327
Chris Brooks,00-0038685,RB,-0.437,-2.228,83
Zach Wilson,00-0037013,QB,-1.119,-2.239,199
Ty Chandler,00-0037276,RB,-0.557,-2.259,108
Shedeur Sanders,00-0040668,QB,-1.148,-2.266,199
Malik Davis,00-0037563,RB,-0.416,-2.271,67
Jaret Patterson,00-0036755,RB,-0.414,-2.282,64
Raheim Sanders,00-0040466,RB,-0.283,-2.32,30
