season,week,asof_date,team_id,team_abbr,team_name,rank,previous,points
2024,1,2023-10-16,2305,ku,Kansas Jayhawks,1,0,1548.0
2024,1,2023-10-16,150,duke,Duke Blue Devils,2,0,1466.0
2024,1,2023-10-16,2509,pur,Purdue Boilermakers,3,0,1436.0
2024,1,2023-10-16,127,msu,Michigan State Spartans,4,0,1346.0
2024,1,2023-10-16,269,marq,Marquette Golden Eagles,5,0,1283.0
2024,1,2023-10-16,41,conn,UConn Huskies,6,0,1243.0
2024,1,2023-10-16,248,hou,Houston Cougars,7,0,1117.0
2024,1,2023-10-16,156,crei,Creighton Bluejays,8,0,1099.0
2024,1,2023-10-16,2633,tenn,Tennessee Volunteers,9,0,1032.0
2024,1,2023-10-16,2226,fau,Florida Atlantic Owls,10,0,1011.0
2024,1,2023-10-16,2250,gonz,Gonzaga Bulldogs,11,0,830.0
2024,1,2023-10-16,12,ariz,Arizona Wildcats,12,0,776.0
2024,1,2023-10-16,2390,mia,Miami Hurricanes,13,0,750.0
2024,1,2023-10-16,8,ark,Arkansas Razorbacks,14,0,685.0
2024,1,2023-10-16,245,ta&m,Texas A&M Aggies,15,0,597.0
2024,1,2023-10-16,96,uk,Kentucky Wildcats,16,0,530.0
2024,1,2023-10-16,21,sdsu,San Diego State Aztecs,17,0,529.0
2024,1,2023-10-16,251,tex,Texas Longhorns,18,0,493.0
2024,1,2023-10-16,153,unc,North Carolina Tar Heels,19,0,474.0
2024,1,2023-10-16,239,bay,Baylor Bears,20,0,431.0
2024,1,2023-10-16,30,usc,USC Trojans,21,0,427.0
2024,1,2023-10-16,222,vill,Villanova Wildcats,22,0,395.0
2024,1,2023-10-16,2608,smc,Saint Mary's Gaels,23,0,335.0
2024,1,2023-10-16,333,ala,Alabama Crimson Tide,24,0,163.0
2024,1,2023-10-16,356,ill,Illinois Fighting Illini,25,0,104.0
2024,2,2023-11-13,2305,ku,Kansas Jayhawks,1,1,1530.0
2024,2,2023-11-13,2509,pur,Purdue Boilermakers,2,3,1464.0
2024,2,2023-11-13,12,ariz,Arizona Wildcats,3,12,1356.0
2024,2,2023-11-13,269,marq,Marquette Golden Eagles,4,5,1311.0
2024,2,2023-11-13,41,conn,UConn Huskies,5,6,1301.0
2024,2,2023-11-13,248,hou,Houston Cougars,6,7,1180.0
2024,2,2023-11-13,2633,tenn,Tennessee Volunteers,7,9,1146.0
2024,2,2023-11-13,156,crei,Creighton Bluejays,8,8,1130.0
2024,2,2023-11-13,150,duke,Duke Blue Devils,9,2,1088.0
2024,2,2023-11-13,2226,fau,Florida Atlantic Owls,10,10,1004.0
2024,2,2023-11-13,2250,gonz,Gonzaga Bulldogs,11,11,825.0
2024,2,2023-11-13,2390,mia,Miami Hurricanes,12,13,778.0
2024,2,2023-11-13,245,ta&m,Texas A&M Aggies,13,15,728.0
2024,2,2023-11-13,8,ark,Arkansas Razorbacks,14,14,719.0
2024,2,2023-11-13,239,bay,Baylor Bears,15,20,578.0
2024,2,2023-11-13,30,usc,USC Trojans,16,21,573.0
2024,2,2023-11-13,96,uk,Kentucky Wildcats,17,16,549.0
2024,2,2023-11-13,127,msu,Michigan State Spartans,18,4,516.0
2024,2,2023-11-13,251,tex,Texas Longhorns,19,18,513.0
2024,2,2023-11-13,153,unc,North Carolina Tar Heels,20,19,501.0
2024,2,2023-11-13,222,vill,Villanova Wildcats,21,22,406.0
2024,2,2023-11-13,333,ala,Alabama Crimson Tide,22,24,264.0
2024,2,2023-11-13,356,ill,Illinois Fighting Illini,23,25,170.0
2024,2,2023-11-13,256,jmu,James Madison Dukes,24,0,91.0
2024,2,2023-11-13,38,colo,Colorado Buffaloes,25,0,78.0
2024,3,2023-11-20,2305,ku,Kansas Jayhawks,1,1,1508.0
2024,3,2023-11-20,2509,pur,Purdue Boilermakers,2,2,1440.0
2024,3,2023-11-20,12,ariz,Arizona Wildcats,3,3,1364.0
2024,3,2023-11-20,269,marq,Marquette Golden Eagles,4,4,1316.0
2024,3,2023-11-20,41,conn,UConn Huskies,5,5,1299.0
2024,3,2023-11-20,248,hou,Houston Cougars,6,6,1191.0
2024,3,2023-11-20,2633,tenn,Tennessee Volunteers,7,7,1136.0
2024,3,2023-11-20,156,crei,Creighton Bluejays,8,8,1119.0
2024,3,2023-11-20,150,duke,Duke Blue Devils,9,9,1084.0
2024,3,2023-11-20,2390,mia,Miami Hurricanes,10,12,920.0
2024,3,2023-11-20,2250,gonz,Gonzaga Bulldogs,11,11,902.0
2024,3,2023-11-20,245,ta&m,Texas A&M Aggies,12,13,867.0
2024,3,2023-11-20,239,bay,Baylor Bears,13,15,774.0
2024,3,2023-11-20,153,unc,North Carolina Tar Heels,14,20,655.0
2024,3,2023-11-20,251,tex,Texas Longhorns,15,19,650.0
2024,3,2023-11-20,96,uk,Kentucky Wildcats,16,17,617.0
2024,3,2023-11-20,333,ala,Alabama Crimson Tide,17,22,516.0
2024,3,2023-11-20,38,colo,Colorado Buffaloes,18,25,241.0
2024,3,2023-11-20,2226,fau,Florida Atlantic Owls,19,10,229.0
2024,3,2023-11-20,8,ark,Arkansas Razorbacks,20,14,224.0
2024,3,2023-11-20,127,msu,Michigan State Spartans,21,18,222.0
2024,3,2023-11-20,256,jmu,James Madison Dukes,22,24,217.0
2024,3,2023-11-20,30,usc,USC Trojans,23,16,165.0
2024,3,2023-11-20,258,uva,Virginia Cavaliers,24,0,164.0
2024,3,2023-11-20,344,msst,Mississippi State Bulldogs,25,0,163.0
2024,4,2023-11-27,2509,pur,Purdue Boilermakers,1,2,1572.0
2024,4,2023-11-27,12,ariz,Arizona Wildcats,2,3,1467.0
2024,4,2023-11-27,269,marq,Marquette Golden Eagles,3,4,1418.0
2024,4,2023-11-27,41,conn,UConn Huskies,4,5,1411.0
2024,4,2023-11-27,2305,ku,Kansas Jayhawks,5,1,1312.0
2024,4,2023-11-27,248,hou,Houston Cougars,6,6,1289.0
2024,4,2023-11-27,150,duke,Duke Blue Devils,7,9,1194.0
2024,4,2023-11-27,2390,mia,Miami Hurricanes,8,10,1031.0
2024,4,2023-11-27,239,bay,Baylor Bears,9,13,1030.0
2024,4,2023-11-27,2633,tenn,Tennessee Volunteers,10,7,967.0
2024,4,2023-11-27,2250,gonz,Gonzaga Bulldogs,11,11,964.0
2024,4,2023-11-27,96,uk,Kentucky Wildcats,12,16,727.0
2024,4,2023-11-27,2226,fau,Florida Atlantic Owls,13,19,664.0
2024,4,2023-11-27,245,ta&m,Texas A&M Aggies,14,12,646.0
2024,4,2023-11-27,156,crei,Creighton Bluejays,15,8,613.0
2024,4,2023-11-27,251,tex,Texas Longhorns,16,15,571.0
2024,4,2023-11-27,153,unc,North Carolina Tar Heels,17,14,567.0
2024,4,2023-11-27,222,vill,Villanova Wildcats,18,0,534.0
2024,4,2023-11-27,252,byu,BYU Cougars,19,0,416.0
2024,4,2023-11-27,36,csu,Colorado State Rams,20,0,330.0
2024,4,2023-11-27,344,msst,Mississippi State Bulldogs,21,25,309.0
2024,4,2023-11-27,256,jmu,James Madison Dukes,22,22,303.0
2024,4,2023-11-27,333,ala,Alabama Crimson Tide,23,17,259.0
2024,4,2023-11-27,356,ill,Illinois Fighting Illini,24,0,134.0
2024,4,2023-11-27,201,ou,Oklahoma Sooners,25,0,120.0
2024,5,2023-12-04,12,ariz,Arizona Wildcats,1,2,1571.0
2024,5,2023-12-04,2305,ku,Kansas Jayhawks,2,5,1460.0
2024,5,2023-12-04,248,hou,Houston Cougars,3,6,1432.0
2024,5,2023-12-04,2509,pur,Purdue Boilermakers,4,1,1407.0
2024,5,2023-12-04,41,conn,UConn Huskies,5,4,1340.0
2024,5,2023-12-04,239,bay,Baylor Bears,6,9,1234.0
2024,5,2023-12-04,2250,gonz,Gonzaga Bulldogs,7,11,1146.0
2024,5,2023-12-04,269,marq,Marquette Golden Eagles,8,3,1134.0
2024,5,2023-12-04,153,unc,North Carolina Tar Heels,9,17,1004.0
2024,5,2023-12-04,156,crei,Creighton Bluejays,10,15,921.0
