season,week,asof_date,team_id,team_abbr,team_name,rank,previous,points
2022,1,2021-10-18,2250,gonz,Gonzaga Bulldogs,1,0,1562.0
2022,1,2021-10-18,26,ucla,UCLA Bruins,2,0,1459.0
2022,1,2021-10-18,2305,ku,Kansas Jayhawks,3,0,1427.0
2022,1,2021-10-18,222,vill,Villanova Wildcats,4,0,1332.0
2022,1,2021-10-18,251,tex,Texas Longhorns,5,0,1315.0
2022,1,2021-10-18,130,mich,Michigan Wolverines,6,0,1255.0
2022,1,2021-10-18,2509,pur,Purdue Boilermakers,7,0,1213.0
2022,1,2021-10-18,239,bay,Baylor Bears,8,0,992.0
2022,1,2021-10-18,150,duke,Duke Blue Devils,9,0,963.0
2022,1,2021-10-18,96,uk,Kentucky Wildcats,10,0,894.0
2022,1,2021-10-18,356,ill,Illinois Fighting Illini,11,0,861.0
2022,1,2021-10-18,235,mem,Memphis Tigers,12,0,831.0
2022,1,2021-10-18,2483,ore,Oregon Ducks,13,0,775.0
2022,1,2021-10-18,333,ala,Alabama Crimson Tide,14,0,713.0
2022,1,2021-10-18,248,hou,Houston Cougars,15,0,694.0
2022,1,2021-10-18,8,ark,Arkansas Razorbacks,16,0,673.0
2022,1,2021-10-18,194,osu,Ohio State Buckeyes,17,0,581.0
2022,1,2021-10-18,2633,tenn,Tennessee Volunteers,18,0,563.0
2022,1,2021-10-18,153,unc,North Carolina Tar Heels,19,0,547.0
2022,1,2021-10-18,52,fsu,Florida State Seminoles,20,0,381.0
2022,1,2021-10-18,120,md,Maryland Terrapins,21,0,294.0
2022,1,2021-10-18,2,aub,Auburn Tigers,22,0,267.0
2022,1,2021-10-18,179,sbu,St. Bonaventure Bonnies,23,0,238.0
2022,1,2021-10-18,41,conn,UConn Huskies,24,0,161.0
2022,1,2021-10-18,258,uva,Virginia Cavaliers,25,0,125.0
2022,2,2021-11-15,2250,gonz,Gonzaga Bulldogs,1,1,1517.0
2022,2,2021-11-15,26,ucla,UCLA Bruins,2,2,1450.0
2022,2,2021-11-15,2305,ku,Kansas Jayhawks,3,3,1400.0
2022,2,2021-11-15,130,mich,Michigan Wolverines,4,6,1252.0
2022,2,2021-11-15,222,vill,Villanova Wildcats,5,4,1232.0
2022,2,2021-11-15,2509,pur,Purdue Boilermakers,6,7,1223.0
2022,2,2021-11-15,150,duke,Duke Blue Devils,7,9,1143.0
2022,2,2021-11-15,251,tex,Texas Longhorns,8,5,1058.0
2022,2,2021-11-15,239,bay,Baylor Bears,9,8,1010.0
2022,2,2021-11-15,356,ill,Illinois Fighting Illini,10,11,920.0
2022,2,2021-11-15,235,mem,Memphis Tigers,11,12,886.0
2022,2,2021-11-15,2483,ore,Oregon Ducks,12,13,802.0
2022,2,2021-11-15,96,uk,Kentucky Wildcats,13,10,773.0
2022,2,2021-11-15,333,ala,Alabama Crimson Tide,14,14,743.0
2022,2,2021-11-15,248,hou,Houston Cougars,15,15,655.0
2022,2,2021-11-15,8,ark,Arkansas Razorbacks,16,16,646.0
2022,2,2021-11-15,2633,tenn,Tennessee Volunteers,17,18,575.0
2022,2,2021-11-15,153,unc,North Carolina Tar Heels,18,19,506.0
2022,2,2021-11-15,194,osu,Ohio State Buckeyes,19,17,438.0
2022,2,2021-11-15,120,md,Maryland Terrapins,20,21,306.0
2022,2,2021-11-15,2,aub,Auburn Tigers,21,22,286.0
